Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-22 15:39:00.989425503 +0000 UTC m=+138102.692611180,1695397140,100,25.050216365956306,24.2950439453125,4.356385875266289,14.892792279629251,0.004684210526315789
2023-09-22 15:40:00.911496313 +0000 UTC m=+138162.614682000,1695397200,100,23.894874647844834,23.5870361328125,2.927380852681283,14.947997028750134,0.00484
2023-09-22 15:41:00.959099399 +0000 UTC m=+138222.662285094,1695397260,100,20.681876680589063,24.15771484375,2.8848169734663753,14.963804663496195,0.023800000000000054
2023-09-22 15:42:00.840274441 +0000 UTC m=+138282.543460126,1695397320,100,22.58603832985717,26.42822265625,2.86325144630577,14.960828534732276,0.00466046511627907
2023-09-22 15:43:00.822682388 +0000 UTC m=+138342.525868078,1695397380,100,23.184979016881513,25.9063720703125,2.737027412184534,14.966390480291075,0.004604324324324324
2023-09-22 15:44:01.020512884 +0000 UTC m=+138402.723698573,1695397441,100,19.391357189915652,25.738525390625,2.5682922741739445,14.99610297893413,0.004643870967741936
2023-09-22 15:45:00.921485231 +0000 UTC m=+138462.624670907,1695397500,100,15.967176521535448,26.116943359375,2.5951702163372947,15.006129117638809,0.00462634730538922
2023-09-22 15:46:00.927933033 +0000 UTC m=+138522.631118709,1695397560,100,20.14777214325127,26.776123046875,2.5335570469923185,15.018301972173195,0.00465398773006135
2023-09-22 15:47:00.839513107 +0000 UTC m=+138582.542698813,1695397620,100,19.82929158499018,26.9378662109375,2.6098613380219904,15.038183488096093,0.0046331210191082805
2023-09-22 15:48:01.0842357 +0000 UTC m=+138642.787421376,1695397681,100,19.49277396091979,26.1932373046875,2.655719850881111,15.023058899295853,0.004681437125748503
2023-09-22 15:49:00.850562199 +0000 UTC m=+138702.553747875,1695397740,100,20.064286868924775,26.6998291015625,2.682088676561578,15.040330203925805,0.00466896551724138
2023-09-22 15:50:00.96501075 +0000 UTC m=+138762.668196461,1695397800,100,19.55224524475375,26.416015625,2.49475890985682,15.0353293318225,0.004682926829268293
2023-09-22 15:51:00.892652011 +0000 UTC m=+138822.595837688,1695397860,100,16.276048869145455,26.7669677734375,2.4884792626705177,15.048112048808512,0.00461219512195122
2023-09-22 15:52:00.936100862 +0000 UTC m=+138882.639286571,1695397920,100,19.447866701005697,26.6754150390625,2.5772115827890296,15.046599589928489,0.004610526315789474
2023-09-22 15:53:00.935035977 +0000 UTC m=+138942.638221654,1695397980,100,18.698679456312394,26.971435546875,2.5428344015785087,15.054332645815064,0.004611494252873562
2023-09-22 15:54:00.905323044 +0000 UTC m=+139002.608508720,1695398040,100,16.302275689984594,27.5054931640625,2.5444332662555524,15.029303890800469,0.00468
2023-09-22 15:55:00.918630364 +0000 UTC m=+139062.621816040,1695398100,100,19.793981099707647,26.6632080078125,2.628824982205058,15.04501394755427,0.004615642458100559
2023-09-22 15:56:01.023837505 +0000 UTC m=+139122.727023181,1695398161,100,19.48489247246764,27.1759033203125,2.5845096971493398,15.047380213866566,0.004709554140127388
2023-09-22 15:57:00.838789075 +0000 UTC m=+139182.541974767,1695398220,100,20.196989951595388,26.434326171875,3.3839952976946863,15.56527540778453,0.004627586206896552
2023-09-22 15:58:00.842969284 +0000 UTC m=+139242.546154960,1695398280,100,21.46863444716584,26.5411376953125,3.3090863221379996,15.607551072931011,0.004622857142857144
2023-09-22 15:59:00.968036506 +0000 UTC m=+139302.671222183,1695398340,100,15.953080528989794,26.910400390625,3.302104776718684,15.638898002944416,0.00465464480874317
2023-09-22 16:00:00.976154707 +0000 UTC m=+139362.679340412,1695398400,100,14.427855212499985,26.641845703125,3.4899328858913004,15.639824993870882,0.004689171974522294
2023-09-22 16:01:00.887943242 +0000 UTC m=+139422.591128933,1695398460,100,23.160516523296184,26.5228271484375,3.393029400652725,15.673806529675296,0.004748888888888888
2023-09-22 16:02:00.801026646 +0000 UTC m=+139482.504212322,1695398520,100,19.135218331239635,26.6754150390625,3.577719989941097,15.679466053226355,0.0046406417112299465
2023-09-22 16:03:00.862761352 +0000 UTC m=+139542.565947028,1695398580,100,11.939729399999994,27.215576171875,3.4782243853372585,15.650509784023312,0.004658479532163742
2023-09-22 16:04:00.963273747 +0000 UTC m=+139602.666459424,1695398640,100,18.34803980206147,27.2613525390625,3.3257842643863778,15.70171383546155,0.0046365853658536585
2023-09-22 16:05:00.908897082 +0000 UTC m=+139662.612082758,1695398700,100,15.595223353997872,27.35595703125,3.152812762386581,15.698957257180215,0.004634666666666666
2023-09-22 16:06:00.996304406 +0000 UTC m=+139722.699490093,1695398760,100,15.043127393035642,26.7669677734375,3.4892509237476332,15.694175935559493,0.004641142857142858
2023-09-22 16:07:00.845552453 +0000 UTC m=+139782.548738133,1695398820,100,20.77679272494431,26.885986328125,3.5098754560311862,15.653778646764009,0.004610738255033556
2023-09-22 16:08:00.903012784 +0000 UTC m=+139842.606198467,1695398880,100,18.78753225423945,27.325439453125,3.292872443208539,15.656242491068564,0.004622360248447205
2023-09-22 16:09:00.85378523 +0000 UTC m=+139902.556970913,1695398940,100,15.349673975124828,27.38037109375,3.4355312893693646,15.699933037102811,0.004688172043010754
2023-09-22 16:10:00.930183065 +0000 UTC m=+139962.633368742,1695399000,100,19.92076376192053,26.904296875,3.735765012395509,15.70837353343327,0.004805333333333333
2023-09-22 16:11:00.828102162 +0000 UTC m=+140022.531287839,1695399060,100,19.513792881446378,27.1209716796875,3.3810743836338752,15.677807227357942,0.004595061728395061
2023-09-22 16:12:00.813694863 +0000 UTC m=+140082.516880538,1695399120,100,19.75499607293769,27.3406982421875,3.3443833662117783,15.704811936715792,0.004613636363636363
2023-09-22 16:13:00.950255169 +0000 UTC m=+140142.653440850,1695399180,100,22.319418990333592,26.7852783203125,3.446681518226824,15.668000639135848,0.004716483516483517
2023-09-22 16:14:00.892612391 +0000 UTC m=+140202.595798068,1695399240,100,0,0,3.650033602154412,15.044135745623933,0.0046390804597701155
2023-09-22 16:15:01.054459942 +0000 UTC m=+140262.757645632,1695399301,100,49.027286877701975,25.76904296875,20.891593302414,44.068422597186974,0.048749999999999974
2023-09-22 16:16:01.339664572 +0000 UTC m=+140323.042850454,1695399361,100,43.568446597858085,24.9267578125,20.666839647160007,44.15548647582544,0.03357142857142858
2023-09-22 16:17:01.167573079 +0000 UTC m=+140382.870758755,1695399421,100,46.28224062872111,26.4739990234375,20.645272750869058,44.125530061432606,0.06875000000000003
2023-09-22 16:18:00.965460254 +0000 UTC m=+140442.668645937,1695399480,100,42.42472971331131,26.9683837890625,20.532895021638765,44.17727074134075,0.022749999999999992
2023-09-22 16:19:00.826594951 +0000 UTC m=+140502.529780633,1695399540,100,37.696127443304874,27.099609375,20.814987481709444,44.22398615955108,0.00484
