Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-22 22:35:00.93092921 +0000 UTC m=+163062.634114913,1695422100,100,8.67333091537133,43.475260416666664,2.8278602802830455,15.280274486892226,0.004789473684210527
2023-09-22 22:36:00.925372499 +0000 UTC m=+163122.628558194,1695422160,100,3.7610520433145043,43.85807291666667,2.9395776709319588,15.345554163713915,0.0046
2023-09-22 22:37:00.960896401 +0000 UTC m=+163182.664082090,1695422220,100,3.06144052761413,44.588541666666664,2.967520508955779,15.337186850877654,0.0046
2023-09-22 22:38:00.939141383 +0000 UTC m=+163242.642327094,1695422280,100,2.886476936300262,45.01822916666667,2.557020297135826,15.326526455223288,0.0046
2023-09-22 22:39:00.914635952 +0000 UTC m=+163302.617821639,1695422340,100,2.5198790803967324,45.233072916666664,2.7756845013977127,15.34377336535518,0.0046
2023-09-22 22:40:01.00256581 +0000 UTC m=+163362.705751521,1695422401,100,2.280482732870039,45.447916666666664,2.6440195791249677,15.363898826258726,0.0046
2023-09-22 22:41:00.967787948 +0000 UTC m=+163422.670973638,1695422460,100,2.5318952624113438,45.705729166666664,2.652164819084757,15.361313009463846,0.0046
2023-09-22 22:42:00.903027933 +0000 UTC m=+163482.606213608,1695422520,100,2.4505862034614254,45.748697916666664,2.6805503282709697,15.345480980219723,0.00478
2023-09-22 22:43:01.012220427 +0000 UTC m=+163542.715406112,1695422581,100,2.070835623713998,45.96354166666667,2.7759169318448684,15.335528025009241,0.004600000000000001
2023-09-22 22:44:00.946743302 +0000 UTC m=+163602.649928986,1695422640,100,2.238961638029309,46.04947916666667,2.6202335607625193,15.36536249614262,0.0046
2023-09-22 22:45:00.938079955 +0000 UTC m=+163662.641265656,1695422700,100,2.3256707888448434,46.135416666666664,2.3451568323528793,15.382633800772574,0.0046
2023-09-22 22:46:00.986490324 +0000 UTC m=+163722.689676017,1695422760,100,1.9612013583333385,46.264322916666664,2.853800192192668,15.374803166893738,0.0046
2023-09-22 22:47:01.0056114 +0000 UTC m=+163782.708797096,1695422821,100,2.008372556130707,46.350260416666664,2.6000669904441165,15.392903884457898,0.0046
2023-09-22 22:48:00.972261706 +0000 UTC m=+163842.675447419,1695422880,100,2.023223197968335,46.393229166666664,2.570435801911619,15.366191909076827,0.004600000000000001
2023-09-22 22:49:00.995380387 +0000 UTC m=+163902.698566078,1695422940,100,1.743149216229134,46.522135416666664,2.6923076922944933,15.369558349809784,0.0046
2023-09-22 22:50:00.926470057 +0000 UTC m=+163962.629655747,1695423000,100,1.80640554115131,46.608072916666664,2.637417842337919,15.391293847585615,0.0046
2023-09-22 22:51:01.004173406 +0000 UTC m=+164022.707359127,1695423061,100,1.6685253282259658,46.608072916666664,2.760928676010166,15.39107429710303,0.0046
2023-09-22 22:52:01.025952553 +0000 UTC m=+164082.729138251,1695423121,100,1.2284783554965975,46.608072916666664,2.7523319529863532,15.398660986001216,0.0046
2023-09-22 22:53:00.934070203 +0000 UTC m=+164142.637255880,1695423180,100,2.218200620109262,46.694010416666664,2.6930958056275545,15.407199060323935,0.0046
2023-09-22 22:54:00.954108161 +0000 UTC m=+164202.657293868,1695423240,100,1.9477785350610277,46.736979166666664,3.4133266323104428,15.412029170940786,0.0046
2023-09-22 22:55:00.957403359 +0000 UTC m=+164262.660589037,1695423300,100,1.2803568853439413,46.736979166666664,3.27257490049766,14.871032387355356,0.0046
2023-09-22 22:56:00.971728909 +0000 UTC m=+164322.674914592,1695423360,100,1.1106876847563383,46.90885416666667,2.2748180981713606,14.884156627314276,0.0046
2023-09-22 22:57:01.021853298 +0000 UTC m=+164382.725039012,1695423421,100,1.8804180850135435,46.95182291666667,2.075921818104509,14.85429776168283,0.004600000000000001
2023-09-22 22:58:01.004230175 +0000 UTC m=+164442.707415899,1695423481,100,1.410848425938494,46.95182291666667,2.301929435395067,14.880765792083253,0.0046
2023-09-22 22:59:00.982116992 +0000 UTC m=+164502.685302705,1695423540,100,1.9591235178454598,46.95182291666667,2.390604756125825,14.85946939527259,0.0046
2023-09-22 23:00:00.957145443 +0000 UTC m=+164562.660331127,1695423600,100,1.0926621333333366,46.99479166666667,2.27405735306373,14.86454345087009,0.0046
2023-09-22 23:01:00.94119886 +0000 UTC m=+164622.644384550,1695423660,100,0.7613428448420062,47.03776041666667,2.1051309952411446,14.8233167491404,0.012999999999999994
2023-09-22 23:02:00.947357901 +0000 UTC m=+164682.650543596,1695423720,100,0.603283979993763,47.08072916666667,2.300870147266787,14.829708107633405,0.004600000000000001
2023-09-22 23:03:01.023163496 +0000 UTC m=+164742.726349175,1695423781,100,0.6459557550158138,47.08072916666667,2.0708697653084696,14.849492045564045,0.004600000000000001
2023-09-22 23:04:00.943451409 +0000 UTC m=+164802.646637136,1695423840,100,0.5801689438097306,47.08072916666667,2.071649786561458,14.876277204439312,0.0046
2023-09-22 23:05:00.982803998 +0000 UTC m=+164862.685989676,1695423900,100,0.46821145555553145,47.08072916666667,2.180828798665324,14.86568999227914,0.0046
2023-09-22 23:06:00.973350957 +0000 UTC m=+164922.676536661,1695423960,100,0.8258848462208914,47.12369791666667,2.2266867570679083,14.849638412552432,0.0046
2023-09-22 23:07:00.918642662 +0000 UTC m=+164982.621828340,1695424020,100,0.9631392681191349,47.209635416666664,2.093890028895662,14.855956587551244,0.0046
2023-09-22 23:08:01.028340189 +0000 UTC m=+165042.731525900,1695424081,100,2.8381647420566893,47.553385416666664,2.2236154649868833,14.876130837450921,0.004600000000000001
2023-09-22 23:09:00.979180347 +0000 UTC m=+165102.682366042,1695424140,100,0.7537541654508836,47.553385416666664,2.199456408115774,14.850028724521472,0.0046
2023-09-22 23:10:00.999501345 +0000 UTC m=+165162.702687038,1695424200,100,0.7827290185475662,47.596354166666664,6.813417190774906,15.375583790831815,0.004600000000000001
