Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-22 20:30:01.504262625 +0000 UTC m=+155563.207448303,1695414601,100,2.28714111698775,4.488715277777778,4.972840961710845,18.098522059334737,0.1
2023-09-22 20:31:01.488573404 +0000 UTC m=+155623.191759080,1695414661,100,2.2685301870016645,4.517361111111111,4.614090431117212,18.146188908553565,0.049375
2023-09-22 20:32:01.553074645 +0000 UTC m=+155683.256260321,1695414721,100,1.4908544550691274,4.517361111111111,4.791273337543611,18.15377559745175,0.25
2023-09-22 20:33:01.544590074 +0000 UTC m=+155743.247775757,1695414781,100,2.1846629197037553,4.574652777777778,4.920648249225124,18.13877298114183,0.3000000000000003
2023-09-22 20:34:01.575278178 +0000 UTC m=+155803.278463860,1695414841,100,2.142437053520807,4.574652777777778,4.7349438013660645,18.142358972357375,0.25
2023-09-22 20:35:01.30870686 +0000 UTC m=+155863.011892542,1695414901,100,2.319300208453134,4.574652777777778,4.776320215274676,18.163191873704804,0.0800000000000002
2023-09-22 20:36:01.363008018 +0000 UTC m=+155923.066193694,1695414961,100,2.042023721594768,4.574652777777778,4.856243441765573,18.166314369457112,0.2624999999999999
2023-09-22 20:37:01.53372818 +0000 UTC m=+155983.236913857,1695415021,100,1.7887546337462419,4.574652777777778,4.709734290398526,18.182683077658666,0.1599999999999999
2023-09-22 20:38:01.514449194 +0000 UTC m=+156043.217634903,1695415081,100,2.3048065518825824,4.574652777777778,4.691638289834865,18.186171490881947,0.2749999999999998
2023-09-22 20:39:01.28387704 +0000 UTC m=+156102.987062715,1695415141,100,1.6089877951254432,4.574652777777778,4.936512592696185,18.16853426878102,0.08999999999999994
2023-09-22 20:40:01.54046071 +0000 UTC m=+156163.243646386,1695415201,100,2.0279740630541236,4.574652777777778,4.604159677958153,18.22412932987094,0.05
2023-09-22 20:41:01.415977382 +0000 UTC m=+156223.119163062,1695415261,100,2.400652648464315,4.574652777777778,4.817708333332127,18.21005370448749,0.175
2023-09-22 20:42:01.546724165 +0000 UTC m=+156283.249909850,1695415321,100,2.1330677376171314,4.574652777777778,4.616158651630808,18.223299916936732,0.18249999999999994
2023-09-22 20:43:01.6393436 +0000 UTC m=+156343.342529285,1695415381,100,1.5258446289549945,4.574652777777778,4.838032896967892,18.22844715602843,0.3333333333333333
2023-09-22 20:44:01.84864941 +0000 UTC m=+156403.551835107,1695415441,100,1.4434208379787155,4.574652777777778,4.65379773393213,18.245230570697085,0.05499999999999995
2023-09-22 20:45:01.491656369 +0000 UTC m=+156463.194842067,1695415501,100,2.294859177576062,4.574652777777778,4.728112534115647,18.263428866253506,0.07749999999999997
2023-09-22 20:46:02.037411287 +0000 UTC m=+156523.740596962,1695415562,100,1.6841143203157958,4.574652777777778,4.766304119593922,18.27518701432079,0.42500000000000077
2023-09-22 20:47:01.466217287 +0000 UTC m=+156583.169402963,1695415621,100,0.9852785333333299,4.574652777777778,6.012857683090001,18.80359623690473,0.25
2023-09-22 20:48:01.857242566 +0000 UTC m=+156643.560428243,1695415681,100,1.8091261607968658,4.574652777777778,5.017860895151793,18.871486125019363,0.11999999999999997
2023-09-22 20:49:01.429359271 +0000 UTC m=+156703.132544965,1695415741,100,1.4652183953842866,4.574652777777778,4.854083560772615,18.871730070000012,0.2349999999999999
2023-09-22 20:50:01.718920776 +0000 UTC m=+156763.422106462,1695415801,100,1.6524840496376112,4.574652777777778,4.548320652412253,18.919079790743996,0.3125000000000001
2023-09-22 20:51:01.548559302 +0000 UTC m=+156823.251744978,1695415861,100,1.2114296833333278,4.574652777777778,5.146626333940885,18.933131021629382,0.12250000000000003
2023-09-22 20:52:01.773104572 +0000 UTC m=+156883.476290248,1695415921,100,1.4002656750148093,4.574652777777778,4.649111755075763,18.932496764679694,0.41666666666666663
2023-09-22 20:53:01.334524638 +0000 UTC m=+156943.037710314,1695415981,100,2.2688218699772755,4.574652777777778,4.951700965990691,18.89205068688808,0.049375
2023-09-22 20:54:01.941474786 +0000 UTC m=+157003.644660462,1695416041,100,1.2613006991415268,4.603298611111111,4.724739845564663,18.906248284761855,0.06500000000000002
2023-09-22 20:55:01.620765881 +0000 UTC m=+157063.323951556,1695416101,100,1.7529876867269891,4.603298611111111,4.972932141515507,18.920470277133695,0.18999999999999995
2023-09-22 20:56:01.73602333 +0000 UTC m=+157123.439209014,1695416161,100,2.2021217615849165,4.603298611111111,5.000840477409385,18.92254380946921,0.041875
2023-09-22 20:57:01.364180862 +0000 UTC m=+157183.067366539,1695416221,100,1.190198233333343,4.603298611111111,4.968891878256343,18.93088672780741,0.2349999999999999
2023-09-22 20:58:01.898988461 +0000 UTC m=+157243.602174143,1695416281,100,2.223749821741103,4.603298611111111,4.987625319864398,18.96921048426738,0.3333333333333333
2023-09-22 20:59:01.907838492 +0000 UTC m=+157303.611024167,1695416341,100,2.185975795799755,4.603298611111111,5.031050688149352,18.93998587558562,0.049375
2023-09-22 21:00:01.808368607 +0000 UTC m=+157363.511554283,1695416401,100,1.3271010499999867,4.603298611111111,5.193333053436788,18.937131719312024,0.04375
2023-09-22 21:01:01.430456405 +0000 UTC m=+157423.133642094,1695416461,100,1.582730668940725,4.603298611111111,4.909213180903937,18.97594336573329,0.3499999999999998
2023-09-22 21:02:01.600093633 +0000 UTC m=+157483.303279318,1695416521,100,2.256902156124182,4.603298611111111,4.883271750079898,18.97855357702624,0.04749999999999999
2023-09-22 21:03:01.746159695 +0000 UTC m=+157543.449345393,1695416581,100,1.5996068375000005,4.603298611111111,5.089090603470647,18.972284191023554,0.024699999999999996
2023-09-22 21:04:01.525252074 +0000 UTC m=+157603.228437773,1695416641,100,1.479657474999985,4.603298611111111,5.767293485556735,18.980944237836596,0.09500000000000006
2023-09-22 21:05:01.452249375 +0000 UTC m=+157663.155435053,1695416701,100,2.1562515647568703,4.603298611111111,5.069724462346759,19.009827323545448,0.027499999999999976
2023-09-22 21:07:01.682629241 +0000 UTC m=+157783.385814916,1695416821,100,1.6129169070936606,4.489583333333334,2.5220310532875434,15.602989301792874,0.375
