Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-22 22:08:00.96035224 +0000 UTC m=+161442.663537917,1695420480,100,2.364688609743854,25.689697265625,13.521946283251507,17.77014772088303,0.015749999999999993
2023-09-22 22:09:00.99846294 +0000 UTC m=+161502.701648623,1695420540,100,3.2807733800350305,28.0059814453125,13.430946453458537,16.81876229635168,0.009720588235294118
2023-09-22 22:10:00.970295947 +0000 UTC m=+161562.673481623,1695420600,100,3.6712797696956714,28.2073974609375,14.321650176059197,15.960661432420531,0.009328125
2023-09-22 22:12:00.994488888 +0000 UTC m=+161682.697674570,1695420720,100,1.123234558333334,29.315185546875,12.091709866370227,16.007498868705152,0.01200000000000001
2023-09-22 22:13:00.948724516 +0000 UTC m=+161742.651910197,1695420780,100,1.7928043475471416,29.5166015625,12.21566975566838,16.02335529244734,0.00974137931034483
2023-09-22 22:14:01.002825195 +0000 UTC m=+161802.706010873,1695420841,100,2.3747644652757374,29.6173095703125,12.223393045335873,16.002107684632808,0.009714285714285715
2023-09-22 22:16:01.039245263 +0000 UTC m=+161922.742430939,1695420961,100,1.9587160920003492,26.5167236328125,11.993428258503414,15.95483114738302,0.024166666666666673
2023-09-22 22:18:01.086555188 +0000 UTC m=+162042.789740864,1695421081,100,1.587181055236583,26.5167236328125,11.843160427147625,15.940853099991829,0.009178571428571428
2023-09-22 22:19:01.022411396 +0000 UTC m=+162102.725597095,1695421141,100,1.3756865573560246,26.617431640625,11.696251633824806,15.927899621519362,0.0211
2023-09-22 22:20:01.021153082 +0000 UTC m=+162162.724338759,1695421201,100,1.698433681093828,26.81884765625,12.076601847507051,15.9620031298141,0.009138888888888889
2023-09-22 22:21:01.08734243 +0000 UTC m=+162222.790528106,1695421261,100,1.6592265801803108,26.81884765625,11.598613576824501,15.928655850959375,0.009557692307692307
2023-09-22 22:23:01.034696566 +0000 UTC m=+162342.737882242,1695421381,100,1.4890804295611346,26.9195556640625,11.688202009964321,15.874280514772698,0.00984
2023-09-22 22:24:00.964295898 +0000 UTC m=+162402.667481588,1695421440,100,1.5244507563025962,26.9195556640625,11.974533035352819,15.935754649896264,0.00975
2023-09-22 22:25:01.052679823 +0000 UTC m=+162462.755865499,1695421501,100,1.660196570523412,26.9195556640625,14.854646277898919,17.06978168143957,0.009933333333333334
2023-09-22 22:26:01.004106067 +0000 UTC m=+162522.707291750,1695421561,100,2.149816941323891,27.020263671875,12.478358177378846,17.000623279425557,0.009868421052631578
2023-09-22 22:27:01.048285306 +0000 UTC m=+162582.751470995,1695421621,100,1.4069321310513203,27.020263671875,12.27336122731888,17.20275609039137,0.0094375
2023-09-22 22:29:00.993130539 +0000 UTC m=+162702.696316217,1695421740,100,1.6725705002102682,27.020263671875,12.377974052322038,16.591503152379012,0.00986111111111111
2023-09-22 22:30:00.995930517 +0000 UTC m=+162762.699116193,1695421800,100,2.083944599977914,27.1209716796875,12.47783875050893,16.556277497173287,0.012499999999999995
