Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 11:32:23.82524667 +0000 UTC m=+36060.793320908,1695468743,100,29.064878672098658,25.1312255859375,3.023948328640036,15.283372588146468,0.0047599999999999995
2023-09-23 11:33:24.198724894 +0000 UTC m=+36121.166799139,1695468804,100,21.12998603102067,25.6317138671875,2.886390333943478,15.276639706680555,0.004807058823529412
2023-09-23 11:34:23.683089417 +0000 UTC m=+36180.651163654,1695468863,100,15.519523428183863,18.83544921875,2.9599195035948656,15.257319264213148,0.004849999999999999
2023-09-23 11:35:23.897116597 +0000 UTC m=+36240.865190845,1695468923,100,16.084906188604393,25.8575439453125,2.9362416107344025,15.267199035929435,0.004759090909090909
2023-09-23 11:36:23.793677649 +0000 UTC m=+36300.761751898,1695468983,100,15.997463951148985,26.953125,2.8742866733867722,15.253782061993737,0.0047088888888888875
2023-09-23 11:37:23.843916372 +0000 UTC m=+36360.811990610,1695469043,100,15.178715506146604,27.01416015625,2.5463545599458404,15.284787469034233,0.004637426900584796
2023-09-23 11:38:23.640572973 +0000 UTC m=+36420.608647210,1695469103,100,15.26638856723486,26.98974609375,3.010482180283247,15.259222035062212,0.00465952380952381
2023-09-23 11:39:23.837708842 +0000 UTC m=+36480.805783079,1695469163,100,10.90367484999999,26.6937255859375,2.673931265727869,15.303546838046147,0.004616766467065869
2023-09-23 11:40:23.83176626 +0000 UTC m=+36540.799840497,1695469223,100,14.465223100000024,27.5726318359375,2.6464790504609814,15.265832944037802,0.004618791946308725
2023-09-23 11:41:24.125410431 +0000 UTC m=+36601.093484668,1695469284,100,14.636248383583862,26.806640625,2.754485996978029,15.25383085098987,0.004644670050761421
2023-09-23 11:42:23.633753896 +0000 UTC m=+36660.601828133,1695469343,100,16.01494213735389,26.7364501953125,2.569584171701267,15.291788689978864,0.0046158940397350995
2023-09-23 11:43:23.876835121 +0000 UTC m=+36720.844909389,1695469403,100,12.47804259074371,26.7059326171875,3.1834577636054573,15.25004970378981,0.00463370786516854
2023-09-23 11:44:23.959865061 +0000 UTC m=+36780.927939300,1695469463,100,18.199681221563488,26.2969970703125,2.498323272968994,15.292788864399522,0.004635220125786164
2023-09-23 11:45:23.658748813 +0000 UTC m=+36840.626823059,1695469523,100,11.43917896250004,26.1688232421875,4.721930745015335,15.946561412539015,0.004788118811881189
2023-09-23 11:46:23.896904718 +0000 UTC m=+36900.864978964,1695469583,100,18.775592018522705,26.849365234375,3.606887017718019,16.58069638973626,0.00463170731707317
2023-09-23 11:47:23.893980004 +0000 UTC m=+36960.862054240,1695469643,100,18.580997495622825,26.544189453125,3.1007751937968564,16.618946962702033,0.004616666666666667
2023-09-23 11:48:23.762069463 +0000 UTC m=+37020.730143700,1695469703,100,0,0,8.113658270802638,17.04611901831661,0.004706806282722513
2023-09-23 11:49:23.772984236 +0000 UTC m=+37080.741058473,1695469763,100,15.806648207683935,26.513671875,4.634513941222074,16.843937418354667,0.004630601092896175
2023-09-23 11:50:24.068917655 +0000 UTC m=+37141.036991892,1695469824,100,15.279535839666114,26.702880859375,3.026238578250018,16.903045287165934,0.005833333333333329
2023-09-23 11:51:23.937379151 +0000 UTC m=+37200.905453394,1695469883,100,18.22364172352241,26.214599609375,3.0621208952239187,16.925219885906934,0.004694685990338165
2023-09-23 11:52:23.872212868 +0000 UTC m=+37260.840287107,1695469943,100,12.609654165925244,26.898193359375,3.3074501573849613,13.796869454063332,0.0045933701657458565
