Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 11:55:23.833153646 +0000 UTC m=+37440.801227883,1695470123,100,1.5017514506529737,4.538194444444445,2.8831626657849774,15.994399023244297,0.024250000000000008
2023-09-23 11:56:24.043218842 +0000 UTC m=+37501.011293079,1695470184,100,1.706202466537537,4.538194444444445,2.6161081716560064,16.04318801937411,0.0232
2023-09-23 11:57:24.131581809 +0000 UTC m=+37561.099656047,1695470244,100,2.2258527826086953,4.538194444444445,2.6672258335174948,16.059385966089206,0.03250000000000001
2023-09-23 11:58:24.026605827 +0000 UTC m=+37620.994680063,1695470304,100,1.3764150625,4.538194444444445,2.6939700390222643,16.074705710873967,0.020714285714285716
2023-09-23 11:59:24.142023163 +0000 UTC m=+37681.110097400,1695470364,100,1.5701355546338656,4.538194444444445,2.5599059969014237,16.10041751183438,0.022
2023-09-23 12:00:24.44465907 +0000 UTC m=+37741.412733308,1695470424,100,1.511819906488987,4.566840277777778,2.655312722845693,16.06804601290225,0.025
2023-09-23 12:01:24.353041832 +0000 UTC m=+37801.321116069,1695470484,100,2.2664102924862677,4.566840277777778,2.841314475180856,16.108199356717087,0.021666666666666664
2023-09-23 12:02:24.08674924 +0000 UTC m=+37861.054823477,1695470544,100,2.390030472291269,4.566840277777778,2.7883928946426773,16.103783952567337,0.02336363636363636
2023-09-23 12:03:24.122047881 +0000 UTC m=+37921.090122117,1695470604,100,1.8126353184665933,4.566840277777778,2.664149360197532,16.095392245233008,0.026249999999999985
2023-09-23 12:04:24.178677568 +0000 UTC m=+37981.146751805,1695470664,100,1.2173304374999971,4.566840277777778,2.6091698477225145,16.111175485481006,0.0232
2023-09-23 12:05:24.038254939 +0000 UTC m=+38041.006329177,1695470724,100,1.9323025748988434,4.566840277777778,2.55538771400744,16.10780904474805,0.022562500000000006
2023-09-23 12:06:24.492039477 +0000 UTC m=+38101.460113714,1695470784,100,1.6848535027277793,4.566840277777778,2.687180347116236,16.12203103711989,0.023350000000000003
2023-09-23 12:07:24.028343748 +0000 UTC m=+38160.996417988,1695470844,100,1.3268922317814837,4.566840277777778,2.4854108064962466,16.13715562592013,0.0214375
2023-09-23 12:08:23.984069586 +0000 UTC m=+38220.952143824,1695470903,100,2.3708107997722725,4.566840277777778,2.577016704442747,16.124543670420575,0.021833333333333333
2023-09-23 12:09:23.985512506 +0000 UTC m=+38280.953586743,1695470963,100,2.013447908540679,4.566840277777778,2.6266101623841576,16.114078430750727,0.022857142857142854
2023-09-23 12:11:24.199929524 +0000 UTC m=+38401.168003762,1695471084,100,1.5165376448523216,4.490451388888888,3.151286880098181,15.918946840729543,0.022833333333333337
2023-09-23 12:12:24.47040618 +0000 UTC m=+38461.438480416,1695471144,100,2.0217268486733175,4.490451388888888,2.8772458851576754,15.947683559450002,0.024833333333333336
2023-09-23 12:13:24.556168343 +0000 UTC m=+38521.524242582,1695471204,100,1.8470816309987033,4.490451388888888,3.321465968572934,15.381975149324823,0.0215
2023-09-23 12:14:24.407216761 +0000 UTC m=+38581.375290999,1695471264,100,1.8375460033674504,4.490451388888888,4.759911248791493,16.646049250052144,0.022299999999999997
2023-09-23 12:15:24.233423704 +0000 UTC m=+38641.201497963,1695471324,100,1.634886572844751,4.490451388888888,2.7964112024159604,16.677932859022977,0.03375000000000001
2023-09-23 12:16:24.224833632 +0000 UTC m=+38701.192907872,1695471384,100,2.137624443649214,4.490451388888888,2.824031461806764,16.67900621693783,0.02125
2023-09-23 12:17:24.214255159 +0000 UTC m=+38761.182329396,1695471444,100,2.4860186673665567,4.519097222222222,2.9752688622112555,16.689983741067042,0.022545454545454546
2023-09-23 12:18:24.209445344 +0000 UTC m=+38821.177519592,1695471504,100,2.3609434720424964,4.519097222222222,2.9633350075380593,16.701107632184637,0.024333333333333342
2023-09-23 12:19:23.972936467 +0000 UTC m=+38880.941010705,1695471563,100,1.9209363496932506,4.519097222222222,2.7692951265332555,16.70330313701048,0.024499999999999997
2023-09-23 12:20:24.663480995 +0000 UTC m=+38941.631555232,1695471624,100,2.0444113131880783,4.547743055555555,2.811362590469846,16.716159037490684,0.02387500000000001
2023-09-23 12:21:24.314092811 +0000 UTC m=+39001.282167048,1695471684,100,1.7451850262865172,4.547743055555555,2.943882244713847,16.7269901946315,0.022900000000000004
2023-09-23 12:22:24.479874684 +0000 UTC m=+39061.447948922,1695471744,100,2.2611468529060685,4.576388888888889,2.7335900870744334,16.73682117735166,0.022
2023-09-23 12:23:24.250574382 +0000 UTC m=+39121.218648620,1695471804,100,2.073144621922891,4.576388888888889,2.947694108792742,16.71525644106228,0.024666666666666663
2023-09-23 12:24:24.2532863 +0000 UTC m=+39181.221360552,1695471864,100,1.979438560168152,4.576388888888889,2.796500188373374,16.742163572427874,0.02325
2023-09-23 12:25:24.155827036 +0000 UTC m=+39241.123901273,1695471924,100,1.7821697008917676,4.576388888888889,2.7417329426594694,16.73462567252582,0.028750000000000005
2023-09-23 12:26:24.266554969 +0000 UTC m=+39301.234629206,1695471984,100,2.1864813865941577,4.605034722222222,2.874837845752276,16.74209038893368,0.02213636363636364
2023-09-23 12:27:24.153577229 +0000 UTC m=+39361.121651466,1695472044,100,1.7520413094739622,4.605034722222222,2.799866075155477,16.759581244046217,0.022900000000000004
2023-09-23 12:28:24.169351532 +0000 UTC m=+39421.137425769,1695472104,100,1.6534418751102076,4.605034722222222,2.8570233414243584,16.773071401476113,0.02242857142857143
2023-09-23 12:29:24.39601952 +0000 UTC m=+39481.364093759,1695472164,100,1.4007350597609478,4.605034722222222,2.629265229218891,16.770119667210256,0.024625000000000005
2023-09-23 12:30:24.114653763 +0000 UTC m=+39541.082728001,1695472224,100,1.733012120829123,4.605034722222222,4.942311726462156,16.659490618485904,0.022375
2023-09-23 12:31:24.043117465 +0000 UTC m=+39601.011191702,1695472284,100,1.6367426509660525,4.605034722222222,3.595373784772471,15.355555907920529,0.0226
2023-09-23 12:32:24.333237641 +0000 UTC m=+39661.301311880,1695472344,100,1.9548873459686003,4.605034722222222,4.077783831351056,15.911116206850707,0.021833333333333333
