Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 12:52:23.633448875 +0000 UTC m=+40860.601523120,1695473543,100,1.3413983433670502,11.572265625,3.8028878441961567,16.497291600852343,0.009
2023-09-23 12:53:23.739085718 +0000 UTC m=+40920.707159955,1695473603,100,3.3943441470235722,25.1678466796875,3.8064028232892677,16.61367775112001,0.0085
2023-09-23 12:54:23.815051474 +0000 UTC m=+40980.783125711,1695473663,100,0.4437124499999999,34.6343994140625,3.7082143457019545,16.702693274558854,0.0085
2023-09-23 12:55:23.630401745 +0000 UTC m=+41040.598475982,1695473723,100,1.9785853878683626,41.986083984375,3.6746178397270346,16.773559291437408,0.0085
2023-09-23 12:56:23.766991622 +0000 UTC m=+41100.735065859,1695473783,100,0.8350755999999977,55.7830810546875,3.6758211717109135,16.896507561684537,0.00925
2023-09-23 12:57:23.70814643 +0000 UTC m=+41160.676220667,1695473843,100,1.3935169240971508,60.516357421875,3.7114787135829275,16.952712485226083,0.0046
2023-09-23 12:58:23.701701209 +0000 UTC m=+41220.669775446,1695473903,100,1.8065799197072545,65.0482177734375,3.8045991507902555,16.990255617747973,0.009
2023-09-23 12:59:23.745358422 +0000 UTC m=+41280.713432658,1695473963,100,1.907261462499998,68.2708740234375,3.8329279543683037,17.08075920556878,0.00925
2023-09-23 13:00:23.803412829 +0000 UTC m=+41340.771487066,1695474023,100,4.449728690175018,88.2110595703125,3.8075647537924695,17.207244678035316,0.009333333333333332
2023-09-23 13:01:23.627514039 +0000 UTC m=+41400.595588276,1695474083,100,1.530887633333333,89.7216796875,3.613190880802508,17.278379034392582,0.009
2023-09-23 13:02:23.839173536 +0000 UTC m=+41460.807247780,1695474143,NaN,0.07066171142200624,94.0185546875,3.8803964387709278,16.537322972176856,NaN
2023-09-23 13:03:23.74176512 +0000 UTC m=+41520.709839357,1695474203,100,1.8697764625000002,105.2978515625,4.0134340890033755,16.699448806316223,0.00825
2023-09-23 13:04:23.863201573 +0000 UTC m=+41580.831275811,1695474263,100,2.0697237166323954,121.81396484375,3.804530201347689,16.80424757000306,0.0046
2023-09-23 13:05:23.79620911 +0000 UTC m=+41640.764283347,1695474323,100,1.209284400167944,126.64794921875,3.6252888048629583,16.817347415463914,0.009
2023-09-23 13:06:23.980401086 +0000 UTC m=+41700.948475322,1695474383,100,1.5078833210974498,135.0067138671875,3.646139628656153,16.936124226541946,0.009
2023-09-23 13:07:23.679426823 +0000 UTC m=+41760.647501061,1695474443,100,2.700945075,56.5643310546875,4.158100113280982,17.06914742448988,0.007999999999999998
2023-09-23 13:08:23.69852698 +0000 UTC m=+41820.666601216,1695474503,100,1.9130697297317631,59.48486328125,3.7373355194047497,17.069610919953114,0.0085
2023-09-23 13:09:23.731929323 +0000 UTC m=+41880.700003559,1695474563,100,1.387242087758932,71.6705322265625,3.6645702306153494,17.167847563660494,0.00925
2023-09-23 13:10:23.713092738 +0000 UTC m=+41940.681166979,1695474623,100,3.126620425406497,78.3172607421875,3.9646836241378436,17.26527918893173,0.007999999999999998
2023-09-23 13:11:23.732393656 +0000 UTC m=+42000.700467893,1695474683,100,2.0523980230025005,90.301513671875,3.83177177431141,17.34658605098206,0.009
2023-09-23 13:12:23.652184117 +0000 UTC m=+42060.620258354,1695474743,100,2.2379853276936124,102.11181640625,3.6274221344235746,16.675688565201003,0.009
