Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 15:23:23.670921499 +0000 UTC m=+49920.638995735,1695482603,100,9.799054376715612,25.67138671875,12.391359378953803,17.01528437276257,0.0046
2023-09-23 15:25:23.757344655 +0000 UTC m=+50040.725418895,1695482723,100,2.8562025893508394,27.9876708984375,12.2290302133497,17.074831342539003,0.005500000000000003
2023-09-23 15:26:23.719752406 +0000 UTC m=+50100.687826644,1695482783,100,2.485935639554955,28.1890869140625,12.642325952669943,17.10651979552532,0.004959999999999999
2023-09-23 15:27:23.901013886 +0000 UTC m=+50160.869088123,1695482843,100,2.7353732376722455,29.5989990234375,12.490511933908866,16.874259779449343,0.0046
2023-09-23 15:28:23.706914159 +0000 UTC m=+50220.674988397,1695482903,100,1.8738255739621086,29.5989990234375,12.361491468227193,17.102836226317518,0.16000000000000011
2023-09-23 15:29:23.643283702 +0000 UTC m=+50280.611357939,1695482963,100,1.9748700164959943,29.69970703125,12.040119684787708,17.054949826616106,0.0046
2023-09-23 15:30:23.73358356 +0000 UTC m=+50340.701657796,1695483023,100,2.772304523346665,27.508544921875,12.19707506218467,16.906777645369864,0.0065000000000000014
2023-09-23 15:31:23.725052689 +0000 UTC m=+50400.693126939,1695483083,100,2.2071111092536775,27.508544921875,12.536885591457592,17.05329100074769,0.0046
2023-09-23 15:32:23.756028547 +0000 UTC m=+50460.724102805,1695483143,100,2.238947823936691,27.508544921875,12.195224837624252,17.08202771946815,0.0046
2023-09-23 15:33:23.684402105 +0000 UTC m=+50520.652476343,1695483203,100,2.264854132354405,27.6092529296875,12.238529014877376,17.071172167829268,0.004927272727272728
2023-09-23 15:34:23.762675736 +0000 UTC m=+50580.730749973,1695483263,100,2.2122505536888837,27.6092529296875,12.276635198926321,17.050314871983772,0.0046
2023-09-23 15:35:23.690186833 +0000 UTC m=+50640.658261077,1695483323,100,2.7156362166998607,27.6092529296875,12.281811282577115,17.08715056406178,0.0046
2023-09-23 15:36:23.77688532 +0000 UTC m=+50700.744959594,1695483383,100,2.3197282554601024,27.5299072265625,12.054042643050856,16.942149667563978,0.0046
2023-09-23 15:37:23.73708955 +0000 UTC m=+50760.705163788,1695483443,100,3.1276979862297485,27.5299072265625,12.362486828251818,17.14938092862536,0.007750000000000002
2023-09-23 15:38:23.658579242 +0000 UTC m=+50820.626653481,1695483503,100,1.8259515194870304,27.5299072265625,12.186893817997424,17.088419077961156,0.0046
2023-09-23 15:39:23.677395965 +0000 UTC m=+50880.645470203,1695483563,100,0,0,12.424587604959491,17.062609699008487,0.0046
2023-09-23 15:40:23.81402488 +0000 UTC m=+50940.782099118,1695483623,100,16.59917993002666,25.01220703125,4.6064775969052345,14.684585238645276,0.0046
2023-09-23 15:41:23.788032692 +0000 UTC m=+51000.756106932,1695483683,100,3.0844131412160833,26.7242431640625,3.708043860376875,14.71459047126511,0.0046
2023-09-23 15:42:23.802585443 +0000 UTC m=+51060.770659685,1695483743,100,2.803445045318236,26.7242431640625,3.4690546930519983,14.713565902346385,0.0046
2023-09-23 15:43:23.731012056 +0000 UTC m=+51120.699086293,1695483803,100,2.729981461428105,26.9256591796875,3.6632336933672405,14.733984097226713,0.0046
2023-09-23 15:44:23.828516592 +0000 UTC m=+51180.796590829,1695483863,100,2.444142481212399,28.1341552734375,3.5581073718688794,14.729300353598248,0.0046
