Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 16:04:23.646183804 +0000 UTC m=+52380.614258066,1695485063,100,3.0279981390607285,43.59895833333333,1.665132624887944,15.901651141601523,0.004600000000000001
2023-09-23 16:05:23.637596406 +0000 UTC m=+52440.605670643,1695485123,100,3.2239452974324094,44.071614583333336,1.7443319668696167,15.953782183966227,0.004825
2023-09-23 16:06:23.66549966 +0000 UTC m=+52500.633573925,1695485183,100,2.111510437013338,44.372395833333336,1.6514758759095916,15.931461218236839,0.004600000000000001
2023-09-23 16:07:23.679221086 +0000 UTC m=+52560.647295327,1695485243,100,2.331954265182473,44.67317708333333,1.6644362663230772,15.944341513215111,0.004600000000000001
2023-09-23 16:08:23.655327843 +0000 UTC m=+52620.623402083,1695485303,100,1.479785050355454,45.059895833333336,1.6938519448002065,15.967077185411602,0.0046
2023-09-23 16:09:23.652955726 +0000 UTC m=+52680.621029965,1695485363,100,2.758917153486986,45.274739583333336,1.6228877363253735,15.970492415140688,0.004600000000000001
2023-09-23 16:10:23.870681439 +0000 UTC m=+52740.838755677,1695485423,100,2.517479494994212,45.575520833333336,1.6813048933487784,15.986470811373202,0.004600000000000001
2023-09-23 16:11:23.661753697 +0000 UTC m=+52800.629827934,1695485483,100,1.5914385533421462,45.70442708333333,1.710366746129166,15.989251784152604,0.0046
2023-09-23 16:12:23.868724032 +0000 UTC m=+52860.836798270,1695485543,100,1.4824930620424641,45.83333333333333,1.5556391920774182,16.009011327585178,0.0046
2023-09-23 16:13:23.654612563 +0000 UTC m=+52920.622686812,1695485603,100,3.6366309909999917,45.96223958333333,1.8089150687331523,16.008572226620007,0.004825
2023-09-23 16:14:23.681253223 +0000 UTC m=+52980.649327464,1695485663,100,1.7174223885447462,46.091145833333336,1.5882967607135368,16.027404779126115,0.004600000000000001
2023-09-23 16:15:23.948091315 +0000 UTC m=+53040.916165555,1695485723,100,2.872924433536302,46.091145833333336,1.6602542656382502,16.009548006542605,0.0046
2023-09-23 16:16:23.657222197 +0000 UTC m=+53100.625296436,1695485783,100,1.5952083966366655,46.134114583333336,1.5651810002100808,16.025014118315756,0.0046
2023-09-23 16:17:23.719167683 +0000 UTC m=+53160.687241920,1695485843,100,1.9487069202898382,46.220052083333336,1.5551839464913564,16.030380907890034,0.0046
2023-09-23 16:18:23.673126096 +0000 UTC m=+53220.641200334,1695485903,100,1.1621759600236252,46.220052083333336,1.6056868074448616,16.026941283662882,0.0046
2023-09-23 16:19:23.65806793 +0000 UTC m=+53280.626142167,1695485963,100,1.3778594963887685,46.305989583333336,2.37985502995699,16.534273659918743,0.0046
2023-09-23 16:20:23.681661427 +0000 UTC m=+53340.649735664,1695486023,100,1.5406210604182722,46.348958333333336,2.2686291776773837,16.553813652868733,0.0046
2023-09-23 16:21:23.684743679 +0000 UTC m=+53400.652817923,1695486083,100,1.8421038645708852,46.391927083333336,2.5004188306260056,16.570035994081895,0.0046
2023-09-23 16:22:23.728132534 +0000 UTC m=+53460.696206775,1695486143,100,1.3616236684820826,46.434895833333336,2.679807087445696,16.56254688317597,0.0046
2023-09-23 16:24:23.688693864 +0000 UTC m=+53580.656768102,1695486263,78.94736842105263,38.45523771045096,71.9609375,4.737151001953322,19.733880420609935,1.1500000000000008
2023-09-23 16:25:23.719875906 +0000 UTC m=+53640.687950142,1695486323,0,89.71748508475221,78.40104166666667,6.972069846313866,19.774692415872526,1.7125000000000004
2023-09-23 16:26:23.823928676 +0000 UTC m=+53700.792002926,1695486383,0,97.85281603426104,79.515625,7.246558721412278,19.79733051007676,0.9764705882352941
2023-09-23 16:27:23.694465729 +0000 UTC m=+53760.662539966,1695486443,0,94.37043775371109,79.88411458333333,7.078868050926513,19.833044055243782,1.4500000000000004
2023-09-23 16:28:23.69493246 +0000 UTC m=+53820.663006697,1695486503,0,100.03775136010407,80.18359375,7.411902569704587,19.811430529958272,1.5499999999999996
2023-09-23 16:29:23.769723314 +0000 UTC m=+53880.737797555,1695486563,0,96.7361820880023,80.390625,7.250742646762431,19.834361358139287,1.7125000000000004
2023-09-23 16:30:23.671288096 +0000 UTC m=+53940.639362333,1695486623,0,93.6948797060056,80.921875,7.355523960850874,19.8609757555281,1.2999999999999996
2023-09-23 16:31:23.764289586 +0000 UTC m=+54000.732363823,1695486683,0,98.94092751427117,81.02604166666667,7.388028463782915,19.831068100900524,1.5
2023-09-23 16:32:23.734811405 +0000 UTC m=+54060.702885642,1695486743,0,95.41241306053305,81.11458333333333,7.215761733435555,19.871001894232776,1.9299999999999995
2023-09-23 16:33:23.735876868 +0000 UTC m=+54120.703951126,1695486803,0,99.90701661472461,81.42057291666667,7.3094151630597075,19.879100867590324,2.025
2023-09-23 16:34:23.734796421 +0000 UTC m=+54180.702870664,1695486863,0,90.88406705442858,81.21614583333333,7.224525694178519,19.888541538341443,1.6000000000000019
2023-09-23 16:35:23.693403483 +0000 UTC m=+54240.661477723,1695486923,0,100.03589380079059,81.38541666666667,7.545115772736044,19.85024217637954,1.8250000000000004
2023-09-23 16:36:23.733874229 +0000 UTC m=+54300.701948472,1695486983,0,98.28632952437853,81.97135416666667,7.412055046638644,19.805575850422695,2.14375
2023-09-23 16:37:23.740641211 +0000 UTC m=+54360.708715477,1695487043,0,79.39606030815773,81.546875,6.170568561874812,19.32668745891052,1.8250000000000004
2023-09-23 16:38:23.76636713 +0000 UTC m=+54420.734441370,1695487103,0,99.43397587215458,81.55598958333333,6.81135225374655,19.32700458738536,2.08
2023-09-23 16:39:23.72301032 +0000 UTC m=+54480.691084559,1695487163,0,93.98866009353526,82.30859375,6.715450554036684,19.376696179943576,2.05
2023-09-23 16:40:23.753239657 +0000 UTC m=+54540.721313920,1695487223,0,62.10407747820904,82.69661458333334,6.961575448422009,19.242941147053692,0.98
2023-09-23 16:41:23.802380137 +0000 UTC m=+54600.770454374,1695487283,0,74.27055050916502,82.76171875,4.942807046835851,19.250283890971232,1.9299999999999995
2023-09-23 16:42:23.665147989 +0000 UTC m=+54660.633222240,1695487343,0,99.92041796480244,82.76302083333333,6.200384390405967,19.274458838553553,1.878571428571428
2023-09-23 16:43:23.650127246 +0000 UTC m=+54720.618201484,1695487403,0,100.00237545608337,83.15625,6.144129825565681,17.830085002628508,0.95
