Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 16:46:23.763042347 +0000 UTC m=+54900.731116599,1695487583,100,16.16738895041221,24.0478515625,83.96587231525392,57.0961765283458,0.0046
2023-09-23 16:47:23.702241975 +0000 UTC m=+54960.670316212,1695487643,100,3.7370372573763646,26.1627197265625,83.2191636896498,57.12118088886232,0.0046
2023-09-23 16:48:23.763502989 +0000 UTC m=+55020.731577227,1695487703,100,4.062047922891241,26.9683837890625,84.6706737841387,57.14908819464858,0.0046
2023-09-23 16:49:23.813136664 +0000 UTC m=+55080.781210905,1695487763,100,2.7528721955196565,26.9683837890625,83.17485695060712,57.06848877304213,0.0046
2023-09-23 16:50:23.762019957 +0000 UTC m=+55140.730094227,1695487823,100,2.2498385600606503,27.7740478515625,83.56078102036788,57.07978342564618,0.005500000000000003
2023-09-23 16:51:23.726835682 +0000 UTC m=+55200.694909919,1695487883,100,2.5084696500000008,28.1768798828125,83.60628201879965,57.080222526611344,0.0046
2023-09-23 16:52:23.774481584 +0000 UTC m=+55260.742555831,1695487943,100,2.7925388099077817,28.277587890625,83.67869127529623,57.08061283858039,0.0046
2023-09-23 16:53:23.81615418 +0000 UTC m=+55320.784228417,1695488003,100,3.714587495649956,25,83.56584586945979,57.050095321501196,0.0046
2023-09-23 16:54:23.80847924 +0000 UTC m=+55380.776553480,1695488063,100,2.2932291776258644,25,83.75141812685412,57.01318644592899,0.0046
2023-09-23 16:55:23.733367454 +0000 UTC m=+55440.701441705,1695488123,100,1.8570694746439302,25,84.85499010818523,57.02935999814602,0.0075
2023-09-23 16:56:23.83502861 +0000 UTC m=+55500.803102849,1695488183,100,2.6258044991974616,25,83.2660951421094,57.16179772814039,0.0046
2023-09-23 16:57:23.763063642 +0000 UTC m=+55560.731137906,1695488243,100,2.9016000538832447,25,83.71369730576733,57.14484355198528,0.0046
2023-09-23 16:58:23.724043445 +0000 UTC m=+55620.692117694,1695488303,100,2.1103838916666744,25,83.75651589034862,57.153235259319615,0.0046
2023-09-23 16:59:23.734658158 +0000 UTC m=+55680.702732406,1695488363,100,2.83014802991168,24.951171875,82.48119984899637,57.144575212506574,0.01600000000000001
2023-09-23 17:00:24.038257103 +0000 UTC m=+55741.006331362,1695488424,100,3.0301483920034884,24.951171875,82.70240746173667,57.133426926890905,0.0046
2023-09-23 17:01:23.749012967 +0000 UTC m=+55800.717087205,1695488483,100,2.41410874422317,24.951171875,82.60851260925024,57.169969884992135,0.0046
2023-09-23 17:02:23.697682239 +0000 UTC m=+55860.665756476,1695488543,100,2.3601678335926484,25.0518798828125,83.0992430615684,57.160919526210066,0.0046
2023-09-23 17:03:23.866588509 +0000 UTC m=+55920.834662745,1695488603,100,2.2565679831434475,25.0518798828125,83.46199026669115,57.175483041554806,0.021
2023-09-23 17:04:23.759036419 +0000 UTC m=+55980.727110662,1695488663,100,2.110993033307909,25.152587890625,84.36436940926042,57.979745248256705,0.00925
2023-09-23 17:05:23.721942148 +0000 UTC m=+56040.690016386,1695488723,100,2.3242128286874646,25.152587890625,83.3731806552678,57.86450563939809,0.0046
2023-09-23 17:06:23.788015965 +0000 UTC m=+56100.756090201,1695488783,100,3.453897838761568,25.152587890625,83.54909213191355,57.56618532256235,0.0046
2023-09-23 17:07:23.725380233 +0000 UTC m=+56160.693454472,1695488843,100,2.65834408757023,25.152587890625,84.29637705495416,58.26074547146637,0.0046
2023-09-23 17:08:23.72130938 +0000 UTC m=+56220.689383621,1695488903,100,2.154962328201287,25.152587890625,83.62210009666674,57.91936886554606,0.0065000000000000014
2023-09-23 17:09:23.819913763 +0000 UTC m=+56280.787988003,1695488963,100,2.3210498448537282,25.152587890625,84.92073504063535,57.596214949680245,0.0046
2023-09-23 17:10:24.061637818 +0000 UTC m=+56341.029712058,1695489024,100,2.8146366681554333,25.152587890625,85.09566968782605,57.89555983543472,0.0065000000000000014
2023-09-23 17:11:23.902451442 +0000 UTC m=+56400.870525686,1695489083,100,2.5371487343779284,25.152587890625,85.21005581912256,57.5898479856853,0.019
2023-09-23 17:12:23.825333993 +0000 UTC m=+56460.793408231,1695489143,100,1.9622827904120927,25.152587890625,84.89105745808882,57.602899042150035,0.0046
2023-09-23 17:13:23.80592458 +0000 UTC m=+56520.773998836,1695489203,100,1.7963381492066273,25.152587890625,85.6650990932052,58.06458931252645,0.0046
2023-09-23 17:14:23.824729048 +0000 UTC m=+56580.792803285,1695489263,100,2.278662077036697,25.152587890625,87.23136333060266,57.549377513395626,0.0085
2023-09-23 17:15:23.773860901 +0000 UTC m=+56640.741935142,1695489323,100,2.663736044766997,25.152587890625,86.72150411277767,57.576992085205106,0.0046
2023-09-23 17:16:23.726402144 +0000 UTC m=+56700.694476381,1695489383,100,2.8496475638479,25.2532958984375,88.21428571418262,57.55267077063439,0.0046
2023-09-23 17:17:23.79724482 +0000 UTC m=+56760.765319091,1695489443,100,2.701488813276384,25.2532958984375,87.54511120463654,58.150604312703315,0.009
2023-09-23 17:18:23.744456755 +0000 UTC m=+56820.712530993,1695489503,100,1.3918779653037983,25.2532958984375,87.51313411476606,57.56742944196366,0.0046
2023-09-23 17:19:23.718794902 +0000 UTC m=+56880.686869139,1695489563,100,1.8418453576709966,25.2532958984375,87.01014437835155,57.5751868923483,0.0046
2023-09-23 17:20:23.78697386 +0000 UTC m=+56940.755048104,1695489623,100,1.807158867355186,25.2532958984375,87.98402354421782,57.589921169179505,0.0046
2023-09-23 17:21:23.816632874 +0000 UTC m=+57000.784707112,1695489683,100,2.211568641446579,25.2532958984375,87.812145884766,57.58804279282851,0.0046
