Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 19:33:23.868822748 +0000 UTC m=+64920.836896984,1695497603,100,2.479386562264782,6.402587890625,13.799510176519414,17.658396525247696,0.16000000000000003
2023-09-23 19:34:23.844888293 +0000 UTC m=+64980.812962529,1695497663,100,3.94448156898777,6.5032958984375,13.79179009734781,17.800689632460294,0.04
2023-09-23 19:35:23.919816123 +0000 UTC m=+65040.887890359,1695497723,100,3.40385474123351,6.5032958984375,13.61696734130511,17.589189334237556,0.0235
2023-09-23 19:36:23.896664585 +0000 UTC m=+65100.864738826,1695497783,100,3.050802929347862,6.7047119140625,14.059129552070171,17.787199475030402,0.04
2023-09-23 19:37:23.892186261 +0000 UTC m=+65160.860260499,1695497843,100,2.757708234417911,6.805419921875,14.027072758023618,17.758365178317682,0.0235
2023-09-23 19:38:23.879002993 +0000 UTC m=+65220.847077230,1695497903,100,3.6184769459413153,6.805419921875,13.910250992964546,17.827182057358783,0.175
2023-09-23 19:39:23.84812601 +0000 UTC m=+65280.816200247,1695497963,100,4.208600257152738,7.0068359375,13.7958768996309,17.792883393079524,0.16000000000000003
2023-09-23 19:40:23.850182943 +0000 UTC m=+65340.818257180,1695498023,100,2.877309546489473,7.0068359375,13.636748518167984,17.87562953051569,0.025
2023-09-23 19:41:23.854534116 +0000 UTC m=+65400.822608356,1695498083,100,4.081931181808914,7.0068359375,13.800981553553582,17.799543091051245,0.205
2023-09-23 19:42:23.869526921 +0000 UTC m=+65460.837601158,1695498143,100,3.815896212655276,7.0068359375,13.720517372628871,17.71335732938793,0.175
2023-09-23 19:43:23.930361542 +0000 UTC m=+65520.898435779,1695498203,100,3.841559405940589,7.0068359375,13.957320938089534,17.82623067193425,0.19
2023-09-23 19:44:23.876351891 +0000 UTC m=+65580.844426128,1695498263,100,3.6124487057436823,7.1075439453125,13.887596735293162,17.914002075971787,0.175
2023-09-23 19:45:23.918146097 +0000 UTC m=+65640.886220333,1695498323,100,3.141108570511201,7.1075439453125,13.277587735988593,17.90617144209295,0.22000000000000006
2023-09-23 19:46:23.829646372 +0000 UTC m=+65700.797720609,1695498383,100,5.139751938819482,7.1075439453125,14.000084363286314,17.793639622519535,0.16000000000000011
2023-09-23 19:47:23.917247483 +0000 UTC m=+65760.885321719,1695498443,100,2.92545233167771,7.1075439453125,13.769923476937752,17.637124522935096,0.0235
2023-09-23 19:49:23.88825021 +0000 UTC m=+65880.856324446,1695498563,100,3.2354957873667516,7.208251953125,13.904286379173925,16.608628090020577,0.35000000000000003
2023-09-23 19:50:23.90631479 +0000 UTC m=+65940.874389027,1695498623,100,0,0,12.633489510778784,16.484313727881812,NaN
2023-09-23 19:51:23.903615443 +0000 UTC m=+66000.871689679,1695498683,100,0,0,12.625538020139581,16.401152883978547,0.375
2023-09-23 19:53:24.426165483 +0000 UTC m=+66121.394239720,1695498804,100,0,0,21.398194757830268,44.159706719872645,0.0225
2023-09-23 19:54:23.915076927 +0000 UTC m=+66180.883151164,1695498863,100,0,0,19.200242876526275,44.146289759028946,NaN
2023-09-23 19:55:23.990287725 +0000 UTC m=+66240.958361962,1695498923,100,0,0,19.522720407212233,44.156876960858334,NaN
2023-09-23 19:56:24.009625305 +0000 UTC m=+66300.977699542,1695498984,100,0,0,19.08886194342979,44.148265711444104,0.014500000000000004
2023-09-23 19:57:23.919634033 +0000 UTC m=+66360.887708276,1695499043,100,0,0,19.45441182829103,44.15182730468625,NaN
2023-09-23 19:58:24.056427281 +0000 UTC m=+66421.024501518,1695499104,100,0,0,19.19034643825539,44.11116171609272,NaN
2023-09-23 19:59:24.026271199 +0000 UTC m=+66480.994345435,1695499164,100,0,0,20.006907866325353,44.12872573756083,NaN
2023-09-23 20:00:23.944749726 +0000 UTC m=+66540.912823963,1695499223,100,0,0,19.083275623022033,44.12989667232537,NaN
2023-09-23 20:01:24.04034517 +0000 UTC m=+66601.008419406,1695499284,100,0,0,19.490644490676935,44.1184800583711,NaN
2023-09-23 20:02:23.957800842 +0000 UTC m=+66660.925875080,1695499343,100,0,0,19.61294801705511,44.13477556717763,NaN
2023-09-23 20:03:23.954768545 +0000 UTC m=+66720.922842784,1695499403,100,0,0,19.41953649570195,44.144582145830654,NaN
2023-09-23 20:04:24.032404473 +0000 UTC m=+66781.000478710,1695499464,100,0,0,19.427234521875857,44.11926068154746,0.018250000000000006
2023-09-23 20:05:24.498299988 +0000 UTC m=+66841.466374225,1695499524,100,0,0,19.03613420056822,44.15707211665242,NaN
2023-09-23 20:06:24.075419042 +0000 UTC m=+66901.043493280,1695499584,100,0,0,19.103212695311655,44.11591863857367,NaN
2023-09-23 20:07:23.935631433 +0000 UTC m=+66960.903705673,1695499643,100,0,0,20.88263235157427,44.102233338513095,NaN
2023-09-23 20:08:23.973105916 +0000 UTC m=+67020.941180153,1695499703,100,0,0,19.211036861238384,44.11586984962514,NaN
2023-09-23 20:09:23.998027842 +0000 UTC m=+67080.966102079,1695499763,100,0,0,19.1802712272889,44.12006569919808,0.0095
