Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 20:56:24.249210859 +0000 UTC m=+69901.217285096,1695502584,100,32.44312540625,24.066162109375,82.01067092390322,57.77702696933733,0.12999999999999995
2023-09-23 20:57:24.660400168 +0000 UTC m=+69961.628474405,1695502644,100,29.03542764107018,25.616455078125,80.26598207145771,57.98247743203998,0.175
2023-09-23 20:58:23.943131635 +0000 UTC m=+70020.911205872,1695502703,100,25.409942835720443,26.9195556640625,79.2109575226392,58.03524273135437,0.0065000000000000014
2023-09-23 20:59:24.034947543 +0000 UTC m=+70081.003021779,1695502764,100,27.623648037365,26.312255859375,82.81958676278886,57.9691824305946,0.01
2023-09-23 21:00:24.011659183 +0000 UTC m=+70140.979733434,1695502824,100,21.62058959999999,27.2064208984375,82.85726287484812,57.90817179093427,0.004927272727272728
2023-09-23 21:01:23.959902996 +0000 UTC m=+70200.927977234,1695502883,100,23.311692124643667,27.8594970703125,83.166156041011,57.92656524247521,0.0085
2023-09-23 21:02:24.029988323 +0000 UTC m=+70260.998062560,1695502944,100,26.873425474153112,27.6397705078125,83.09255837417507,57.93076109614238,0.009499999999999996
2023-09-23 21:03:24.108349791 +0000 UTC m=+70321.076424029,1695503004,100,25.895191902885433,27.764892578125,82.0546218490427,57.99948039719121,0.0075
2023-09-23 21:04:24.118272708 +0000 UTC m=+70381.086346947,1695503064,100,14.473756312500004,28.021240234375,82.8060002519729,57.99252796524272,0.0046
2023-09-23 21:05:23.928089404 +0000 UTC m=+70440.896163641,1695503123,100,19.65947122124963,27.203369140625,81.33961232815808,58.00138316804028,0.0046
2023-09-23 21:06:24.089231237 +0000 UTC m=+70501.057305480,1695503184,100,21.169906776942724,26.9989013671875,82.83481767744085,58.02258198685868,0.006750000000000002
2023-09-23 21:07:24.009133789 +0000 UTC m=+70560.977208026,1695503244,100,21.913060907811143,27.6519775390625,82.49400479620826,58.01706883029601,0.005
2023-09-23 21:08:23.980602476 +0000 UTC m=+70620.948676713,1695503303,100,33.257876892573954,27.64892578125,83.90090279239949,58.02692420751424,0.004900000000000001
2023-09-23 21:09:24.1012091 +0000 UTC m=+70681.069283369,1695503364,100,24.77637783604177,27.6123046875,82.9343077958795,58.06597979891615,0.004927272727272728
2023-09-23 21:10:24.160074473 +0000 UTC m=+70741.128148712,1695503424,100,28.480202449926285,28.265380859375,81.83345937357385,58.08934972806233,0.004600000000000001
2023-09-23 21:11:24.217156292 +0000 UTC m=+70801.185230530,1695503484,100,23.66006253275332,27.4749755859375,81.64320235340176,58.008945462440394,0.005999999999999998
2023-09-23 21:12:24.096700659 +0000 UTC m=+70861.064774918,1695503544,100,28.046119974147754,27.667236328125,82.90902990377434,58.01121415076044,0.0046
2023-09-23 21:13:24.082391876 +0000 UTC m=+70921.050466114,1695503604,100,28.03505422062032,27.3834228515625,81.64413468813207,58.01970343608702,0.085
2023-09-23 21:14:23.988512292 +0000 UTC m=+70980.956586537,1695503663,100,22.875836243155238,28.057861328125,81.78195394062946,58.0339010339608,0.004600000000000001
2023-09-23 21:15:24.087375233 +0000 UTC m=+71041.055449493,1695503724,100,20.616038562092225,27.84423828125,81.94169856603473,58.04300018173901,0.004876923076923077
2023-09-23 21:16:24.06710408 +0000 UTC m=+71101.035178317,1695503784,100,21.12780049179647,27.5054931640625,82.67905178228118,57.99308903869821,0.022
2023-09-23 21:17:24.028920852 +0000 UTC m=+71160.996995116,1695503844,100,25.92680648947669,25.1251220703125,83.45807753787207,58.02587524409745,0.023499999999999993
2023-09-23 21:18:24.055672256 +0000 UTC m=+71221.023746493,1695503904,100,19.716561362499977,25.9613037109375,83.27248310854053,58.00201742498997,0.012999999999999994
2023-09-23 21:19:24.023637268 +0000 UTC m=+71280.991711506,1695503964,100,22.144578001326348,26.1077880859375,82.69279181017093,58.00174908551126,0.0075
2023-09-23 21:20:23.911693147 +0000 UTC m=+71340.879767388,1695504023,100,23.735776763686637,26.251220703125,83.1778058005735,58.02238683087416,0.0425
2023-09-23 21:21:24.072166112 +0000 UTC m=+71401.040240349,1695504084,100,23.141048608129317,26.2298583984375,82.69295302008565,58.055392586755985,0.005999999999999998
2023-09-23 21:22:24.065390126 +0000 UTC m=+71461.033464366,1695504144,100,31.853649119460854,26.4801025390625,81.24711122320078,58.03826764911442,0.005999999999999998
2023-09-23 21:23:24.025781439 +0000 UTC m=+71520.993855685,1695504204,100,21.780225863352502,26.4007568359375,83.90182504715726,58.057344146601174,0.005999999999999998
2023-09-23 21:24:24.086344578 +0000 UTC m=+71581.054418818,1695504264,100,18.461012075000124,26.4739990234375,82.24956803889694,58.10659663819422,0.01975
2023-09-23 21:25:24.042090782 +0000 UTC m=+71641.010165027,1695504324,100,24.11606303334334,26.9134521484375,82.21922882633186,58.07900646088281,0.0046
2023-09-23 21:26:23.981251913 +0000 UTC m=+71700.949326150,1695504383,100,27.601982474970022,26.20849609375,82.34651885445182,58.163069901214485,0.027500000000000017
2023-09-23 21:27:23.961210036 +0000 UTC m=+71760.929284285,1695504443,100,22.80728649201822,27.0721435546875,81.94514554924983,58.14201744938446,0.040000000000000015
2023-09-23 21:29:24.25966674 +0000 UTC m=+71881.227740998,1695504564,100,35.80735653862155,24.5025634765625,14.823569137221671,18.458804401255342,0.018250000000000006
2023-09-23 21:30:24.206708869 +0000 UTC m=+71941.174783107,1695504624,100,31.872843210555242,25.0091552734375,14.905756064593445,18.097473095917945,0.0046
2023-09-23 21:31:24.114886237 +0000 UTC m=+72001.082960474,1695504684,100,25.309935158349024,26.5289306640625,15.644677344425496,18.719191273600153,0.0046
2023-09-23 21:32:24.059488198 +0000 UTC m=+72061.027562462,1695504744,100,32.17331627936835,25.4150390625,15.189125295450234,18.089959590513953,0.0046
2023-09-23 21:33:24.178668228 +0000 UTC m=+72121.146742465,1695504804,100,22.0603920606416,27.13623046875,14.698428788686124,18.1096703449504,0.0046
2023-09-23 21:34:23.98607356 +0000 UTC m=+72180.954147812,1695504863,100,25.302107966361433,25.4730224609375,14.718797500416326,18.21881132929279,0.005
