Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 22:17:24.5873455 +0000 UTC m=+74761.555419737,1695507444,100,24.77598616966004,24.359130859375,14.297818258871065,17.835207847222136,0.0046
2023-09-23 22:18:24.083801149 +0000 UTC m=+74821.051875397,1695507504,100,29.698586246468917,24.13330078125,13.818734690419976,17.892486128678538,0.1150000000000001
2023-09-23 22:19:24.036472293 +0000 UTC m=+74881.004546533,1695507564,100,22.62649793535525,26.45263671875,14.305738436047843,17.895657413426978,0.0046
2023-09-23 22:20:24.01190958 +0000 UTC m=+74940.979983823,1695507624,100,23.619994111041112,26.5106201171875,14.171766195393854,17.811911101570153,0.0046
2023-09-23 22:21:24.231001682 +0000 UTC m=+75001.199075925,1695507684,100,22.774347455335803,26.8218994140625,14.171496256239035,17.938908858496056,0.0046
2023-09-23 22:22:24.105782127 +0000 UTC m=+75061.073856371,1695507744,100,20.931314975177383,27.2247314453125,14.02915698287831,17.833866149828566,0.0046
2023-09-23 22:23:24.282094318 +0000 UTC m=+75121.250168560,1695507804,100,21.362112268173096,27.020263671875,14.066517725431071,17.865725364301337,0.004600000000000001
2023-09-23 22:24:24.093767238 +0000 UTC m=+75181.061841476,1695507864,100,20.845667010744606,27.0355224609375,13.950054838394498,17.836232416140863,0.004600000000000001
2023-09-23 22:25:24.024393013 +0000 UTC m=+75240.992467251,1695507924,100,20.996806625962407,28.5247802734375,14.005131009003147,17.840818581777064,0.004876923076923077
2023-09-23 22:26:24.099971963 +0000 UTC m=+75301.068046201,1695507984,100,21.344030423160586,26.81884765625,14.312103782657726,17.68423029869843,0.0046
2023-09-23 22:27:24.163220003 +0000 UTC m=+75361.131294240,1695508044,100,20.51747620775785,26.708984375,14.166279609832488,17.913831314485332,0.0046
2023-09-23 22:28:24.109129981 +0000 UTC m=+75421.077204223,1695508104,100,20.31200652887366,26.947021484375,14.19474549823454,17.842062701178378,0.0046
2023-09-23 22:29:24.090300075 +0000 UTC m=+75481.058374316,1695508164,100,22.867822215364225,35.150146484375,13.711823596506855,17.936762142666343,0.0046
2023-09-23 22:30:24.478103641 +0000 UTC m=+75541.446177878,1695508224,100,25.248445566665733,28.9093017578125,13.654278086197868,17.96493778793131,0.0046
2023-09-23 22:31:24.098385556 +0000 UTC m=+75601.066459795,1695508284,100,23.786552030856452,31.35986328125,14.180237954615437,18.071639322467213,0.004789473684210527
2023-09-23 22:32:24.347268756 +0000 UTC m=+75661.315342996,1695508344,100,23.486793859034233,29.2572021484375,14.050006345993559,18.085495397368078,0.0046
