Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 22:16:24.349106229 +0000 UTC m=+74701.317180465,1695507384,100,0.8609911711287098,4.4296875,3.828791172049184,16.44416038406698,0.060000000000000074
2023-09-23 22:17:24.907155298 +0000 UTC m=+74761.875229536,1695507444,100,1.7279517911298818,4.486979166666667,1.9704639585013006,16.49424228859423,0.027499999999999976
2023-09-23 22:18:24.304582242 +0000 UTC m=+74821.272656478,1695507504,100,1.4352782283077947,4.486979166666667,1.9110144685154817,16.537371761172984,0.2749999999999998
2023-09-23 22:19:24.255212504 +0000 UTC m=+74881.223286742,1695507564,100,1.1857536639748296,4.486979166666667,1.8872661840383498,16.530858430189653,0.06500000000000002
2023-09-23 22:20:24.237193228 +0000 UTC m=+74941.205267466,1695507624,100,1.581761251904128,4.544270833333333,1.7502721715031089,16.53000462275738,0.05
2023-09-23 22:21:24.524786971 +0000 UTC m=+75001.492861209,1695507684,100,1.6899991260075413,4.544270833333333,2.0368898741109365,16.54783700084283,0.42500000000000077
2023-09-23 22:22:24.536273365 +0000 UTC m=+75061.504347604,1695507744,100,1.670739079470642,4.572916666666667,2.0102812722003094,16.535932485787157,0.34166666666666656
2023-09-23 22:23:24.881665357 +0000 UTC m=+75121.849739594,1695507804,100,1.1903431903007822,4.630208333333333,1.8146847298976643,16.55788753404557,0.4249999999999999
2023-09-23 22:24:24.278811808 +0000 UTC m=+75181.246886045,1695507864,100,2.0980627173373056,4.630208333333333,1.8627040602710143,16.58950280353769,0.19000000000000059
2023-09-23 22:25:24.400831214 +0000 UTC m=+75241.368905453,1695507924,100,2.079480898368187,4.630208333333333,1.9463703951085543,16.5320781550929,0.1
2023-09-23 22:26:24.555857697 +0000 UTC m=+75301.523931934,1695507984,100,1.286941436971558,4.630208333333333,1.8527037764979548,16.554521093312612,0.3625000000000001
2023-09-23 22:27:24.471571943 +0000 UTC m=+75361.439646180,1695508044,100,1.5169724897195178,4.630208333333333,1.7397850361753675,16.571987553927087,0.25
2023-09-23 22:28:25.094594342 +0000 UTC m=+75422.062668582,1695508105,100,1.590720023181258,4.630208333333333,1.9444676758378243,16.554521093312612,0.2199999999999998
2023-09-23 22:29:24.41227758 +0000 UTC m=+75481.380351817,1695508164,100,1.7188765117654854,4.630208333333333,1.7767558528400285,16.54117730287111,0.5999999999999999
2023-09-23 22:30:24.790479568 +0000 UTC m=+75541.758553811,1695508224,100,1.1839166971889,4.630208333333333,1.91969887076191,16.527491989456696,0.1
2023-09-23 22:31:24.461496535 +0000 UTC m=+75601.429570773,1695508284,100,1.4814454352715107,4.630208333333333,1.781159844462854,16.55166693703902,0.400000000000001
2023-09-23 22:32:24.641502711 +0000 UTC m=+75661.609576951,1695508344,100,2.07245172045879,4.630208333333333,2.136912976202676,17.157626268971296,0.1599999999999999
2023-09-23 22:33:24.401303359 +0000 UTC m=+75721.369377597,1695508404,100,1.4014853827305649,4.630208333333333,2.0906506104806377,17.208854714907602,0.19500000000000006
2023-09-23 22:34:24.765881721 +0000 UTC m=+75781.733955969,1695508464,100,1.9683013308986235,4.630208333333333,2.271396302196038,17.18036194116779,0.0375
2023-09-23 22:35:24.381724151 +0000 UTC m=+75841.349798388,1695508524,100,1.2178154064110547,4.630208333333333,2.0256131246207287,17.219368743573575,0.02092857142857143
2023-09-23 22:36:24.57570306 +0000 UTC m=+75901.543777299,1695508584,100,1.1069254087904585,4.658854166666666,1.952586026674652,17.224613560657527,0.023666666666666673
2023-09-23 22:37:24.322295872 +0000 UTC m=+75961.290370111,1695508644,100,1.7196930126193604,4.658854166666666,1.9561128526652372,17.23864039704485,0.02135714285714286
2023-09-23 22:38:24.331242056 +0000 UTC m=+76021.299316294,1695508704,100,1.079831420845006,4.658854166666666,1.9270158425038875,17.24749559984241,0.021785714285714283
2023-09-23 22:39:24.458733259 +0000 UTC m=+76081.426807496,1695508764,100,1.113894104454015,4.658854166666666,1.7034990791922056,17.240469984399716,0.009846153846153846
