Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 23:19:24.249969008 +0000 UTC m=+78481.218043258,1695511164,NaN,0.11485544346013375,13.3941650390625,12.388636745601234,17.26857244617049,NaN
2023-09-23 23:20:24.214776557 +0000 UTC m=+78541.182850799,1695511224,NaN,0.007647680536727607,13.3941650390625,12.622861683901764,17.29084462290375,NaN
2023-09-23 23:21:24.066898242 +0000 UTC m=+78601.034972483,1695511284,100,0.19508729528429455,13.3941650390625,12.4937217478453,17.229126542799538,0.0046
2023-09-23 23:22:24.307621037 +0000 UTC m=+78661.275695284,1695511344,NaN,0.23746472441863925,13.494873046875,12.509432380283126,17.07700245286678,0.0095
2023-09-23 23:23:24.240510533 +0000 UTC m=+78721.208584788,1695511404,NaN,0.06319137000168754,13.494873046875,12.781954887188995,17.26652330833304,0.0046
2023-09-23 23:24:24.316170703 +0000 UTC m=+78781.284244941,1695511464,100,0.08978327578007031,13.494873046875,12.570710245082905,17.29203995330893,0.0046
2023-09-23 23:25:24.220881587 +0000 UTC m=+78841.188955824,1695511524,NaN,0.13654176659177555,13.6962890625,11.81407904170383,17.244275526097844,0.0095
2023-09-23 23:26:24.406082578 +0000 UTC m=+78901.374156820,1695511584,100,0.12279236037070507,13.6962890625,11.840053933313023,17.079319930182947,NaN
2023-09-23 23:27:24.197543722 +0000 UTC m=+78961.165617977,1695511644,NaN,0.06096968679604848,13.6962890625,11.802919092213383,17.296504146454808,NaN
2023-09-23 23:28:24.252044343 +0000 UTC m=+79021.220118588,1695511704,NaN,0.009300282915695228,13.6962890625,12.00928661880144,17.286892714217235,NaN
2023-09-23 23:29:24.048986408 +0000 UTC m=+79081.017060646,1695511764,NaN,0.0424547937325774,13.6962890625,12.07208724579002,17.34314642675491,NaN
2023-09-23 23:30:24.620668098 +0000 UTC m=+79141.588742338,1695511824,NaN,0.016612766238337635,13.6962890625,12.011479699431915,17.083076682884943,NaN
2023-09-23 23:31:24.294017208 +0000 UTC m=+79201.262091458,1695511884,NaN,0.17279652124858919,13.897705078125,12.01754755976131,17.2919911643128,NaN
2023-09-23 23:32:24.362051361 +0000 UTC m=+79261.330125598,1695511944,NaN,0.008107933240202373,13.897705078125,12.141652613809118,17.218685697627755,NaN
2023-09-23 23:33:24.425245728 +0000 UTC m=+79321.393319967,1695512004,100,0.010776789990422603,13.897705078125,13.998988024995917,17.959839337835746,0.0046
2023-09-23 23:34:24.188356799 +0000 UTC m=+79381.156431042,1695512064,NaN,0.010643904408611174,13.897705078125,12.610218115794458,17.945227033494866,NaN
2023-09-23 23:35:24.387684871 +0000 UTC m=+79441.355759110,1695512124,100,0.07887372017217573,13.897705078125,12.41984475189396,17.997650809836347,0.0046
2023-09-23 23:36:24.610722058 +0000 UTC m=+79501.578796331,1695512184,NaN,0.00959806174442915,13.897705078125,12.486295015594973,17.961107851735118,NaN
2023-09-23 23:37:24.115425552 +0000 UTC m=+79561.083499806,1695512244,NaN,0.009294345132393547,13.897705078125,12.62918125448551,17.939665087936067,NaN
2023-09-23 23:38:24.243232636 +0000 UTC m=+79621.211306873,1695512304,NaN,0.009394056344200622,13.897705078125,12.284400961502262,17.83581770967376,NaN
