Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 03:57:23.291548511 +0000 UTC m=+8760.259622771,1695441443,0,63.79231762341308,208.197021484375,3.966597077255729,17.664397571771662,0.00045
2023-09-23 03:58:23.296854672 +0000 UTC m=+8820.264928946,1695441503,0,28.661953584028804,284.5977783203125,2.3949843260174575,17.412987874714737,0.00045000000000000004
2023-09-23 03:59:23.317354031 +0000 UTC m=+8880.285428276,1695441563,100,0,0,4.864234549418612,17.37746948553223,0.045
2023-09-23 04:00:23.322798077 +0000 UTC m=+8940.290872341,1695441623,0,38.82171493486174,281.719970703125,2.7455077308787823,17.57762634215479,0.00045
2023-09-23 04:01:23.327333575 +0000 UTC m=+9000.295407816,1695441683,NaN,0,0,4.5899454371274295,17.364003722600405,NaN
2023-09-23 04:02:23.279891031 +0000 UTC m=+9060.247965268,1695441743,NaN,0,0,1.9408541431262916,17.379811357346465,NaN
2023-09-23 04:03:23.289704571 +0000 UTC m=+9120.257778813,1695441803,0,94.96002084688266,251.5777587890625,4.827557480846433,18.02321624380837,0.0004840909090909091
2023-09-23 04:04:23.384330709 +0000 UTC m=+9180.352404956,1695441863,NaN,0,0,1.8695888577547115,17.37015113611276,NaN
2023-09-23 04:05:23.314951074 +0000 UTC m=+9240.283025312,1695441923,NaN,0,0,1.6684089483530284,17.383055825589096,NaN
2023-09-23 04:06:23.358553222 +0000 UTC m=+9300.326627472,1695441983,0,28.872686823300285,126.300048828125,2.0010046885485355,17.38883732163048,0.00045000000000000004
2023-09-23 04:07:23.372662047 +0000 UTC m=+9360.340736303,1695442043,0,0,0,5.0321020595444965,18.14750621144907,1.150000000000002
2023-09-23 04:08:23.35742789 +0000 UTC m=+9420.325502141,1695442103,NaN,0,0,1.9737392322514369,17.37383470532056,NaN
2023-09-23 04:09:23.332063424 +0000 UTC m=+9480.300137662,1695442163,NaN,0,0,1.8231235626164355,17.37307847588055,NaN
2023-09-23 04:10:23.297925156 +0000 UTC m=+9540.265999408,1695442223,NaN,0,0,1.9920485457272652,17.36641877790883,NaN
2023-09-23 04:11:23.346975012 +0000 UTC m=+9600.315049253,1695442283,NaN,0,0,2.859651323228385,16.090415767627768,NaN
2023-09-23 04:12:23.305702013 +0000 UTC m=+9660.273776273,1695442343,0,0,0,2.8822422087434907,16.1227872665599,0.00045
2023-09-23 04:13:23.250215958 +0000 UTC m=+9720.218290204,1695442403,27.027027027027025,0,0,6.579386257534525,17.329729452819212,0.9527777777777778
