Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 03:36:23.411478884 +0000 UTC m=+7500.379553163,1695440183,100,1.6553948080090781,5.82275390625,3.769233994388621,15.348847420952676,0.022
2023-09-23 03:37:23.40591553 +0000 UTC m=+7560.373989766,1695440243,100,2.028560164357971,6.3262939453125,3.5886269419259875,15.438375228850884,0.009
2023-09-23 03:38:23.534606944 +0000 UTC m=+7620.502681185,1695440303,100,1.729948717948717,6.62841796875,3.341848486109422,15.455280616009864,0.00925
2023-09-23 03:39:23.499749601 +0000 UTC m=+7680.467823838,1695440363,100,3.246480862250263,6.62841796875,3.5455649043631188,15.423884897000331,0.009333333333333334
2023-09-23 03:40:23.382339027 +0000 UTC m=+7740.350413270,1695440423,100,2.9646276814164962,6.62841796875,3.4377355330384995,15.46674603010037,0.00925
2023-09-23 03:41:23.59674887 +0000 UTC m=+7800.564823106,1695440483,100,1.984446709016734,6.62841796875,3.3585996063347667,15.443546862440646,0.00925
2023-09-23 03:42:23.34346782 +0000 UTC m=+7860.311542056,1695440543,100,1.6662625333333292,6.7291259765625,3.27292512450148,15.468551222957174,0.007999999999999998
2023-09-23 03:43:23.368764991 +0000 UTC m=+7920.336839241,1695440603,100,2.7149665368839186,6.7291259765625,3.2225663346504785,15.491555234632381,0.007999999999999998
2023-09-23 03:44:23.433546717 +0000 UTC m=+7980.401620957,1695440663,100,1.8799864707300964,6.7291259765625,3.1889037881221216,15.475942755870841,0.00925
2023-09-23 03:45:23.3771017 +0000 UTC m=+8040.345175957,1695440723,100,3.3538875852052716,6.829833984375,3.613498218407485,15.53744128549247,0.0085
2023-09-23 03:46:23.38033283 +0000 UTC m=+8100.348407067,1695440783,100,2.799076653603342,6.829833984375,3.404665186978062,15.52834213771426,0.00925
2023-09-23 03:47:23.462446919 +0000 UTC m=+8160.430521155,1695440843,100,2.866155342760058,6.9305419921875,3.55944994130728,15.555249269079852,0.009
2023-09-23 03:48:23.342805828 +0000 UTC m=+8220.310880069,1695440903,100,3.2219886677880103,6.9305419921875,3.2861687876670764,15.540539386746714,0.4
2023-09-23 03:49:23.346939116 +0000 UTC m=+8280.315013353,1695440963,100,3.413603466800351,6.9305419921875,3.519798868632207,15.527903036749091,0.0085
2023-09-23 03:50:23.374249184 +0000 UTC m=+8340.342323424,1695441023,100,4.686743366139273,6.9305419921875,3.268384663745183,15.493262849496926,0.00925
2023-09-23 03:51:23.557467221 +0000 UTC m=+8400.525541457,1695441083,100,2.457398771474229,7.03125,3.473706264394083,15.506557850942299,0.009
2023-09-23 03:52:23.425302576 +0000 UTC m=+8460.393376816,1695441143,100,2.390062593773962,7.1319580078125,3.9223903113525305,15.559225572264431,0.009
2023-09-23 03:53:23.40540739 +0000 UTC m=+8520.373481627,1695441203,100,2.668224672844124,7.1319580078125,3.3867794197679157,15.558225397843769,0.009
2023-09-23 03:54:23.60841751 +0000 UTC m=+8580.576491754,1695441263,100,2.383324930496994,7.1319580078125,3.245121849095589,15.558493737322484,0.009
2023-09-23 03:55:23.411550093 +0000 UTC m=+8640.379624330,1695441323,100,3.620008502158755,7.1319580078125,3.851473115118187,15.550443552961065,0.0046
2023-09-23 03:56:23.520528236 +0000 UTC m=+8700.488602482,1695441383,100,3.1930041902634376,7.1319580078125,3.345055681135256,15.601745182391562,0.0046
2023-09-23 03:57:23.384323514 +0000 UTC m=+8760.352397751,1695441443,100,2.957762133676949,7.1319580078125,3.3612390121310343,15.609161109803296,0.009
2023-09-23 03:58:23.421687076 +0000 UTC m=+8820.389761334,1695441503,100,1.8673665689933547,7.1319580078125,3.23093663680436,15.626456808931314,0.0046
2023-09-23 03:59:23.723559872 +0000 UTC m=+8880.691634108,1695441563,100,1.9661590060772667,7.1319580078125,3.2955068883083305,15.646143168869694,0.0085
2023-09-23 04:00:23.451870827 +0000 UTC m=+8940.419945076,1695441623,100,1.7082264999961465,7.1319580078125,3.2143156483067092,15.646387113850343,0.0046
2023-09-23 04:01:23.428899714 +0000 UTC m=+9000.396973952,1695441683,100,4.400630407142659,7.1319580078125,3.219459097376176,15.645533306418072,0.0046
2023-09-23 04:02:23.414871434 +0000 UTC m=+9060.382945678,1695441743,100,2.5413148715436424,7.1319580078125,3.3037434050777525,15.649387637112325,0.009
2023-09-23 04:03:23.398015633 +0000 UTC m=+9120.366089871,1695441803,100,2.414402269047209,7.1319580078125,3.3181113578419796,15.649119297633613,0.0046
2023-09-23 04:04:23.635989225 +0000 UTC m=+9180.604063467,1695441863,100,1.8566065514249532,7.232666015625,3.245121849090793,15.639727415878625,0.0046
2023-09-23 04:05:23.455028185 +0000 UTC m=+9240.423102450,1695441923,100,2.4997067815906875,7.232666015625,3.2328308207757783,15.636117030165018,0.0046
2023-09-23 04:06:23.613603017 +0000 UTC m=+9300.581677253,1695441983,100,2.539494382602294,7.232666015625,3.4466873272397947,15.61569883528469,0.0046
2023-09-23 04:07:23.510282904 +0000 UTC m=+9360.478357143,1695442043,100,2.5926741745489084,7.232666015625,3.392670157070554,15.558591315314743,0.0046
2023-09-23 04:08:23.531140846 +0000 UTC m=+9420.499215082,1695442103,100,3.1800570350928195,7.232666015625,4.323599648082144,15.566153609714863,0.0075000000000000015
