Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 06:18:23.836560947 +0000 UTC m=+17220.804635185,1695449903,100,10.746906089571203,6.536865234375,5.297429003516951,17.998407039276362,0.0046
2023-09-23 06:19:23.807098379 +0000 UTC m=+17280.775172632,1695449963,100,11.312600894214626,6.73828125,5.325767129058878,18.03985329148864,0.0046
2023-09-23 06:20:23.783689289 +0000 UTC m=+17340.751763526,1695450023,100,10.360471353634077,7.0404052734375,4.883691582897476,18.007433003560376,0.0046
2023-09-23 06:21:24.078174412 +0000 UTC m=+17401.046248663,1695450084,100,10.205325711843608,7.0404052734375,4.810881155286029,18.07000489109686,0.0046
2023-09-23 06:22:23.819687605 +0000 UTC m=+17460.787761856,1695450143,100,10.949762834101227,7.0404052734375,4.90331781386354,18.052270091003674,0.0046
2023-09-23 06:23:24.193754489 +0000 UTC m=+17521.161828732,1695450204,100,13.178303887972243,7.14111328125,4.767305107526532,18.061271660789625,0.0046
2023-09-23 06:24:23.731316931 +0000 UTC m=+17580.699391168,1695450263,100,14.445180772822782,7.14111328125,4.902537388690719,18.0260460055839,0.0046
2023-09-23 06:25:24.38239892 +0000 UTC m=+17641.350473181,1695450324,100,14.522261170749617,7.342529296875,5.791375977149182,18.130942347262998,0.0046
2023-09-23 06:26:23.78246366 +0000 UTC m=+17700.750537911,1695450383,100,6.9494767500000165,7.4432373046875,5.105168143077233,18.147823339923914,0.0046
2023-09-23 06:27:24.134412115 +0000 UTC m=+17761.102486352,1695450444,100,14.458125327791105,7.4432373046875,4.861460957183706,18.16394810314482,0.0085
2023-09-23 06:28:23.861065322 +0000 UTC m=+17820.829139559,1695450503,100,13.914127131072382,7.4432373046875,4.91253093931282,18.140504990504443,0.0046
2023-09-23 06:29:23.838543838 +0000 UTC m=+17880.806618105,1695450563,100,11.205723515027445,7.4432373046875,4.873540038654999,18.184927371480637,0.0046
2023-09-23 06:30:23.806053017 +0000 UTC m=+17940.774127255,1695450623,100,13.61039070535881,7.8460693359375,4.76910159531152,18.14875033085038,0.0046
2023-09-23 06:31:23.673485923 +0000 UTC m=+18000.641560161,1695450683,NaN,13.248506774543214,8.0474853515625,4.74850953062691,18.15938633200668,NaN
2023-09-23 06:32:23.806024003 +0000 UTC m=+18060.774098252,1695450743,100,11.063239935816698,8.0474853515625,5.169594566277147,18.15323891849432,0.0046
2023-09-23 06:33:23.717282339 +0000 UTC m=+18120.685356592,1695450803,100,13.390921296453417,8.0474853515625,5.032740094035326,18.158020240115043,0.0046
2023-09-23 06:34:23.7330527 +0000 UTC m=+18180.701126956,1695450863,100,14.66791193417536,8.0474853515625,5.133478844847983,18.163557791175776,0.0046
2023-09-23 06:35:23.685593122 +0000 UTC m=+18240.653667359,1695450923,100,13.829812313122906,8.0474853515625,4.8701571560662575,18.162606405751248,0.0046
2023-09-23 06:36:23.649547872 +0000 UTC m=+18300.617622113,1695450983,100,9.650936232002122,8.0474853515625,5.231363007089906,18.173096039919155,0.0046
2023-09-23 06:37:23.822175615 +0000 UTC m=+18360.790249860,1695451043,100,12.672841750527997,8.0474853515625,4.666610611290711,18.207638649179064,0.0046
2023-09-23 06:38:24.468949758 +0000 UTC m=+18421.437023994,1695451104,100,17.807616494093242,8.0474853515625,6.6324815063711355,17.93998221641091,0.0046
2023-09-23 06:39:23.695442157 +0000 UTC m=+18480.663516398,1695451163,NaN,21.09917050356725,8.0474853515625,5.213369770862853,18.04463461310936,NaN
2023-09-23 06:40:24.268431756 +0000 UTC m=+18541.236505993,1695451224,NaN,25.875166045639062,8.0474853515625,5.905859588592255,18.106206326225184,NaN
2023-09-23 06:41:23.866067206 +0000 UTC m=+18600.834141456,1695451283,NaN,29.611244473209602,8.551025390625,6.5730856518759655,18.11206100576076,NaN
2023-09-23 06:42:24.342405949 +0000 UTC m=+18661.310480207,1695451344,NaN,21.818486989584123,8.6517333984375,5.456767234139859,18.089203361073945,NaN
2023-09-23 06:43:23.664531205 +0000 UTC m=+18720.632605451,1695451403,NaN,23.987424884176225,8.6517333984375,5.478472922964405,18.110646124872996,NaN
2023-09-23 06:44:23.948575033 +0000 UTC m=+18780.916649271,1695451463,100,24.422517615104645,8.6517333984375,5.314050281696014,18.100132096207023,0.0046
2023-09-23 06:45:23.719514927 +0000 UTC m=+18840.687589176,1695451523,NaN,24.236122946223343,8.6517333984375,5.2895135499068875,18.084568406441612,NaN
2023-09-23 06:46:23.944568107 +0000 UTC m=+18900.912642344,1695451583,NaN,26.954709112285524,8.6517333984375,5.937052932762832,18.10157137159285,NaN
