Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 06:18:23.915378588 +0000 UTC m=+17220.883452854,1695449903,100,11.313040346184538,6.45751953125,4.246328912694275,15.558005847361187,0.0046
2023-09-23 06:19:23.884129528 +0000 UTC m=+17280.852203770,1695449963,100,13.621582658627007,6.658935546875,2.5342924054822635,15.625724973989366,0.0175
2023-09-23 06:20:23.91799984 +0000 UTC m=+17340.886074106,1695450023,100,13.874785194549528,6.9610595703125,2.48974809606729,15.669317942031356,0.022
2023-09-23 06:21:24.409903878 +0000 UTC m=+17401.377978144,1695450084,100,14.04753847391108,7.061767578125,2.5722531264410042,15.6705376669346,0.0085
2023-09-23 06:22:23.900019194 +0000 UTC m=+17460.868093455,1695450143,100,13.004384850201411,7.061767578125,2.371789508918898,15.704885120209989,0.0046
2023-09-23 06:23:24.253068518 +0000 UTC m=+17521.221142759,1695450204,100,13.460320668864808,7.061767578125,2.339793227585407,15.710203120788139,0.0085
2023-09-23 06:24:23.795994384 +0000 UTC m=+17580.764068648,1695450263,100,14.037470850589367,7.7667236328125,2.552728490126699,15.739281362481506,0.0046
2023-09-23 06:25:24.504255051 +0000 UTC m=+17641.472329331,1695450324,100,13.52947693184916,7.7667236328125,2.399665551839203,15.737012674161468,0.019
2023-09-23 06:26:23.883216608 +0000 UTC m=+17700.851290845,1695450383,100,13.341999233865023,7.867431640625,2.3189619087603197,15.79175392781912,0.023
2023-09-23 06:27:24.181559861 +0000 UTC m=+17761.149634101,1695450444,100,8.75357317153699,7.867431640625,2.4822101297694465,15.801048231581849,0.0085
2023-09-23 06:28:23.941754083 +0000 UTC m=+17820.909828320,1695450503,100,12.642727330884535,7.867431640625,2.565497614469636,15.782264468071872,0.085
2023-09-23 06:29:23.898676631 +0000 UTC m=+17880.866750890,1695450563,100,13.49357822934056,7.9681396484375,2.363917827699513,15.806829727623231,0.022
2023-09-23 06:30:23.906004487 +0000 UTC m=+17940.874078735,1695450623,100,13.410675730690091,7.9681396484375,2.565282892534426,15.809879039881345,0.022
2023-09-23 06:31:23.752740027 +0000 UTC m=+18000.720814267,1695450683,100,13.365423927032646,7.9681396484375,2.493202258941951,15.800218818647643,0.0046
2023-09-23 06:32:23.864814291 +0000 UTC m=+18060.832888538,1695450743,100,13.43235156691367,7.9681396484375,2.513277296873462,15.808244608510996,0.0046
2023-09-23 06:33:23.785187315 +0000 UTC m=+18120.753261558,1695450803,100,12.835750203353802,7.9681396484375,2.3788619925504517,15.830858308217163,0.0235
2023-09-23 06:34:23.791733341 +0000 UTC m=+18180.759807580,1695450863,100,14.502931623759983,7.9681396484375,2.4472891566182597,15.811854994224603,0.019
2023-09-23 06:35:23.755572967 +0000 UTC m=+18240.723647226,1695450923,100,11.273389068481746,7.9681396484375,2.4174996863094877,15.811952572216862,0.0085
2023-09-23 06:36:23.835087741 +0000 UTC m=+18300.803161982,1695450983,100,12.139963049609005,7.9681396484375,2.1827305038689904,15.826247748082897,0.0215
