Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 06:18:23.949702309 +0000 UTC m=+17220.917776557,1695449903,100,1.4293194796472104,4.529513888888889,1.75578276901468,15.5869133275681,0.4750000000000002
2023-09-23 06:19:24.001239249 +0000 UTC m=+17280.969313500,1695449964,100,2.121919517958411,4.529513888888889,1.8471977883934732,15.6377270670373,0.1599999999999999
2023-09-23 06:20:23.963270618 +0000 UTC m=+17340.931344857,1695450023,100,1.3139067577061405,4.529513888888889,1.849527157079378,15.636995232095352,0.2749999999999998
2023-09-23 06:21:24.48985371 +0000 UTC m=+17401.457927964,1695450084,100,1.601832202300605,4.529513888888889,1.836128654477287,15.6377270670373,0.11499999999999985
2023-09-23 06:22:23.944525754 +0000 UTC m=+17460.912600009,1695450143,100,1.2935638750000007,4.558159722222222,1.7156965309488847,15.6548276101808,0.25
2023-09-23 06:23:24.280252843 +0000 UTC m=+17521.248327080,1695450204,100,2.0489855506083217,4.558159722222222,1.7557091975653139,15.629432937695231,0.11499999999999985
2023-09-23 06:24:23.835801452 +0000 UTC m=+17580.803875699,1695450263,100,2.23793119170367,4.558159722222222,1.6004692475265703,15.637775856033432,0.2750000000000002
2023-09-23 06:25:24.551639421 +0000 UTC m=+17641.519713662,1695450324,100,1.6391000894715901,4.558159722222222,2.3652042866692646,15.674001685659816,0.3812499999999999
2023-09-23 06:26:23.927370521 +0000 UTC m=+17700.895444763,1695450383,100,2.3417934210908706,4.558159722222222,1.7421165040409359,15.67258680477205,0.3999999999999999
2023-09-23 06:27:24.206142548 +0000 UTC m=+17761.174216784,1695450444,100,1.3989087125000021,4.558159722222222,1.7593096803912855,15.675294594057258,0.3874999999999999
2023-09-23 06:28:23.984445903 +0000 UTC m=+17820.952520142,1695450503,100,1.488652093114443,4.558159722222222,1.7582785615589347,15.680002732183784,0.24250000000000008
2023-09-23 06:29:23.942896603 +0000 UTC m=+17880.910970847,1695450563,100,1.564769163084933,4.558159722222222,1.7866856353948801,15.66387796896288,0.4875000000000001
2023-09-23 06:30:23.962560815 +0000 UTC m=+17940.930635076,1695450623,100,1.4815688911597276,4.558159722222222,1.6464870752959326,15.681442007569613,0.2624999999999999
2023-09-23 06:31:23.793433883 +0000 UTC m=+18000.761508125,1695450683,100,1.5260379408490434,4.558159722222222,1.7919196148278638,15.701469890480901,0.3250000000000001
2023-09-23 06:32:23.912439819 +0000 UTC m=+18060.880514056,1695450743,100,2.0951010042589018,4.558159722222222,1.6004021953197167,15.709422496850062,0.2624999999999999
2023-09-23 06:33:23.850362479 +0000 UTC m=+18120.818436728,1695450803,100,1.3464658544712766,4.558159722222222,1.719305584605546,15.703226294341574,0.3499999999999998
2023-09-23 06:34:23.82413076 +0000 UTC m=+18180.792205004,1695450863,100,1.5924738209389908,4.558159722222222,1.624654551552529,15.707470937004869,0.20499999999999993
2023-09-23 06:35:23.790012393 +0000 UTC m=+18240.758086631,1695450923,100,1.5395259088437914,4.558159722222222,1.7460118075563913,15.720302442987007,0.3499999999999998
2023-09-23 06:36:23.937736182 +0000 UTC m=+18300.905810420,1695450983,100,1.9957014261491692,4.558159722222222,3.5957036166919143,16.239612517792736,0.04750000000000003
2023-09-23 06:37:23.945406577 +0000 UTC m=+18360.913480818,1695451043,100,1.8782354291167744,4.558159722222222,2.0198633868272697,16.376660807921382,0.4000000000000002
2023-09-23 06:38:24.706254984 +0000 UTC m=+18421.674329242,1695451104,100,2.0513581593030272,4.615451388888888,2.722087073236923,15.818343930709869,0.12500000000000008
2023-09-23 06:39:23.855423499 +0000 UTC m=+18480.823497736,1695451163,100,2.1619014644627557,4.615451388888888,2.0521841102197347,15.813123508123978,0.4083333333333333
2023-09-23 06:40:24.369671671 +0000 UTC m=+18541.337745908,1695451224,100,2.63991924014769,4.615451388888888,2.05826870677589,15.824296188237705,0.24249999999999983
2023-09-23 06:41:24.065925622 +0000 UTC m=+18601.033999859,1695451284,100,3.018680690927419,4.615451388888888,2.38863512551466,15.81731936179114,0.23499999999999965
2023-09-23 06:42:24.471087517 +0000 UTC m=+18661.439161761,1695451344,100,4.325964389238641,4.644097222222222,2.0076281487132697,15.790802542394589,0.3999999999999993
2023-09-23 06:43:23.756235564 +0000 UTC m=+18720.724309806,1695451403,100,4.278427465829339,4.644097222222222,2.190851206436839,15.818709848180843,0.7200000000000003
2023-09-23 06:44:24.058604321 +0000 UTC m=+18781.026678571,1695451464,100,3.3493134507126703,4.672743055555555,2.2076997193134495,15.795339919034662,0.40625000000000006
2023-09-23 06:45:23.863572433 +0000 UTC m=+18840.831646674,1695451523,100,3.620218190880072,4.672743055555555,2.1923205902148912,15.813050324629781,0.35000000000000037
2023-09-23 06:46:24.094049416 +0000 UTC m=+18901.062123660,1695451584,100,5.186308024994198,4.672743055555555,2.1372894141275967,15.811854994224603,0.4350000000000002
2023-09-23 06:47:23.965272195 +0000 UTC m=+18960.933346472,1695451643,100,3.868993259805454,4.672743055555555,2.2232456874918816,15.787338523669373,0.33499999999999974
2023-09-23 06:48:23.800229856 +0000 UTC m=+19020.768304106,1695451703,100,3.0388559514723448,4.672743055555555,2.124895222129375,15.810269351850383,0.5200000000000005
2023-09-23 06:49:24.166699223 +0000 UTC m=+19081.134773472,1695451764,100,1.9969074333333539,4.672743055555555,2.1491411813911565,15.801267782064432,0.43333333333333407
2023-09-23 06:50:23.923522988 +0000 UTC m=+19140.891597232,1695451823,100,4.953347807353499,4.672743055555555,2.194856329059769,15.810074195865864,0.4166666666666665
2023-09-23 06:51:24.036577038 +0000 UTC m=+19201.004651281,1695451884,100,3.9649932708821236,4.672743055555555,2.0956452491659117,15.823491169801562,0.42499999999999966
2023-09-23 06:52:23.954340911 +0000 UTC m=+19260.922415149,1695451943,100,3.8291040899353326,4.672743055555555,2.078967222729078,15.836322675783704,0.75
2023-09-23 06:53:24.446012684 +0000 UTC m=+19321.414086938,1695452004,100,4.084919215111563,4.672743055555555,2.2464375523827074,15.816441159860805,0.3849999999999999
2023-09-23 06:54:23.904179157 +0000 UTC m=+19380.872253394,1695452063,100,1.5855254052822627,4.672743055555555,3.384009716463554,15.6972984313118,0.23499999999999996
2023-09-23 06:55:24.195096296 +0000 UTC m=+19441.163170534,1695452124,100,3.7768987420290396,4.672743055555555,4.271893453959752,15.875353872687553,0.39375
2023-09-23 06:56:23.909516439 +0000 UTC m=+19500.877590678,1695452183,100,4.413022046880609,4.672743055555555,4.102929466484984,16.426547556464115,0.6250000000000004
