time,timestamp,frontend_shippingservice,frontend_cartservice,checkoutservice_productcatalogservice,checkoutservice_paymentservice,frontend_checkoutservice,recommendationservice_productcatalogservice,frontend_currencyservice,checkoutservice_shippingservice,frontend_productcatalogservice,checkoutservice_emailservice,frontend_adservice,frontend_recommendationservice,checkoutservice_currencyservice,checkoutservice_cartservice
2023-09-23 07:40:24.157693624 +0000 UTC m=+22141.125767870,1695454824,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,93.65079365079364,100.0,100.0,100.0
2023-09-23 07:41:24.315693502 +0000 UTC m=+22201.283767773,1695454884,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:42:24.684527486 +0000 UTC m=+22261.652601762,1695454944,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:43:24.069291802 +0000 UTC m=+22321.037366040,1695455004,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:44:24.271625527 +0000 UTC m=+22381.239699769,1695455064,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:45:24.266921918 +0000 UTC m=+22441.234996183,1695455124,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:46:24.345240298 +0000 UTC m=+22501.313314564,1695455184,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:47:24.669124422 +0000 UTC m=+22561.637198688,1695455244,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:48:24.21016315 +0000 UTC m=+22621.178237391,1695455304,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:49:24.084823314 +0000 UTC m=+22681.052897578,1695455364,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:50:24.290378965 +0000 UTC m=+22741.258453251,1695455424,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:51:24.200021969 +0000 UTC m=+22801.168096237,1695455484,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:52:24.668238919 +0000 UTC m=+22861.636313197,1695455544,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:53:24.32717791 +0000 UTC m=+22921.295252150,1695455604,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:54:24.095384139 +0000 UTC m=+22981.063458380,1695455664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:55:24.230817641 +0000 UTC m=+23041.198891892,1695455724,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:56:24.260368252 +0000 UTC m=+23101.228442507,1695455784,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:57:24.78267962 +0000 UTC m=+23161.750753875,1695455844,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:58:24.505674543 +0000 UTC m=+23221.473748790,1695455904,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 07:59:24.316374118 +0000 UTC m=+23281.284448379,1695455964,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0
2023-09-23 08:00:24.346196325 +0000 UTC m=+23341.314270572,1695456024,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,63.63636363636363,100.0,100.0,100.0,100.0
2023-09-23 08:01:24.39778735 +0000 UTC m=+23401.365861591,1695456084,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,68.0,100.0,100.0,100.0,100.0
2023-09-23 08:02:24.768040936 +0000 UTC m=+23461.736115193,1695456144,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.57142857142857,100.0,100.0,100.0,100.0
2023-09-23 08:03:24.41072699 +0000 UTC m=+23521.378801244,1695456204,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0
2023-09-23 08:04:24.151814263 +0000 UTC m=+23581.119888514,1695456264,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.54545454545454,100.0,100.0,100.0,100.0
2023-09-23 08:05:24.403617281 +0000 UTC m=+23641.371691520,1695456324,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0
2023-09-23 08:06:24.263731268 +0000 UTC m=+23701.231805528,1695456384,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0
2023-09-23 08:07:24.627946486 +0000 UTC m=+23761.596020752,1695456444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,57.14285714285714,100.0,100.0,100.0,100.0
2023-09-23 08:08:24.411317138 +0000 UTC m=+23821.379391382,1695456504,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,100.0,100.0,100.0,100.0
