Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 07:41:23.780661893 +0000 UTC m=+22200.748736133,1695454883,100,0.5124627765983505,13.3087158203125,3.744973190351486,17.39217936786537,0.0046
2023-09-23 07:42:24.270562075 +0000 UTC m=+22261.238636313,1695454944,100,0.3375244317285806,13.61083984375,3.463893315452782,17.44209051090617,0.0046
2023-09-23 07:43:23.698943719 +0000 UTC m=+22320.667017958,1695455003,100,0.44886180137215514,14.1021728515625,3.555723080793749,17.44377373127265,0.0046
2023-09-23 07:44:23.824856542 +0000 UTC m=+22380.792930801,1695455063,100,0.3843384911691446,14.0472412109375,3.4461074078689258,17.437187216795124,0.0046
2023-09-23 07:45:23.817922634 +0000 UTC m=+22440.785996878,1695455123,100,0.24203681771435567,14.1448974609375,3.455497382194239,17.45775177866384,0.0046
2023-09-23 07:46:23.783456966 +0000 UTC m=+22500.751531216,1695455183,100,0.37797209812471544,14.3157958984375,3.6026978341924143,17.43462579449831,0.0046
2023-09-23 07:47:24.129257021 +0000 UTC m=+22561.097331263,1695455244,100,0.5072127756885875,14.5172119140625,3.5675358430479753,17.483536763118444,0.0046
2023-09-23 07:48:23.713596864 +0000 UTC m=+22620.681671117,1695455303,100,0.4594609700443112,15.020751953125,3.4555061645719976,17.45914226505354,0.0046
2023-09-23 07:49:23.729328645 +0000 UTC m=+22680.697402904,1695455363,100,0.33342806902135275,15.1214599609375,3.2843198860481815,17.507297004233667,0.0046
2023-09-23 07:50:23.74588643 +0000 UTC m=+22740.713960676,1695455423,100,0.44489698170114106,15.5242919921875,3.508478124358283,17.474144881363458,0.0046
2023-09-23 07:51:23.719644795 +0000 UTC m=+22800.687719039,1695455483,100,0.4921279716599942,16.0369873046875,3.329285145944061,17.512078325854386,0.0046
2023-09-23 07:52:23.905644388 +0000 UTC m=+22860.873718658,1695455543,100,0.5703350708000078,16.5008544921875,3.53552278821595,17.508028839175612,0.0046
2023-09-23 07:53:23.760994914 +0000 UTC m=+22920.729069172,1695455603,100,0.5850519075864927,17.0318603515625,3.480628272233943,17.538278016776097,0.0046
2023-09-23 07:54:23.643688554 +0000 UTC m=+22980.611762809,1695455663,100,0.43561060522443035,17.2332763671875,3.4738207843334257,17.550060559341446,0.0046
2023-09-23 07:55:23.727658092 +0000 UTC m=+23040.695732355,1695455723,100,0.35211783078481484,17.535400390625,3.616174313840148,17.544474219284584,0.0046
2023-09-23 07:56:23.806723898 +0000 UTC m=+23100.774798145,1695455783,100,0.39991759659288817,17.73681640625,3.283844992445617,17.539448952683212,0.0046
2023-09-23 07:57:24.187770285 +0000 UTC m=+23161.155844534,1695455844,100,0.43639505796991246,17.938232421875,3.4683777889612744,17.54862128395562,0.0046
2023-09-23 07:58:23.900781666 +0000 UTC m=+23220.868855926,1695455903,100,0.3352460637926259,17.8314208984375,3.4644547777700874,17.581773406825825,0.0046
2023-09-23 07:59:23.708529148 +0000 UTC m=+23280.676603409,1695455963,100,0.35595275406027765,17.9718017578125,3.3931634659603027,17.598142115027375,0.0046
2023-09-23 08:00:23.769166066 +0000 UTC m=+23340.737240316,1695456023,100,0.23637529099919313,18.072509765625,3.1375502008065936,17.616218438093473,0.0046
2023-09-23 08:01:23.833489985 +0000 UTC m=+23400.801564238,1695456083,100,0.3939832998392293,18.475341796875,3.743606942233779,17.58826234331109,0.0046
2023-09-23 08:02:24.272689406 +0000 UTC m=+23461.240763644,1695456144,100,0.32901657523819405,18.9483642578125,3.2579564489114365,17.588359921303347,0.0046
2023-09-23 08:03:23.84415715 +0000 UTC m=+23520.812231409,1695456203,100,0.3990637347490941,19.1497802734375,3.253158712172677,17.637856357877045,0.0046
2023-09-23 08:04:23.710171795 +0000 UTC m=+23580.678246046,1695456263,100,0.48979107694358825,19.22607421875,3.418410041838016,17.59855682149448,0.0046
2023-09-23 08:05:23.83548732 +0000 UTC m=+23640.803561585,1695456323,100,0.2284120190277147,19.427490234375,3.24743347998544,17.60143537226614,0.0046
2023-09-23 08:06:23.732115026 +0000 UTC m=+23700.700189276,1695456383,100,0.4210346437394206,19.7296142578125,3.411853466353343,17.63678299996219,0.0046
2023-09-23 08:07:24.205368568 +0000 UTC m=+23761.173442814,1695456444,100,0.4931919389485594,20.9136962890625,3.3391989274303313,17.610314969561767,0.0046
2023-09-23 08:08:23.880916996 +0000 UTC m=+23820.848991239,1695456503,100,0.41913575342793624,20.9136962890625,3.546129018736399,17.668129929975592,0.0046
2023-09-23 08:09:23.66631683 +0000 UTC m=+23880.634391080,1695456563,100,0.349900513914477,20.9564208984375,3.3298385405689745,17.61824318143286,0.0046
2023-09-23 08:10:23.888659557 +0000 UTC m=+23940.856733813,1695456623,100,0.5679438165514634,21.270751953125,3.401845637581602,17.61416930025602,0.0046
2023-09-23 08:11:23.836294905 +0000 UTC m=+24000.804369160,1695456683,100,0.338278224666828,21.3714599609375,3.3133665647405275,17.626952017242033,0.0046
2023-09-23 08:12:24.33247793 +0000 UTC m=+24061.300552174,1695456744,100,0.4627532009017829,21.9085693359375,3.521038308544522,17.697964401108973,0.0046
2023-09-23 08:13:23.997281677 +0000 UTC m=+24120.965355931,1695456803,100,0.9218964746471029,20.81298828125,3.3351512354832247,17.67991247254094,0.0046
2023-09-23 08:14:23.926906827 +0000 UTC m=+24180.894981086,1695456863,100,0.27810898007731394,20.81298828125,2.373974208677898,17.02901847517311,0.0046
2023-09-23 08:15:23.825537986 +0000 UTC m=+24240.793612237,1695456923,100,0.5247754738037829,21.173095703125,2.334923424565827,17.022822272664623,0.0046
2023-09-23 08:16:23.840068498 +0000 UTC m=+24300.808142747,1695456983,100,0.4794268948935176,21.173095703125,2.903347438086279,17.503467068037477,0.0046
2023-09-23 08:17:24.195358936 +0000 UTC m=+24361.163433186,1695457044,100,0.3551066455239994,21.173095703125,2.5361559421464785,16.945174585324025,0.0046
2023-09-23 08:18:23.887404851 +0000 UTC m=+24420.855479089,1695457103,100,0.007851916666664256,21.173095703125,2.6101893748927685,17.505150288403954,0.0046
2023-09-23 08:19:23.72397283 +0000 UTC m=+24480.692047079,1695457163,100,0.1401224595748728,21.173095703125,2.7188050683817466,17.029433181640215,0.0046
