Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 09:07:23.531481411 +0000 UTC m=+27360.499555647,1695460043,100,2.571989671435814,6.170654296875,3.7214180826349974,16.063435452767983,0.0085
2023-09-23 09:08:23.488795846 +0000 UTC m=+27420.456870084,1695460103,100,1.8485064765884733,6.6741943359375,3.588516746400139,16.1380094333524,0.0046
2023-09-23 09:09:23.479669535 +0000 UTC m=+27480.447743772,1695460163,100,3.7773703944941084,6.8756103515625,3.648807524366382,16.082194821779897,0.0046
2023-09-23 09:10:23.633196789 +0000 UTC m=+27540.601271026,1695460223,100,4.1043997093445705,6.976318359375,3.4834431527147047,16.134789359607833,0.0046
2023-09-23 09:11:23.548568271 +0000 UTC m=+27600.516642511,1695460283,100,4.115102635945279,6.976318359375,3.334871429169828,16.09663636463432,0.0046
2023-09-23 09:12:23.46935498 +0000 UTC m=+27660.437429217,1695460343,100,2.644259862499998,6.976318359375,3.4952681387961593,16.15271931568554,0.0075
2023-09-23 09:13:23.509100538 +0000 UTC m=+27720.477174775,1695460403,100,3.576655853765176,6.976318359375,3.2255358416176994,16.13735078190465,0.0046
2023-09-23 09:14:23.646163191 +0000 UTC m=+27780.614237427,1695460463,100,3.646690373507718,6.976318359375,3.564830366145322,16.140180543680177,0.0046
2023-09-23 09:15:23.536581782 +0000 UTC m=+27840.504656031,1695460523,100,2.0670696352439597,6.976318359375,3.4162924413656315,16.12522671636639,0.0046
2023-09-23 09:16:23.640061602 +0000 UTC m=+27900.608135839,1695460583,100,3.1138089550833348,6.976318359375,3.5363705008761848,16.170136987303884,0.0085
2023-09-23 09:17:23.641186527 +0000 UTC m=+27960.609260764,1695460643,100,3.2436427249999955,7.0770263671875,3.6131952886063634,16.168892867902574,0.007999999999999998
2023-09-23 09:18:23.550866291 +0000 UTC m=+28020.518940528,1695460703,100,2.4428990865034548,7.177734375,3.62133355713975,16.187652236914488,0.0046
2023-09-23 09:19:23.582870748 +0000 UTC m=+28080.550944994,1695460763,100,3.141771082998326,7.2784423828125,3.564231738040058,16.13854611230983,0.0046
2023-09-23 09:20:23.618090127 +0000 UTC m=+28140.586164363,1695460823,100,2.8614805700130925,7.2784423828125,3.5927138420145055,16.13720441491626,0.0046
2023-09-23 09:21:23.664928968 +0000 UTC m=+28200.633003213,1695460883,100,3.4239195493459604,7.2784423828125,3.5986913849481383,16.151914297249398,0.0046
2023-09-23 09:22:23.512822306 +0000 UTC m=+28260.480896547,1695460943,100,4.977629349423197,7.2784423828125,3.389972729190527,16.166892519061253,0.0046
2023-09-23 09:23:23.64972993 +0000 UTC m=+28320.617804183,1695461003,100,2.8048482741774095,7.2784423828125,5.64458763962814,15.497970987623452,0.0046
2023-09-23 09:24:23.726115033 +0000 UTC m=+28380.694189270,1695461063,100,3.557593593961112,7.379150390625,4.47297750924518,16.17091761124196,0.0046
2023-09-23 09:25:23.629266532 +0000 UTC m=+28440.597340768,1695461123,100,3.957301000091553,7.379150390625,3.608593487743228,16.23892947184692,0.0046
2023-09-23 09:26:23.576483914 +0000 UTC m=+28500.544558151,1695461183,100,2.9786435688259894,7.379150390625,3.3947379463661997,16.2285862046674,0.0095
2023-09-23 09:27:23.670019298 +0000 UTC m=+28560.638093535,1695461243,NaN,2.693468633377533,7.4798583984375,3.262738519612085,16.222487580151174,NaN
2023-09-23 09:28:23.572296464 +0000 UTC m=+28620.540370705,1695461303,100,1.5618173387565448,7.4798583984375,3.0631084256564245,16.22978153507258,0.0046
2023-09-23 09:29:23.556375526 +0000 UTC m=+28680.524449763,1695461363,100,2.6449993329704893,7.58056640625,3.167420814491695,16.270715502825492,0.009
2023-09-23 09:30:23.541630476 +0000 UTC m=+28740.509704716,1695461423,100,1.6714030000000157,7.6812744140625,3.073633009062249,16.295329551372983,0.0046
2023-09-23 09:31:23.923339882 +0000 UTC m=+28800.891414122,1695461483,100,2.051374270212886,7.6812744140625,3.1951025200171568,16.267202695104146,0.0046
2023-09-23 09:32:23.674709858 +0000 UTC m=+28860.642784095,1695461543,100,3.8163245172852265,7.6812744140625,3.078471668835603,16.23773414144174,0.0046
2023-09-23 09:33:23.604973513 +0000 UTC m=+28920.573047758,1695461603,100,2.1017600052400502,7.6812744140625,3.136005366426464,16.28969442231999,0.0095
2023-09-23 09:34:23.870490592 +0000 UTC m=+28980.838564830,1695461663,100,2.333031696679863,7.781982421875,3.0905354971355603,16.287254972513498,0.0046
2023-09-23 09:35:23.592915401 +0000 UTC m=+29040.560989638,1695461723,100,3.149029722632034,7.781982421875,3.173537066578358,16.286425559579293,0.0046
2023-09-23 09:36:23.534904288 +0000 UTC m=+29100.502978529,1695461783,100,2.8743869616026676,7.781982421875,3.2363544898053043,16.262811685452462,0.0085
2023-09-23 09:37:23.573008021 +0000 UTC m=+29160.541082258,1695461843,100,2.041024512173897,7.781982421875,3.110328638492288,16.26022586865758,0.00925
2023-09-23 09:38:23.538786378 +0000 UTC m=+29220.506860628,1695461903,100,3.7085526880505877,7.781982421875,3.4416184000642502,16.2526391797594,0.0095
2023-09-23 09:39:23.510256453 +0000 UTC m=+29280.478330689,1695461963,NaN,1.3395222957818465,7.781982421875,7.590331214465795,17.41286590222441,NaN
2023-09-23 09:40:23.681315773 +0000 UTC m=+29340.649390020,1695462023,100,2.6086254991611124,7.781982421875,4.194863603895849,17.5798462414787,0.007999999999999998
2023-09-23 09:41:23.595380061 +0000 UTC m=+29400.563454297,1695462083,NaN,1.258052238393759,7.781982421875,2.7519087171619883,16.931757611388328,NaN
2023-09-23 09:42:23.603914624 +0000 UTC m=+29460.571988860,1695462143,100,2.9502673296610022,7.781982421875,2.1155376817038496,16.919267628379096,0.0095
2023-09-23 09:43:23.662174241 +0000 UTC m=+29520.630248479,1695462203,100,1.7543771867146272,7.781982421875,2.633454941913771,17.37690841207674,0.0046
2023-09-23 09:44:23.573195036 +0000 UTC m=+29580.541269276,1695462263,NaN,1.3798673419535445,7.781982421875,1.927670452150565,16.929318161581836,NaN
