Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 09:07:23.750723208 +0000 UTC m=+27360.718797444,1695460043,100,27.984755182369458,11.822509765625,5.278654048365528,15.548028497652638,0.007857142857142858
2023-09-23 09:08:23.606237713 +0000 UTC m=+27420.574311978,1695460103,100,35.8987296330584,12.3260498046875,5.272215925781854,15.624456460089991,0.004900000000000001
2023-09-23 09:09:23.609086717 +0000 UTC m=+27480.577160953,1695460163,100,22.614378394482756,13.433837890625,4.914314516133156,15.653949408250464,0.007166666666666664
2023-09-23 09:10:23.924854795 +0000 UTC m=+27540.892929032,1695460223,100,33.49694380825117,13.63525390625,4.986347406000613,15.675733695022426,0.0049375
2023-09-23 09:11:23.756282049 +0000 UTC m=+27600.724356301,1695460283,100,23.4037547929873,13.63525390625,4.993280698790404,15.688955512973605,0.008600000000000003
2023-09-23 09:12:23.596777613 +0000 UTC m=+27660.564851854,1695460343,100,33.40914025857814,13.7359619140625,4.967276388658137,15.714228212968848,0.008875
2023-09-23 09:13:23.722951045 +0000 UTC m=+27720.691025281,1695460403,100,20.777076576811375,13.7359619140625,4.782699978990312,15.698493761716984,0.007400000000000001
2023-09-23 09:14:23.907446145 +0000 UTC m=+27780.875520398,1695460463,100,36.697690859848706,13.7359619140625,5.170965302847607,15.730621315668463,0.006899999999999998
2023-09-23 09:15:23.713784978 +0000 UTC m=+27840.681859214,1695460523,100,19.822880010222494,13.7359619140625,4.398187006886422,15.744013895106098,0.0066666666666666706
2023-09-23 09:16:23.858004142 +0000 UTC m=+27900.826078391,1695460583,100,31.593541450484974,13.9373779296875,4.82008649282969,15.746916840375821,0.005999999999999998
2023-09-23 09:17:23.872119239 +0000 UTC m=+27960.840193475,1695460643,100,31.237541944316533,13.9373779296875,4.683634533960646,15.726401067503234,0.007750000000000005
2023-09-23 09:18:23.758305879 +0000 UTC m=+28020.726380116,1695460703,100,25.690423894454195,14.0380859375,4.69641060046504,15.749795391147481,0.007299999999999999
2023-09-23 09:19:23.768756864 +0000 UTC m=+28080.736831101,1695460763,100,24.6123132681638,14.0380859375,4.575438006806632,15.757382080045668,0.006374999999999998
2023-09-23 09:20:23.812676983 +0000 UTC m=+28140.780751226,1695460823,100,32.58896317242515,14.0380859375,4.91239835694307,15.749575840664898,0.004927272727272728
2023-09-23 09:21:23.845043729 +0000 UTC m=+28200.813117966,1695460883,100,33.77189097272071,14.0380859375,4.9132097675688495,15.755894015663706,0.00808333333333333
2023-09-23 09:22:23.688489524 +0000 UTC m=+28260.656563760,1695460943,100,26.658080520931687,14.0380859375,5.188817636935461,15.767725347225186,0.0065000000000000014
2023-09-23 09:23:23.852041194 +0000 UTC m=+28320.820115432,1695461003,100,32.19040921510436,14.1387939453125,5.510358131345439,15.32379427144002,0.008399999999999998
2023-09-23 09:24:23.99725544 +0000 UTC m=+28380.965329677,1695461063,100,32.6611948458507,14.1387939453125,4.707213815637834,15.344017310335827,0.006600000000000001
2023-09-23 09:25:23.855188998 +0000 UTC m=+28440.823263234,1695461123,100,32.082289341996464,14.1387939453125,4.835663014734326,15.28834906575171,0.008799999999999999
2023-09-23 09:26:23.739160101 +0000 UTC m=+28500.707234337,1695461183,100,23.587877846846062,14.1387939453125,5.810243492858136,15.765407869909021,0.005500000000000003
2023-09-23 09:27:23.850705224 +0000 UTC m=+28560.818779460,1695461243,100,27.31358842958996,14.1387939453125,5.26778979128909,15.825247573662235,0.0075000000000000015
2023-09-23 09:28:24.061524403 +0000 UTC m=+28621.029598649,1695461304,100,26.11033598738454,14.1387939453125,4.57976849524131,15.832468345089449,0.005
2023-09-23 09:29:23.735448144 +0000 UTC m=+28680.703522385,1695461363,100,25.89593927816604,14.1387939453125,4.644728568439249,15.899772765250525,0.00725
2023-09-23 09:30:23.698304338 +0000 UTC m=+28740.666378576,1695461423,100,26.259690092423778,14.1387939453125,4.631570123247297,15.84395815367802,0.008
2023-09-23 09:31:24.18205687 +0000 UTC m=+28801.150131124,1695461484,100,25.782842281959763,14.239501953125,4.519537145712671,15.912335931753951,0.0085
2023-09-23 09:32:23.898196132 +0000 UTC m=+28860.866270382,1695461543,100,24.639794182031164,14.239501953125,4.567569834751217,15.889722232047784,0.009833333333333333
2023-09-23 09:33:23.795003452 +0000 UTC m=+28920.763077692,1695461603,100,25.484199607616958,14.239501953125,4.4616998950694375,15.8802571667986,0.008
2023-09-23 09:34:24.014254403 +0000 UTC m=+28980.982328649,1695461664,100,27.152247321097107,14.239501953125,4.511278195492707,15.913677629147521,0.004959999999999999
2023-09-23 09:35:23.789397386 +0000 UTC m=+29040.757471635,1695461723,100,19.062236883850314,14.239501953125,4.566037735852357,15.922898749416056,0.0065000000000000014
2023-09-23 09:36:23.734686104 +0000 UTC m=+29100.702760341,1695461783,100,17.65678487695134,14.239501953125,4.895427302051381,15.879427753864395,0.007249999999999999
2023-09-23 09:37:23.78490754 +0000 UTC m=+29160.752981790,1695461843,100,25.900073149459285,14.239501953125,4.703416474533483,15.915873133973363,0.00875
2023-09-23 09:38:23.730314509 +0000 UTC m=+29220.698388756,1695461903,100,22.097161724877516,14.3402099609375,4.799731013326292,15.897333315444035,0.0046
2023-09-23 09:39:23.647110982 +0000 UTC m=+29280.615185218,1695461963,100,16.849114881829895,14.3402099609375,4.840534763819814,15.883184506566389,0.0046
2023-09-23 09:40:23.971060212 +0000 UTC m=+29340.939134461,1695462023,100,25.695437685055296,14.3402099609375,4.965043747650433,15.921410685034099,0.006000000000000005
2023-09-23 09:41:23.822740851 +0000 UTC m=+29400.790815088,1695462083,NaN,20.70787146403343,14.3402099609375,8.413370800667263,14.876789488898673,NaN
2023-09-23 09:42:23.77912945 +0000 UTC m=+29460.747203687,1695462143,100,20.64116565267358,14.3402099609375,5.119926199273439,15.777068439984046,0.0085
2023-09-23 09:43:23.895818829 +0000 UTC m=+29520.863893069,1695462203,NaN,18.000032557583445,14.3402099609375,3.373140582444467,15.249195896357534,NaN
2023-09-23 09:44:23.798618368 +0000 UTC m=+29580.766692605,1695462263,NaN,14.148761380057593,14.3402099609375,3.272849180755577,15.746282583426133,NaN
