Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 09:07:23.964005592 +0000 UTC m=+27360.932079832,1695460043,100,13.45637305932105,6.591796875,5.278654048365528,15.548028497652638,0.02092857142857143
2023-09-23 09:08:23.690896262 +0000 UTC m=+27420.658970499,1695460103,100,9.132970096763483,6.6925048828125,5.272215925781854,15.624456460089991,0.022
2023-09-23 09:09:23.690805379 +0000 UTC m=+27480.658879615,1695460163,100,13.56551035227901,6.793212890625,4.914314516133156,15.653949408250464,0.01800000000000001
2023-09-23 09:10:24.200728425 +0000 UTC m=+27541.168802668,1695460224,100,12.895436960969919,7.3974609375,4.986347406000613,15.675733695022426,0.015499999999999995
2023-09-23 09:11:23.97455487 +0000 UTC m=+27600.942629122,1695460283,100,13.555091072541595,7.4981689453125,4.993280698790404,15.688955512973605,0.022250000000000002
2023-09-23 09:12:23.682699751 +0000 UTC m=+27660.650773987,1695460343,100,11.5704339505859,7.4981689453125,4.967276388658137,15.714228212968848,0.0206875
2023-09-23 09:13:23.891868651 +0000 UTC m=+27720.859942891,1695460403,100,12.20190385707741,7.4981689453125,4.782699978990312,15.698493761716984,0.027500000000000017
2023-09-23 09:14:24.086040172 +0000 UTC m=+27781.054114409,1695460464,100,14.892136097712175,7.4981689453125,5.170965302847607,15.730621315668463,0.0210625
2023-09-23 09:15:23.857832774 +0000 UTC m=+27840.825907011,1695460523,100,11.619298632303163,7.4981689453125,4.398187006886422,15.744013895106098,0.01925
2023-09-23 09:16:24.058542439 +0000 UTC m=+27901.026616677,1695460584,100,13.402808903897093,7.598876953125,4.82008649282969,15.746916840375821,0.023125
2023-09-23 09:17:24.040618188 +0000 UTC m=+27961.008692424,1695460644,100,12.654601686840902,7.6995849609375,4.683634533960646,15.726401067503234,0.021700000000000004
2023-09-23 09:18:23.906133709 +0000 UTC m=+28020.874207946,1695460703,100,12.364299606453294,7.6995849609375,4.69641060046504,15.749795391147481,0.02135714285714286
2023-09-23 09:19:23.960630313 +0000 UTC m=+28080.928704562,1695460763,100,13.854392727645875,7.6995849609375,4.575438006806632,15.757382080045668,0.01925
2023-09-23 09:20:23.966649849 +0000 UTC m=+28140.934724085,1695460823,100,13.110077244943458,7.9010009765625,4.91239835694307,15.749575840664898,0.020875
2023-09-23 09:21:23.948199288 +0000 UTC m=+28200.916273526,1695460883,100,13.358972067259355,7.9010009765625,4.9132097675688495,15.755894015663706,0.02092857142857143
2023-09-23 09:22:23.818271762 +0000 UTC m=+28260.786346010,1695460943,100,13.833343929472097,8.203125,5.188817636935461,15.767725347225186,0.02075
2023-09-23 09:23:23.976180118 +0000 UTC m=+28320.944254380,1695461003,100,13.431607868423132,8.203125,5.510358131345439,15.32379427144002,0.022250000000000002
2023-09-23 09:24:24.148617799 +0000 UTC m=+28381.116692058,1695461064,100,13.845236450635955,8.203125,4.707213815637834,15.344017310335827,0.01350000000000001
2023-09-23 09:25:24.027714135 +0000 UTC m=+28440.995788375,1695461124,100,13.40286557931323,8.203125,4.835663014734326,15.28834906575171,0.01925
2023-09-23 09:26:23.846899381 +0000 UTC m=+28500.814973618,1695461183,100,12.65054087406014,8.203125,5.810243492858136,15.765407869909021,0.0202
2023-09-23 09:27:23.936919625 +0000 UTC m=+28560.904993869,1695461243,100,9.768171930033288,8.203125,5.26778979128909,15.825247573662235,0.0205
2023-09-23 09:28:24.306395811 +0000 UTC m=+28621.274470057,1695461304,100,9.48098284430285,8.203125,4.57976849524131,15.832468345089449,0.020500000000000004
2023-09-23 09:29:23.819160488 +0000 UTC m=+28680.787234730,1695461363,100,9.019234362108469,8.203125,4.644728568439249,15.899772765250525,0.0235
2023-09-23 09:30:23.780509874 +0000 UTC m=+28740.748584111,1695461423,100,9.004969030710633,8.203125,4.631570123247297,15.84395815367802,0.0165
2023-09-23 09:31:24.335961348 +0000 UTC m=+28801.304035585,1695461484,100,8.832867610710618,8.203125,4.519537145712671,15.912335931753951,0.0221875
2023-09-23 09:32:24.039464389 +0000 UTC m=+28861.007538625,1695461544,100,9.410305831538729,8.203125,4.567569834751217,15.889722232047784,0.021
2023-09-23 09:33:23.987354178 +0000 UTC m=+28920.955428416,1695461603,100,8.987256961364439,8.203125,4.4616998950694375,15.8802571667986,0.019600000000000003
2023-09-23 09:34:24.092486009 +0000 UTC m=+28981.060560246,1695461664,100,9.279517916370526,8.203125,4.511278195492707,15.913677629147521,0.02366666666666667
2023-09-23 09:35:23.93546052 +0000 UTC m=+29040.903534757,1695461723,100,6.677347162464217,8.203125,4.566037735852357,15.922898749416056,0.01375
2023-09-23 09:36:23.861837188 +0000 UTC m=+29100.829911430,1695461783,100,9.525013251412926,8.203125,4.895427302051381,15.879427753864395,0.0221875
2023-09-23 09:37:24.133798735 +0000 UTC m=+29161.101872971,1695461844,100,9.26957650690071,8.203125,4.703416474533483,15.915873133973363,0.016999999999999998
2023-09-23 09:38:23.836265779 +0000 UTC m=+29220.804340027,1695461903,100,9.27148331714322,8.203125,4.799731013326292,15.897333315444035,0.018625
2023-09-23 09:39:23.80015919 +0000 UTC m=+29280.768233431,1695461963,100,9.22436518210001,8.203125,4.840534763819814,15.883184506566389,0.021142857142857147
2023-09-23 09:40:24.156726998 +0000 UTC m=+29341.124801238,1695462024,100,10.06382880775064,8.203125,4.965043747650433,15.921410685034099,0.023800000000000005
2023-09-23 09:41:23.938151045 +0000 UTC m=+29400.906225285,1695462083,100,8.002479437631651,8.203125,8.413370800667263,14.876789488898673,0.025
2023-09-23 09:42:23.831119986 +0000 UTC m=+29460.799194223,1695462143,100,7.086062404188226,8.203125,5.119926199273439,15.777068439984046,0.022
2023-09-23 09:43:24.019692324 +0000 UTC m=+29520.987766572,1695462204,100,4.652256757462588,5.9661865234375,2.633454941913771,17.37690841207674,0.0065000000000000014
2023-09-23 09:44:23.871502736 +0000 UTC m=+29580.839576972,1695462263,100,2.3742777068416774,6.3690185546875,1.927670452150565,16.929318161581836,0.0046
2023-09-23 09:45:23.422454546 +0000 UTC m=+29640.390528787,1695462323,82.5928447161169,2.3622666042154563,6.4697265625,3.4330801191913785,11.950669446013146,NaN
