Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 09:48:24.587974432 +0000 UTC m=+29821.556048678,1695462504,100,0.46790549671471976,4.608154296875,4.912310215749594,16.55922923143914,0.0045
2023-09-23 09:49:24.191516852 +0000 UTC m=+29881.159591090,1695462564,100,0.6818401687802271,5.7159423828125,4.6401076942527375,16.641975368875304,0.004280000000000001
2023-09-23 09:50:23.862631083 +0000 UTC m=+29940.830705320,1695462623,100,0.708316173309113,5.816650390625,4.788329759955179,16.66071034338915,0.003
2023-09-23 09:51:24.343755171 +0000 UTC m=+30001.311829409,1695462684,100,0.466719345532258,6.1187744140625,4.720073974465744,16.697936347436197,0.0037
2023-09-23 09:52:24.296577405 +0000 UTC m=+30061.264651649,1695462744,100,0.543959610645638,6.4208984375,4.666498655910489,16.650098736730918,0.0038999999999999994
2023-09-23 09:53:24.095764855 +0000 UTC m=+30121.063839092,1695462804,100,0.5365058434243875,6.4208984375,4.532280421718015,16.71579312001971,0.004199999999999999
2023-09-23 09:54:24.174496583 +0000 UTC m=+30181.142570820,1695462864,100,0.5497552726157617,6.4208984375,4.393068434544478,16.71618343198875,0.0036666666666666666
2023-09-23 09:55:24.604854818 +0000 UTC m=+30241.572929056,1695462924,100,0.756737257792756,6.4208984375,4.6761532972436015,16.713158514228702,0.0041199999999999995
2023-09-23 09:56:24.104302333 +0000 UTC m=+30301.072376571,1695462984,100,0.5465829769812997,6.4208984375,4.706524477276242,16.673249115394515,0.0035333333333333323
2023-09-23 09:57:24.211980802 +0000 UTC m=+30361.180055039,1695463044,100,0.3149421749999992,6.4208984375,4.5702764009026176,16.723038285944988,0.004280000000000001
2023-09-23 09:58:24.175923942 +0000 UTC m=+30421.143998182,1695463104,100,0.3447782217417696,6.4208984375,4.674702843463418,16.735577057950348,0.0038999999999999994
2023-09-23 09:59:23.931515863 +0000 UTC m=+30480.899590123,1695463163,100,0.5864130141251661,6.4208984375,4.482628240119501,16.712085156313844,0.0039
2023-09-23 10:00:24.731364788 +0000 UTC m=+30541.699439026,1695463224,100,0.572340451213196,6.4208984375,4.700944386135896,16.74370042580596,0.004359999999999999
2023-09-23 10:01:24.24743607 +0000 UTC m=+30601.215510307,1695463284,100,0.40242829631832444,6.4208984375,4.38817502310378,16.772729878503203,0.003933333333333334
2023-09-23 10:02:24.063413115 +0000 UTC m=+30661.031487353,1695463344,100,0.8043580922595766,6.4208984375,4.641987744487174,16.784829549543396,0.003800000000000001
2023-09-23 10:03:24.067632843 +0000 UTC m=+30721.035707081,1695463404,100,0.7883963534018614,6.4208984375,4.478365081371239,16.791220908036404,0.0014000000000000026
2023-09-23 10:04:24.00383411 +0000 UTC m=+30780.971908360,1695463464,100,0.6683889088845187,6.4208984375,4.670663703842615,16.79051346759252,0.004100000000000001
2023-09-23 10:05:24.545702455 +0000 UTC m=+30841.513776710,1695463524,100,0.7661795644891121,6.5216064453125,4.07632627383363,16.31406452588683,0.002600000000000003
2023-09-23 10:06:23.997376018 +0000 UTC m=+30900.965450255,1695463583,100,0.10179064580170458,6.5216064453125,5.237816111208559,16.286498743073487,0.0046
2023-09-23 10:07:24.349735182 +0000 UTC m=+30961.317809419,1695463644,100,0.24698764454195837,6.5216064453125,3.415551839474651,16.26215303400471,0.00045
2023-09-23 10:08:24.212196116 +0000 UTC m=+31021.180270375,1695463704,100,0.12060390366426078,6.5216064453125,3.237696335084028,16.293597542010374,NaN
2023-09-23 10:09:23.998167759 +0000 UTC m=+31080.966242006,1695463763,100,0.2388434842249673,6.5216064453125,3.0739592930706716,16.311137186119044,0.00045
2023-09-23 10:10:24.14654031 +0000 UTC m=+31141.114614547,1695463824,100,0.18077006723380756,6.5216064453125,3.2228360957675783,16.35597427356234,0.0046
2023-09-23 10:11:24.333267315 +0000 UTC m=+31201.301341568,1695463884,100,0.3311500464900065,6.5216064453125,3.251454157420919,16.324285820576026,0.0046
2023-09-23 10:12:24.05831036 +0000 UTC m=+31261.026384599,1695463944,100,0.16452751696046103,6.5216064453125,3.0742775657564003,16.32901835320062,0.0033999999999999994
2023-09-23 10:13:24.280434007 +0000 UTC m=+31321.248508244,1695464004,100,0.2823346367005786,6.5216064453125,3.2713412079974136,16.30291624027117,0.0046
2023-09-23 10:14:24.316745 +0000 UTC m=+31381.284819237,1695464064,100,0.14136174217811825,6.5216064453125,3.236354489825788,16.350387933505477,0.0044
2023-09-23 10:15:24.110183651 +0000 UTC m=+31441.078257899,1695464124,100,0.25989690000000065,6.5216064453125,3.2279645425650316,16.299208276565302,0.0046
2023-09-23 10:16:23.956448809 +0000 UTC m=+31500.924523046,1695464183,100,0.2109417683409935,6.5216064453125,3.109416251098618,16.30694133245188,0.003
2023-09-23 10:17:24.619350016 +0000 UTC m=+31561.587424253,1695464244,100,0.43148343196577654,6.5216064453125,3.2826696813674783,16.34777772221253,0.0033999999999999994
2023-09-23 10:18:24.149680391 +0000 UTC m=+31621.117754649,1695464304,100,0.14969732379798925,6.5216064453125,3.1863668718265736,16.318821453009487,0.0046
2023-09-23 10:19:24.231408111 +0000 UTC m=+31681.199482348,1695464364,100,0.39005065769570124,6.622314453125,3.2822573892514417,16.294158615465868,0.0044
2023-09-23 10:20:24.382206437 +0000 UTC m=+31741.350280674,1695464424,100,0.2453141111024044,6.622314453125,3.3602544252397504,16.326456930903806,0.0033999999999999994
2023-09-23 10:21:24.021275395 +0000 UTC m=+31800.989349641,1695464484,100,0.3362010112359527,6.622314453125,3.0971040610311196,16.328652435729644,0.0046
2023-09-23 10:22:24.239767874 +0000 UTC m=+31861.207842117,1695464544,100,0.21130287139540815,6.622314453125,3.255813953484732,16.361950925588243,0.0046
2023-09-23 10:23:24.192445603 +0000 UTC m=+31921.160519840,1695464604,100,0.47832804366787235,6.622314453125,3.3676803217061124,16.35204675937389,0.004
2023-09-23 10:24:24.174521318 +0000 UTC m=+31981.142595555,1695464664,100,0.15312153488305696,6.622314453125,8.327050347647425,17.945227033494866,0.0046
2023-09-23 10:25:24.089563451 +0000 UTC m=+32041.057637697,1695464724,100,0.28238888271416246,6.622314453125,3.7116166059260713,18.123209291376423,0.0046
