Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 02:59:00.34623463 +0000 UTC m=+91657.314308872,1695524340,100,2.7445316590214066,25.01220703125,2.0824604039217265,15.96795538734194,0.0046
2023-09-24 03:00:00.418985064 +0000 UTC m=+91717.387059301,1695524400,100,3.026072897761639,26.62353515625,2.053732344189785,16.00737689621483,0.0046
2023-09-24 03:01:00.361990716 +0000 UTC m=+91777.330064953,1695524460,100,3.2170724914232363,26.824951171875,1.8540995270472038,16.03955323916244,0.0075
2023-09-24 03:02:00.282743343 +0000 UTC m=+91837.250817580,1695524520,100,1.9052467355840736,26.824951171875,1.8760469011740333,16.04028507410439,0.0046
2023-09-24 03:03:00.276615398 +0000 UTC m=+91897.244689651,1695524580,100,2.1910264455320063,28.033447265625,1.926056190606229,16.049823322847764,0.0046
2023-09-24 03:04:00.268889121 +0000 UTC m=+91957.236963359,1695524640,100,2.050505171178914,28.033447265625,1.7638679403397473,16.052653084623294,0.0046
2023-09-24 03:05:00.249341967 +0000 UTC m=+92017.217416205,1695524700,100,2.123218005822479,28.033447265625,1.9957323961332096,16.072193077573285,0.0046
2023-09-24 03:06:00.287255834 +0000 UTC m=+92077.255330077,1695524760,100,1.824029847787783,26.0406494140625,1.898575020954485,16.01986687922406,0.0046
2023-09-24 03:07:00.296854862 +0000 UTC m=+92137.264929099,1695524820,100,2.4168020572351168,26.141357421875,1.8414664769309863,16.054189938001386,0.0046
2023-09-24 03:08:00.315046911 +0000 UTC m=+92197.283121148,1695524880,100,2.233960700258282,26.141357421875,1.9222715470356255,16.035308596499146,0.0046
2023-09-24 03:09:00.399124732 +0000 UTC m=+92257.367198971,1695524940,100,1.9607852171680318,26.251220703125,1.8331728958277727,16.04687158858191,0.0046
2023-09-24 03:10:00.599470304 +0000 UTC m=+92317.567544548,1695525000,100,1.4924725008101076,26.251220703125,1.8375120338299356,16.057751534718857,0.0046
2023-09-24 03:11:00.404534826 +0000 UTC m=+92377.372609082,1695525060,100,1.480132922828176,26.251220703125,1.9601273245199335,16.060215379023415,0.0046
2023-09-24 03:12:00.388098315 +0000 UTC m=+92437.356172553,1695525120,100,1.931659241606819,26.251220703125,1.841620626154461,16.06282559031636,0.0046
2023-09-24 03:13:00.429175698 +0000 UTC m=+92497.397249936,1695525180,100,1.2363657666666585,26.3519287109375,1.974730148103565,16.096733942626578,0.0046
