Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 02:59:00.628108105 +0000 UTC m=+91657.596182354,1695524340,100,0.5047843093928668,4.341888427734375,2.354715716264255,17.01689440963485,0.0046
2023-09-24 03:00:00.649498862 +0000 UTC m=+91717.617573100,1695524400,100,0.5703995327102808,4.392242431640625,2.4043898965347643,17.05136383540056,0.0046
2023-09-24 03:01:00.576444516 +0000 UTC m=+91777.544518753,1695524460,NaN,0.3833919019547011,4.392242431640625,2.4039871005620883,17.054169202678025,0.0046
2023-09-24 03:02:00.707829422 +0000 UTC m=+91837.675903670,1695524520,100,0.39597094000577704,4.392242431640625,2.387934646007417,17.059170074781335,0.0046
2023-09-24 03:03:00.414709131 +0000 UTC m=+91897.382783368,1695524580,100,0.5356968385806234,4.392242431640625,2.4273876286856066,17.094371335488994,0.0046
2023-09-24 03:04:00.42392162 +0000 UTC m=+91957.391995865,1695524640,100,0.5678174328743723,4.392242431640625,2.454861547476117,17.067976488582765,0.0046
2023-09-24 03:05:00.425653841 +0000 UTC m=+92017.393728087,1695524700,100,0.51407457039063,4.392242431640625,2.4083769633456598,17.091785518694113,0.0046
2023-09-24 03:06:00.712171687 +0000 UTC m=+92077.680245926,1695524760,100,0.5244756926914735,4.392242431640625,2.3667895442281095,17.082588792923644,0.0046
2023-09-24 03:07:00.417406394 +0000 UTC m=+92137.385480632,1695524820,NaN,0.5176810625225869,4.392242431640625,2.3237313682849092,17.0707330668641,NaN
2023-09-24 03:08:00.480183328 +0000 UTC m=+92197.448257572,1695524880,100,0.5539699541713438,4.392242431640625,2.4617961063497895,17.087809215509534,0.0046
2023-09-24 03:09:00.650670606 +0000 UTC m=+92257.618744843,1695524940,100,0.5168329083423012,4.392242431640625,2.2002430744758383,17.06622008472209,0.0046
2023-09-24 03:10:00.763185071 +0000 UTC m=+92317.731259313,1695525000,100,0.5270363636363614,4.392242431640625,2.3281132233506807,17.074977709527392,0.0046
2023-09-24 03:11:00.608342615 +0000 UTC m=+92377.576416855,1695525060,100,0.5748776119402995,4.392242431640625,2.3034719604572373,17.10295819880784,0.0046
2023-09-24 03:12:00.610853447 +0000 UTC m=+92437.578927694,1695525120,100,0.5644808480805595,4.392242431640625,2.5675336623002365,17.091883096686374,0.0046
2023-09-24 03:13:00.639945673 +0000 UTC m=+92497.608019910,1695525180,100,0.5902484903381635,4.392242431640625,2.4829376543853976,17.089858353346987,0.0046
2023-09-24 03:14:00.485591812 +0000 UTC m=+92557.453666050,1695525240,100,0.5274595416420069,4.392242431640625,2.245496439045913,17.077417159333883,0.0046
2023-09-24 03:15:00.891872506 +0000 UTC m=+92617.859946746,1695525300,100,0.4888917447673693,4.392242431640625,2.41881486442308,17.075319232500302,0.0046
2023-09-24 03:16:00.621015416 +0000 UTC m=+92677.589089653,1695525360,100,0.5253133859828836,4.392242431640625,2.2898526456759605,17.104860969656905,0.0046
2023-09-24 03:17:00.674067659 +0000 UTC m=+92737.642141899,1695525420,NaN,0.5007068916388491,4.392242431640625,2.6898138464707344,17.099689336067144,NaN
2023-09-24 03:18:00.701678566 +0000 UTC m=+92797.669752804,1695525480,100,0.42020345273289983,4.392242431640625,2.4719289425157553,17.114667557878995,0.0046
2023-09-24 03:19:00.749966669 +0000 UTC m=+92857.718040926,1695525540,100,0.5541534591194964,4.392242431640625,2.2233408843112756,17.140672092816185,0.0046
2023-09-24 03:20:00.632799177 +0000 UTC m=+92917.600873448,1695525600,100,0.4967294331364458,4.392242431640625,2.3956108388797914,17.106471006529187,0.0046
2023-09-24 03:21:00.587476867 +0000 UTC m=+92977.555551104,1695525660,100,0.6169776299879084,4.392242431640625,2.2674881596030816,17.127425880366943,0.0046
