Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 02:58:00.701882054 +0000 UTC m=+91597.669956290,1695524280,100,0.3795482306811088,4.346354166666667,3.7478064677792244,15.866327908403537,0.175
2023-09-24 02:59:00.967248512 +0000 UTC m=+91657.935322766,1695524340,100,1.6874029726972235,4.4609375,2.730775674304131,15.986690361855787,0.09750000000000003
2023-09-24 03:00:00.888415569 +0000 UTC m=+91717.856489806,1695524400,100,2.0236849679024473,4.4609375,2.748838960706468,16.01459766764204,0.1300000000000002
2023-09-24 03:01:00.873010299 +0000 UTC m=+91777.841084540,1695524460,100,1.6853003494023384,4.575520833333333,2.547237001949776,16.021623283084732,1
2023-09-24 03:02:01.0772919 +0000 UTC m=+91838.045366137,1695524521,100,2.01389707010558,4.575520833333333,2.629045087287596,16.047579029025794,0.25
2023-09-24 03:03:00.651660364 +0000 UTC m=+91897.619734602,1695524580,100,1.6162124915450344,4.575520833333333,2.551640340221728,16.02716083414547,0.041666666666666664
2023-09-24 03:04:00.651202422 +0000 UTC m=+91957.619276659,1695524640,100,2.1123942089535728,4.575520833333333,2.6872283517070605,16.02647778819965,0.04874999999999999
2023-09-24 03:05:00.699902973 +0000 UTC m=+92017.667977216,1695524700,100,2.1695547763839933,4.575520833333333,2.6506427704003244,16.00827949264323,0.10749999999999993
2023-09-24 03:06:00.916544842 +0000 UTC m=+92077.884619079,1695524760,100,1.1093225875,4.604166666666667,2.5266068884677195,16.040260679606323,0.23500000000000015
2023-09-24 03:07:00.653061954 +0000 UTC m=+92137.621136207,1695524820,100,1.9119993363251395,4.604166666666667,2.646099824439263,16.038016385784353,0.14500000000000005
2023-09-24 03:08:00.682243181 +0000 UTC m=+92197.650317418,1695524880,100,2.1780736225692405,4.604166666666667,2.653830054424966,16.064289260200255,0.04916666666666667
2023-09-24 03:09:00.994038739 +0000 UTC m=+92257.962112976,1695524940,100,2.0300720978411824,4.604166666666667,2.5395364404737997,16.052701873619423,0.3874999999999999
2023-09-24 03:10:00.983404044 +0000 UTC m=+92317.951478285,1695525000,100,1.75315542895072,4.604166666666667,2.5075351640917676,16.051945644179412,0.2749999999999998
2023-09-24 03:11:01.063894055 +0000 UTC m=+92378.031968293,1695525061,100,1.9567217946692539,4.604166666666667,2.466395879572292,16.0216476775828,0.23500000000000015
2023-09-24 03:12:00.899071067 +0000 UTC m=+92437.867145323,1695525120,100,2.0734818978378287,4.604166666666667,2.590174910040033,16.054458277480098,0.4750000000000002
2023-09-24 03:13:00.873729473 +0000 UTC m=+92497.841803712,1695525180,100,2.051935305017511,4.604166666666667,2.718982682160709,16.052848240607815,0.05
2023-09-24 03:14:00.810392465 +0000 UTC m=+92557.778466702,1695525240,100,2.010032340407115,4.604166666666667,2.553690291796473,16.066484765026097,0.1
2023-09-24 03:15:01.172164619 +0000 UTC m=+92618.140238858,1695525301,100,1.4918769339298887,4.604166666666667,2.6210015073058646,16.066167636551253,0.175
2023-09-24 03:16:00.937235097 +0000 UTC m=+92677.905309362,1695525360,100,1.4017801996489667,4.604166666666667,2.6604199782508386,16.067411755952563,0.05
2023-09-24 03:17:00.921267427 +0000 UTC m=+92737.889341665,1695525420,100,1.9010801186943638,4.604166666666667,2.7990460650300752,16.12730024870191,0.4000000000000002
2023-09-24 03:18:01.058974418 +0000 UTC m=+92798.027048655,1695525481,100,2.0698572169702643,4.6328125,2.6637627743373082,16.113956458260404,0.075
2023-09-24 03:19:01.111812419 +0000 UTC m=+92858.079886656,1695525541,100,1.7688234746015448,4.6328125,2.903104184993699,16.093782208360725,0.041666666666666664
2023-09-24 03:20:01.150639589 +0000 UTC m=+92918.118713826,1695525601,100,2.0652186260727268,4.6328125,2.5532450109105986,16.130715478430997,0.07250000000000002
2023-09-24 03:21:00.834701716 +0000 UTC m=+92977.802775953,1695525660,100,2.1396474820922364,4.6328125,2.7452293271012396,16.126422046771573,0.15250000000000022
2023-09-24 03:22:01.197204052 +0000 UTC m=+93038.165278288,1695525721,NaN,0.4527434277633478,4.6328125,1.549966577540074,16.12600734030447,NaN
2023-09-24 03:23:00.888706192 +0000 UTC m=+93097.856780432,1695525780,NaN,0.15921093333332398,4.6328125,1.4206919605553092,16.110492439535186,NaN
2023-09-24 03:24:01.044608776 +0000 UTC m=+93158.012683037,1695525841,100,2.0230822401614543,4.6328125,2.5014665214108334,16.117054559514646,0.15499999999999994
2023-09-24 03:25:00.737084238 +0000 UTC m=+93217.705158476,1695525900,100,1.3197203166666651,4.6328125,2.7388081577972345,16.119323247834682,0.3250000000000001
2023-09-24 03:26:00.874008671 +0000 UTC m=+93277.842082908,1695525960,100,2.143947989038975,4.6328125,2.5979467839843617,16.129983643489048,0.09500000000000006
2023-09-24 03:27:00.738661503 +0000 UTC m=+93337.706735740,1695526020,100,1.9827716877637107,4.6328125,2.625408257262851,16.11573725661914,0.375
2023-09-24 03:28:01.122883207 +0000 UTC m=+93398.090957457,1695526081,100,1.694511746769132,4.6328125,2.4401492600015895,16.13000803798711,0.1299999999999999
2023-09-24 03:29:00.83863965 +0000 UTC m=+93457.806713887,1695526140,100,1.1595006750000023,4.6328125,2.5121420197605993,16.159940087112755,0.08999999999999994
2023-09-24 03:30:00.707650397 +0000 UTC m=+93517.675724643,1695526200,100,2.156854211739255,4.6328125,2.9891986937991,16.119469614823075,0.16750000000000007
2023-09-24 03:31:00.816488787 +0000 UTC m=+93577.784563028,1695526260,100,1.990081019622826,4.6328125,2.5391115201194525,16.152450976206826,0.2749999999999998
2023-09-24 03:32:00.833040094 +0000 UTC m=+93637.801114331,1695526320,100,1.7127250004866594,4.6328125,2.759978221732251,16.12527550536252,0.04625000000000004
2023-09-24 03:33:01.070803489 +0000 UTC m=+93698.038877725,1695526381,100,1.6559143104202676,4.6328125,2.320127313842213,15.596768704786324,0.06500000000000002
2023-09-24 03:34:01.110160492 +0000 UTC m=+93758.078234730,1695526441,100,2.063242313369552,4.6328125,2.685742971883265,16.161794068965683,0.1
2023-09-24 03:35:00.7825902 +0000 UTC m=+93817.750664438,1695526500,100,1.6539836949767523,4.6328125,2.5954454119204495,16.27288661315327,0.1150000000000001
2023-09-24 03:36:00.744654785 +0000 UTC m=+93877.712729022,1695526560,100,2.083615429328987,4.6328125,2.664543969156441,16.365439338811523,0.25
2023-09-24 03:37:00.675257614 +0000 UTC m=+93937.643331855,1695526620,100,2.1269457418745956,4.661458333333333,2.748838960700817,16.45438167875617,0.11499999999999985
2023-09-24 03:38:01.037071034 +0000 UTC m=+93998.005145289,1695526681,100,1.6131146985725768,4.661458333333333,2.514644351456441,16.495559591489737,0.12250000000000003
2023-09-24 03:39:00.987888718 +0000 UTC m=+94057.955962971,1695526740,100,1.967166257421371,4.661458333333333,2.5661419959771115,16.570841012518038,0.2199999999999998
2023-09-24 03:40:00.764545611 +0000 UTC m=+94117.732619850,1695526800,100,1.7351007185205558,4.661458333333333,2.644462111378598,16.707328229191187,0.33750000000000036
2023-09-24 03:41:00.901075187 +0000 UTC m=+94177.869149427,1695526860,100,1.9921147413255613,4.661458333333333,2.6314686779807306,16.82720279268214,0.25
2023-09-24 03:42:01.163036096 +0000 UTC m=+94238.131110347,1695526921,100,1.7275295119504337,4.661458333333333,2.729403884780357,16.850158015361217,0.03500000000000002
2023-09-24 03:43:01.024312543 +0000 UTC m=+94297.992386779,1695526981,100,2.152663744110863,4.661458333333333,2.4383091038642,16.997281233190666,0.16750000000000007
2023-09-24 03:44:00.992214942 +0000 UTC m=+94357.960289179,1695527040,100,2.0815465790647623,4.661458333333333,2.6378595653802406,17.056364707503867,0.2624999999999999
2023-09-24 03:45:00.915690046 +0000 UTC m=+94417.883764283,1695527100,100,1.7174218249195368,4.661458333333333,2.694435132408568,16.34567979537895,0.15250000000000022
2023-09-24 03:46:00.779664269 +0000 UTC m=+94477.747738506,1695527160,100,1.6035437354979039,4.661458333333333,2.6854059480663883,16.46435902846472,0.09500000000000006
2023-09-24 03:47:01.046212544 +0000 UTC m=+94538.014286782,1695527221,100,1.6696750939363125,4.661458333333333,2.442908024291457,16.556106735686832,0.14500000000000005
2023-09-24 03:48:00.808646392 +0000 UTC m=+94597.776720628,1695527280,100,1.6819604519084996,4.661458333333333,2.4953944063043187,16.584623903924708,0.05499999999999995
2023-09-24 03:49:00.991488849 +0000 UTC m=+94657.959563088,1695527340,100,2.0672119820269663,4.661458333333333,2.5902832991801295,16.687641869252808,0.2624999999999999
2023-09-24 03:50:00.839238896 +0000 UTC m=+94717.807313133,1695527400,100,2.011160804607775,4.661458333333333,2.7204620600033813,16.745212884685987,0.1
2023-09-24 03:51:00.80318864 +0000 UTC m=+94777.771262878,1695527460,100,2.1883592476064853,4.661458333333333,2.675879396977676,16.822641021544,0.048125000000000015
2023-09-24 03:52:01.013822986 +0000 UTC m=+94837.981897223,1695527521,100,2.1281088390645837,4.661458333333333,2.9512726054885863,16.870893338716385,0.06500000000000002
2023-09-24 03:53:00.78409179 +0000 UTC m=+94897.752166026,1695527580,100,1.3718698375000173,4.661458333333333,2.759978221727133,16.991621709639606,0.04499999999999997
2023-09-24 03:54:01.000072953 +0000 UTC m=+94957.968147192,1695527641,100,1.3845203470725118,4.661458333333333,2.515065282892792,17.00918574824634,0.18249999999999994
2023-09-24 03:55:01.19886812 +0000 UTC m=+95018.166942358,1695527701,100,2.0095111236118295,4.661458333333333,2.7696304366174207,16.406300123070242,0.2750000000000002
2023-09-24 03:56:00.908596922 +0000 UTC m=+95077.876671159,1695527760,100,1.5280500552140686,4.661458333333333,2.5033489618239813,16.434061061868103,0.11499999999999985
2023-09-24 03:57:00.946334847 +0000 UTC m=+95137.914409088,1695527820,100,1.649717732460225,4.661458333333333,2.773362335816465,16.532688017544523,0.04750000000000003
2023-09-24 03:58:00.740532755 +0000 UTC m=+95197.708606992,1695527880,100,1.644865042763001,4.661458333333333,2.4522932708425094,16.621898696967886,0.1
2023-09-24 03:59:01.134012579 +0000 UTC m=+95258.102086817,1695527941,100,2.320611685781696,4.661458333333333,2.8964882173273088,16.668711738754443,0.25
