Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 12:01:01.064468629 +0000 UTC m=+124178.032542875,1695556861,100,1.7971275337079495,4.46875,3.605114231834805,17.34075576594455,0.18249999999999994
2023-09-24 12:02:01.298501091 +0000 UTC m=+124238.266575329,1695556921,100,1.7169548787442626,4.46875,3.428930290974397,17.390618119989217,0.16750000000000007
2023-09-24 12:03:00.996967197 +0000 UTC m=+124297.965041434,1695556980,100,1.932387131987376,4.497395833333333,3.4832969615742337,17.4379678407332,0.2349999999999999
2023-09-24 12:04:01.478130395 +0000 UTC m=+124358.446204632,1695557041,100,1.7321198140402259,4.526041666666666,3.3341710647615264,17.39327712027829,0.2624999999999999
2023-09-24 12:05:01.351431665 +0000 UTC m=+124418.319505902,1695557101,100,1.9378220980336418,4.5546875,3.2878204054093807,17.460947457910343,0.16750000000000007
2023-09-24 12:06:01.61908551 +0000 UTC m=+124478.587159748,1695557161,100,1.987231549922041,4.5546875,3.1087430776901237,17.40947506699339,0.28750000000000003
2023-09-24 12:07:01.036603534 +0000 UTC m=+124538.004677771,1695557221,100,1.9343288723595322,4.5546875,3.3754035808533756,17.443017501832635,0.1599999999999999
2023-09-24 12:08:01.054608377 +0000 UTC m=+124598.022682616,1695557281,100,1.8440063127131034,4.5546875,3.1959065553754495,17.454629282911533,0.5249999999999998
2023-09-24 12:09:01.053741131 +0000 UTC m=+124658.021815369,1695557341,100,2.0159473655157205,4.5546875,3.3936651583665434,17.438577703184823,0.3499999999999998
2023-09-24 12:10:01.163078156 +0000 UTC m=+124718.131152392,1695557401,100,1.2859602749999977,4.5546875,3.189438390610211,17.461093824898732,0.09500000000000006
2023-09-24 12:11:01.229541875 +0000 UTC m=+124778.197616118,1695557461,100,1.9552022286374153,4.5546875,3.287349574415077,17.47212013802407,0.05
2023-09-24 12:12:01.048385131 +0000 UTC m=+124838.016459368,1695557521,100,2.0740167734098938,4.583333333333333,3.221347184983281,17.445261795654606,0.4499999999999997
2023-09-24 12:13:01.483142441 +0000 UTC m=+124898.451216685,1695557581,100,1.973107882690663,4.583333333333333,3.256320107149302,17.430112812356302,0.4499999999999997
2023-09-24 12:14:01.171414958 +0000 UTC m=+124958.139489205,1695557641,100,1.583681257845291,4.611979166666667,3.2356762647356208,17.48073139584098,0.25
2023-09-24 12:15:01.233510294 +0000 UTC m=+125018.201584533,1695557701,100,1.8009205168738476,4.611979166666667,2.9283436818277275,17.47275439497376,0.2624999999999999
2023-09-24 12:16:01.10297592 +0000 UTC m=+125078.071050159,1695557761,100,1.891977473308436,4.640625,3.1357424331404316,17.47685267064866,0.2750000000000002
2023-09-24 12:17:00.92540227 +0000 UTC m=+125137.893476507,1695557820,100,1.8594108552101762,4.640625,2.99664710814711,17.508785068615623,0.5249999999999998
2023-09-24 12:18:01.149092798 +0000 UTC m=+125198.117167036,1695557881,100,1.4909563719442964,4.640625,3.2725749004779536,17.46048396244711,0.1
2023-09-24 12:19:01.177312544 +0000 UTC m=+125258.145386798,1695557941,100,1.4598788406653183,4.640625,8.009057363278737,18.445948500775135,0.33750000000000036
2023-09-24 12:20:00.95764308 +0000 UTC m=+125317.925717317,1695558000,100,2.7286477137432796,4.640625,4.504807086768736,18.731876412593902,0.23500000000000065
2023-09-24 12:21:01.076257872 +0000 UTC m=+125378.044332119,1695558061,100,2.7878305682456506,4.669270833333333,5.405745967745023,18.800888447619524,0.4099999999999998
2023-09-24 12:22:01.090992222 +0000 UTC m=+125438.059066460,1695558121,100,3.814013815810198,4.669270833333333,4.946833102161441,18.799912667696926,0.16499999999999992
2023-09-24 12:23:01.335128488 +0000 UTC m=+125498.303202726,1695558181,100,3.8975013145150132,4.669270833333333,4.977109496396636,18.833821020007147,0.19749999999999976
2023-09-24 12:24:01.318899354 +0000 UTC m=+125558.286973592,1695558241,100,3.5793604132958636,4.669270833333333,4.487772081702824,18.814573761033937,0.4250000000000003
2023-09-24 12:25:01.599088983 +0000 UTC m=+125618.567163219,1695558301,100,3.9001584165185275,4.669270833333333,4.7282814273153395,18.839114626087234,0.375
2023-09-24 12:26:01.095331924 +0000 UTC m=+125678.063406162,1695558361,100,2.502416462500001,4.669270833333333,5.0815400134506366,18.81728155031914,0.3450000000000002
2023-09-24 12:27:01.101353609 +0000 UTC m=+125738.069427845,1695558421,100,4.064352557976548,4.669270833333333,5.026832131481418,18.845945085545406,0.13500000000000012
2023-09-24 12:28:01.101082068 +0000 UTC m=+125798.069156307,1695558481,100,4.139482528444483,4.669270833333333,4.6186760634296835,18.86555826198959,0.2125000000000001
2023-09-24 12:29:01.18892575 +0000 UTC m=+125858.156999987,1695558541,100,4.033965783325844,4.669270833333333,4.902371574616193,18.864924005039903,0.09500000000000006
2023-09-24 12:30:01.29379571 +0000 UTC m=+125918.261869948,1695558601,100,4.573035577915398,4.669270833333333,5.139402082638589,18.832210983134864,0.3125000000000001
2023-09-24 12:31:01.13778429 +0000 UTC m=+125978.105858528,1695558661,100,4.801121627567689,4.669270833333333,5.66124900255388,18.872291143455506,0.10749999999999993
2023-09-24 12:32:00.974542509 +0000 UTC m=+126037.942616747,1695558720,100,2.92025754110582,4.669270833333333,4.696492333526548,18.858215518072054,0.32499999999999923
2023-09-24 12:33:01.010274528 +0000 UTC m=+126097.978348765,1695558781,100,4.225639065667922,4.669270833333333,4.986137948398572,18.86287486720245,0.5125000000000002
2023-09-24 12:34:01.902263413 +0000 UTC m=+126158.870337663,1695558841,100,4.373679510169402,4.669270833333333,5.382221848470015,18.867607399827044,0.1262500000000001
2023-09-24 12:35:01.051691499 +0000 UTC m=+126218.019765736,1695558901,100,3.2085457013668073,4.669270833333333,3.8729439409037503,18.86177711478953,0.04249999999999999
2023-09-24 12:36:01.144637557 +0000 UTC m=+126278.112711794,1695558961,100,4.564727680747356,4.669270833333333,3.5772561817583814,18.162874745229963,0.37916666666666665
2023-09-24 12:37:01.24621615 +0000 UTC m=+126338.214290393,1695559021,100,4.328899047051828,4.669270833333333,2.652419861718469,18.212297998309463,0.3125000000000002
2023-09-24 12:38:01.222182801 +0000 UTC m=+126398.190257038,1695559081,100,3.214571825,4.669270833333333,4.032731850592908,17.377127962559324,0.3062500000000001
2023-09-24 12:39:01.125454313 +0000 UTC m=+126458.093528550,1695559141,100,4.886620286085823,4.669270833333333,3.6748049333052424,17.933883591894684,0.25
