time,timestamp,frontend_adservice,checkoutservice_shippingservice,checkoutservice_paymentservice,frontend_productcatalogservice,frontend_checkoutservice,frontend_recommendationservice,checkoutservice_emailservice,checkoutservice_currencyservice,checkoutservice_productcatalogservice,recommendationservice_productcatalogservice,frontend_cartservice,checkoutservice_cartservice,frontend_currencyservice,frontend_shippingservice
2023-09-24 14:44:02.256640779 +0000 UTC m=+133959.224715026,1695566642,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:45:01.460038195 +0000 UTC m=+134018.428112432,1695566701,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:46:02.002600832 +0000 UTC m=+134078.970675081,1695566762,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:47:01.564197778 +0000 UTC m=+134138.532272015,1695566821,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:48:02.107686481 +0000 UTC m=+134199.075760719,1695566882,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:49:01.703222332 +0000 UTC m=+134258.671296598,1695566941,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:50:02.157926503 +0000 UTC m=+134319.126000751,1695567002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:51:01.731616228 +0000 UTC m=+134378.699690493,1695567061,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:52:02.112534199 +0000 UTC m=+134439.080608436,1695567122,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:53:01.846163309 +0000 UTC m=+134498.814237563,1695567181,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:54:02.291017027 +0000 UTC m=+134559.259091269,1695567242,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:55:01.784581013 +0000 UTC m=+134618.752655278,1695567301,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:56:02.227875009 +0000 UTC m=+134679.195949246,1695567362,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:57:01.692585317 +0000 UTC m=+134738.660659581,1695567421,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:58:02.40747762 +0000 UTC m=+134799.375551872,1695567482,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 14:59:01.683629372 +0000 UTC m=+134858.651703630,1695567541,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:00:02.192976875 +0000 UTC m=+134919.161051112,1695567602,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:01:01.326829384 +0000 UTC m=+134978.294903654,1695567661,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:02:01.72109346 +0000 UTC m=+135038.689167697,1695567721,94.82758620689656,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:03:01.603649769 +0000 UTC m=+135098.571724014,1695567781,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:04:01.638946134 +0000 UTC m=+135158.607020380,1695567841,100.0,100.0,100.0,73.01587301587301,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:05:01.349661367 +0000 UTC m=+135218.317735632,1695567901,100.0,100.0,100.0,77.9816513761468,66.66666666666666,100.0,100.0,100.0,76.47058823529412,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:06:01.765546461 +0000 UTC m=+135278.733620700,1695567961,100.0,100.0,100.0,61.35458167330678,0.0,100.0,100.0,100.0,53.846153846153854,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:07:01.723156549 +0000 UTC m=+135338.691230798,1695568021,100.0,100.0,100.0,61.776061776061795,0.0,100.0,,100.0,30.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:08:01.412868654 +0000 UTC m=+135398.380942898,1695568081,100.0,100.0,100.0,65.94488188976378,33.33333333333333,100.0,100.0,100.0,81.81818181818183,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:09:01.356768201 +0000 UTC m=+135458.324842458,1695568141,100.0,100.0,100.0,67.80684104627768,0.0,100.0,100.0,100.0,56.25,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:10:01.98421513 +0000 UTC m=+135518.952289367,1695568201,100.0,100.0,100.0,78.09523809523809,0.0,100.0,100.0,100.0,72.72727272727272,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:11:01.535933195 +0000 UTC m=+135578.504007432,1695568261,100.0,100.0,100.0,82.69230769230771,50.0,100.0,100.0,100.0,84.61538461538461,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:12:01.733976765 +0000 UTC m=+135638.702051030,1695568321,100.0,100.0,100.0,64.56692913385827,25.0,100.0,100.0,100.0,64.70588235294117,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:13:02.057112935 +0000 UTC m=+135699.025187181,1695568382,100.0,100.0,100.0,61.81102362204725,0.0,100.0,100.0,100.0,60.00000000000001,100.0,100.0,100.0,100.0,100.0
2023-09-24 15:14:01.591830637 +0000 UTC m=+135758.559904875,1695568441,100.0,100.0,100.0,81.1881188118812,0.0,100.0,100.0,100.0,83.33333333333334,100.0,100.0,100.0,100.0,100.0
