Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 15:26:00.805466885 +0000 UTC m=+136477.773541122,1695569160,NaN,2.1949115915704533,5.5389404296875,4.299589717840702,16.191628540099064,0.0475
2023-09-24 15:27:00.838378964 +0000 UTC m=+136537.806453242,1695569220,100,3.9768224668177394,6.243896484375,2.7487953069354476,16.289426082841278,0.03500000000000001
2023-09-24 15:28:00.770961256 +0000 UTC m=+136597.739035492,1695569280,100,2.765803089361865,6.3446044921875,2.6905829596415076,16.283595797803763,0.014500000000000015
2023-09-24 15:29:00.769925628 +0000 UTC m=+136657.737999865,1695569340,100,1.9510432000000022,6.4453125,2.877727977206468,16.253688143176188,0.022
2023-09-24 15:30:00.807025007 +0000 UTC m=+136717.775099245,1695569400,100,2.665257482402947,6.4453125,2.8510334996338815,16.2835714033057,0.020500000000000004
2023-09-24 15:31:00.864705759 +0000 UTC m=+136777.832779997,1695569460,100,4.691108280486915,6.4453125,2.6404023470090743,16.305038561602817,0.022375
2023-09-24 15:32:00.871129432 +0000 UTC m=+136837.839203668,1695569520,100,3.001364367839361,6.5460205078125,2.647453083108786,16.299525405040146,0.020500000000000004
2023-09-24 15:33:00.756865079 +0000 UTC m=+136897.724939322,1695569580,100,2.529522037499998,6.5460205078125,2.5237915566197144,16.32121211381985,0.03750000000000001
2023-09-24 15:34:00.744302368 +0000 UTC m=+136957.712376610,1695569640,100,3.6271697352181165,6.5460205078125,2.5562586430803336,16.327554683316727,0.02125
2023-09-24 15:35:00.806735623 +0000 UTC m=+137017.774809859,1695569700,100,3.3522584325243514,6.5460205078125,2.773704277865796,16.328286518258672,0.022
2023-09-24 15:36:00.715651709 +0000 UTC m=+137077.683725948,1695569760,100,2.9396378094436444,6.646728515625,2.5589479415278116,16.35129052993388,0.02275
2023-09-24 15:37:00.861822294 +0000 UTC m=+137137.829896531,1695569820,100,3.3582128101078563,6.7474365234375,2.6468986891132085,16.329506243161916,0.022
2023-09-24 15:38:00.882219108 +0000 UTC m=+137197.850293345,1695569880,100,4.448796383358358,6.7474365234375,2.572063944945291,16.308185451853188,0.02125
2023-09-24 15:39:00.764024597 +0000 UTC m=+137257.732098834,1695569940,100,3.5532381986722608,6.7474365234375,2.655163749051659,16.301891671352443,0.0205
2023-09-24 15:40:00.762795393 +0000 UTC m=+137317.730869631,1695570000,100,2.73120921630234,6.7474365234375,2.3660957326439247,16.324651738047,0.023
2023-09-24 15:41:00.964424411 +0000 UTC m=+137377.932498647,1695570060,100,3.2371433669728686,6.7474365234375,2.5105830085169645,16.364195219410213,0.0046
2023-09-24 15:42:00.82948607 +0000 UTC m=+137437.797560307,1695570120,100,3.1957600536476125,6.84814453125,2.5029347643723554,16.339849510341438,0.020500000000000004
2023-09-24 15:43:00.95554923 +0000 UTC m=+137497.923623467,1695570180,100,3.8690729859571205,6.84814453125,5.9062709591076175,17.08834589446696,0.0095
2023-09-24 15:44:00.957112874 +0000 UTC m=+137557.925187111,1695570240,100,2.4708833926576106,6.84814453125,3.3477367118346812,17.632904274769867,0.014500000000000004
2023-09-24 15:45:00.859604776 +0000 UTC m=+137617.827679013,1695570300,100,3.1880516391686133,6.84814453125,2.821684625393761,17.67483841694344,0.023125
2023-09-24 15:46:00.940278084 +0000 UTC m=+137677.908352320,1695570360,100,2.5862834323611303,6.84814453125,2.7873250062995902,17.68352285825455,0.175
2023-09-24 15:47:00.876990355 +0000 UTC m=+137737.845064592,1695570420,100,2.139326476535055,6.84814453125,2.195776064364441,17.69310989599406,0.022
2023-09-24 15:48:00.845924535 +0000 UTC m=+137797.813998773,1695570480,60,1.9333020592217336,6.84814453125,2.2886364588984964,17.751022434400145,0.02275
2023-09-24 15:49:00.836353096 +0000 UTC m=+137857.804427333,1695570540,66.66666666666666,2.393640444279184,6.84814453125,2.272441407064496,17.70738067736203,0.0425
2023-09-24 15:50:00.852894977 +0000 UTC m=+137917.820969214,1695570600,50,2.726925452657254,6.9488525390625,2.3858356703315264,17.707356282863962,0.023
2023-09-24 15:51:00.777058571 +0000 UTC m=+137977.745132808,1695570660,57.14285714285714,1.7368543274156836,6.9488525390625,2.4055990947651207,17.717479999560897,0.021
2023-09-24 15:52:01.234341669 +0000 UTC m=+138038.202415905,1695570721,25,1.560309544845665,6.9488525390625,2.4984306340293028,17.715089338750538,0.03500000000000002
2023-09-24 15:53:00.914673823 +0000 UTC m=+138097.882748066,1695570780,75,1.6216904963488206,6.9488525390625,2.3075634475328677,17.70838085178269,0.023
2023-09-24 15:54:00.833048443 +0000 UTC m=+138157.801122680,1695570840,40,1.527113962495482,6.9488525390625,2.5195992118304367,17.714259925816332,0.0225
2023-09-24 15:55:00.84037085 +0000 UTC m=+138217.808445087,1695570900,0,2.50349802347428,6.9488525390625,2.4185773567567015,17.71628466915572,0.0225
2023-09-24 15:56:00.766693883 +0000 UTC m=+138277.734768121,1695570960,0,1.9439037583130063,7.049560546875,2.379855029958111,17.730360294539167,0.0235
2023-09-24 15:57:00.850273938 +0000 UTC m=+138337.818348175,1695571020,50,2.1525547014572544,7.049560546875,2.3560977654767834,17.750924856407885,0.02125
2023-09-24 15:58:00.794590001 +0000 UTC m=+138397.762664237,1695571080,28.57142857142857,2.360111958083044,7.049560546875,2.4266767080902474,17.73936186432512,0.022
2023-09-24 15:59:01.200373597 +0000 UTC m=+138458.168447834,1695571141,0,3.0493997124240084,7.049560546875,2.3971167546765537,17.737654249460576,0.022
2023-09-24 16:00:00.817894347 +0000 UTC m=+138517.785968583,1695571200,28.57142857142857,1.900719211207829,7.049560546875,2.4234053239630016,17.750583333434978,0.022
2023-09-24 16:01:00.894080576 +0000 UTC m=+138577.862154812,1695571260,42.85714285714286,0.9926879343648476,7.049560546875,2.5699073491804336,17.737044387008954,0.022
2023-09-24 16:02:00.786950472 +0000 UTC m=+138637.755024708,1695571320,0,1.914618916195234,7.049560546875,2.39782016348028,17.757828499360254,0.0235
2023-09-24 16:03:00.89399644 +0000 UTC m=+138697.862070676,1695571380,80,1.6247125045717365,7.049560546875,2.4079735332341756,16.41583837181362,0.03250000000000001
2023-09-24 16:04:00.834827061 +0000 UTC m=+138757.802901297,1695571440,60.00000000000001,1.6829423647323298,7.049560546875,6.8618022161606955,17.483683130106837,0.009
2023-09-24 16:05:00.82864008 +0000 UTC m=+138817.796714316,1695571500,0,1.0380296349557578,7.049560546875,2.4637135566914825,17.586359572462026,0.0235
