Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 17:09:00.922969062 +0000 UTC m=+142657.891043314,1695575340,100,29.480354627110806,22.8057861328125,6.314638863201871,19.60275999351106,0.02843750000000004
2023-09-24 17:10:00.941304371 +0000 UTC m=+142717.909378609,1695575400,100,19.79634434033674,20.8038330078125,5.793080253911064,19.624324729800442,0.004872081218274111
2023-09-24 17:11:00.839678867 +0000 UTC m=+142777.807753105,1695575460,100,24.724166833378792,25.4302978515625,5.514026541256167,19.662770458750735,0.004688659793814433
2023-09-24 17:12:00.883318529 +0000 UTC m=+142837.851392767,1695575520,100,24.41476218000745,25.7232666015625,5.820350228867377,19.65459830189899,0.004823913043478261
2023-09-24 17:13:01.042152731 +0000 UTC m=+142898.010226968,1695575581,100,16.008732563973137,26.2054443359375,5.6943686221847205,19.648011787421467,0.00471919191919192
2023-09-24 17:14:00.98281924 +0000 UTC m=+142957.950893477,1695575640,100,17.807780069946922,25.76904296875,5.625997145022598,19.63376540055156,0.0046319148936170215
2023-09-24 17:15:00.956875512 +0000 UTC m=+143017.924949749,1695575700,100,22.776381789452895,26.3275146484375,5.361197544337193,19.64637735605112,0.004712676056338028
2023-09-24 17:16:01.041473509 +0000 UTC m=+143078.009547747,1695575761,100,22.544422918948538,26.5472412109375,5.293697178668467,19.663160770719774,0.0046656716417910445
2023-09-24 17:17:01.022673412 +0000 UTC m=+143137.990747664,1695575821,100,16.158112134466016,26.220703125,5.557190298026471,19.656013182786754,0.0046365853658536585
2023-09-24 17:18:01.012502589 +0000 UTC m=+143197.980576831,1695575881,100,17.201795239882628,26.519775390625,5.7178894261281865,19.657354880180325,0.004664285714285714
2023-09-24 17:19:01.058582642 +0000 UTC m=+143258.026656889,1695575941,100,12.159368925000004,26.5533447265625,5.585911230645902,19.662746064252666,0.004612121212121212
2023-09-24 17:20:00.878652104 +0000 UTC m=+143317.846726346,1695576000,100,17.244646282892898,25.9979248046875,5.879885925206052,19.668186037321142,0.004740816326530613
2023-09-24 17:21:01.05548852 +0000 UTC m=+143378.023562757,1695576061,100,13.754534887500025,26.708984375,5.418574368888263,19.661379972361033,0.004682474226804123
2023-09-24 17:22:00.942654657 +0000 UTC m=+143437.910728895,1695576120,100,19.68849107601137,26.35498046875,5.505203088293708,19.70694889474628,0.004661935483870968
2023-09-24 17:23:00.968687092 +0000 UTC m=+143497.936761330,1695576180,100,19.76062575022426,26.8218994140625,5.629779010150083,19.68438398403624,0.004796648044692738
2023-09-24 17:24:01.02011516 +0000 UTC m=+143557.988189397,1695576241,100,14.087849733346077,26.8646240234375,7.3233278681682386,20.07596446697412,0.004669444444444445
2023-09-24 17:25:01.116750395 +0000 UTC m=+143618.084824641,1695576301,100,13.74520949265291,26.20849609375,6.040211996283196,19.99329151303215,0.004596428571428572
2023-09-24 17:26:00.86764803 +0000 UTC m=+143677.835722267,1695576360,100,16.76529556377674,25.98876953125,6.7571542631486565,20.11958182951417,0.004609900990099011
2023-09-24 17:27:00.881882187 +0000 UTC m=+143737.849956423,1695576420,100,16.682503004360434,26.129150390625,6.10510371522871,20.135706592735076,0.004677049180327868
2023-09-24 17:28:01.11969515 +0000 UTC m=+143798.087769401,1695576481,100,18.73431088337319,25.9979248046875,6.413162091821234,20.15756406300123,0.00468
