Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 17:31:00.926479478 +0000 UTC m=+143977.894553733,1695576660,100,35.90109172278948,24.7833251953125,87.52049783452766,57.86040736372319,0.0816666666666666
2023-09-24 17:32:01.035986988 +0000 UTC m=+144038.004061232,1695576721,100,33.810687660229014,26.019287109375,87.87217066313713,58.00213939748029,0.0049558139534883715
2023-09-24 17:33:01.031890257 +0000 UTC m=+144097.999964493,1695576781,100,34.81190883959931,26.373291015625,86.36536110299129,58.1497748997691,0.006
2023-09-24 17:34:00.89833349 +0000 UTC m=+144157.866407733,1695576840,100,30.7331348637715,26.5289306640625,85.60574259051938,58.13174736569914,0.004871232876712328
2023-09-24 17:35:01.056497308 +0000 UTC m=+144218.024571545,1695576901,100,32.58698735693375,27.44140625,86.024126770613,58.0861784433139,0.004896703296703297
2023-09-24 17:36:01.037685048 +0000 UTC m=+144278.005759286,1695576961,100,26.828631091266974,27.45361328125,84.38486468283759,58.11232934523948,0.008
2023-09-24 17:37:01.028510645 +0000 UTC m=+144337.996584884,1695577021,100,30.796501839152928,27.1881103515625,84.65490377750535,58.08722740673069,0.005833333333333331
2023-09-24 17:38:01.015227832 +0000 UTC m=+144397.983302070,1695577081,100,26.916314610091735,27.435302734375,83.26601026675917,58.11693990537374,0.004781005586592178
2023-09-24 17:39:01.038540371 +0000 UTC m=+144458.006614609,1695577141,100,30.0752943994446,27.947998046875,82.84100965042092,58.09918071078249,0.004954966887417219
2023-09-24 17:40:01.405009529 +0000 UTC m=+144518.373083766,1695577201,100,27.93471425347317,27.83203125,83.88087325947201,58.12918594340233,0.004774545454545455
2023-09-24 17:41:00.909959958 +0000 UTC m=+144577.878034196,1695577260,100,29.3776251391079,27.593994140625,84.23668140654884,58.09752188491407,0.004890697674418605
2023-09-24 17:42:00.984467933 +0000 UTC m=+144637.952542178,1695577320,100,30.538196646729443,27.288818359375,83.85901376996719,58.10566964726775,0.007066666666666661
2023-09-24 17:43:01.07148819 +0000 UTC m=+144698.039562427,1695577381,100,24.858060333675745,27.9052734375,84.54266627451298,58.10742605112843,0.006111111111111108
2023-09-24 17:44:01.00956066 +0000 UTC m=+144757.977634899,1695577441,100,20.622172613604718,27.8411865234375,84.65548408794021,58.12008679562412,0.004989189189189188
2023-09-24 17:45:00.87467546 +0000 UTC m=+144817.842749698,1695577500,100,29.29885132170093,27.8350830078125,85.13621626167944,58.10493781232581,0.007583333333333341
2023-09-24 17:46:00.921703708 +0000 UTC m=+144877.889777946,1695577560,100,30.246653616121854,28.6773681640625,84.50935070380076,58.125624346684845,0.004776687116564418
2023-09-24 17:47:00.979832321 +0000 UTC m=+144937.947906561,1695577620,100,27.054255282657923,27.69775390625,84.78352248835091,58.12372157583579,0.00468470588235294
2023-09-24 17:48:00.983947433 +0000 UTC m=+144997.952021671,1695577680,100,26.301190648184186,28.0364990234375,86.23294858363114,58.138968137126355,0.0048925
2023-09-24 17:49:00.956100036 +0000 UTC m=+145057.924174273,1695577740,100,29.52067440733803,27.655029296875,85.61759017929084,58.11423211608854,0.008269230769230767
2023-09-24 17:50:01.085158315 +0000 UTC m=+145118.053232553,1695577801,100,25.207566352606964,27.655029296875,84.9704641347958,58.07707929553568,0.004861452513966481
2023-09-24 17:51:00.987060322 +0000 UTC m=+145177.955134559,1695577860,100,26.143091232260634,27.8472900390625,87.0596148994241,58.11540305199565,0.004885365853658537
2023-09-24 17:52:00.984977802 +0000 UTC m=+145237.953052040,1695577920,100,30.574437072238364,27.4658203125,85.39425016796422,58.123477630855135,0.006818181818181822
2023-09-24 17:53:01.084647326 +0000 UTC m=+145298.052721564,1695577981,100,29.303826042043347,28.06396484375,86.49340834665547,58.10645027120584,0.00564285714285714
2023-09-24 17:54:01.038827898 +0000 UTC m=+145358.006902136,1695578041,100,23.382413209625046,28.2318115234375,85.8649966373861,58.113183152671745,0.004846857142857143
2023-09-24 17:55:01.045360514 +0000 UTC m=+145418.013434752,1695578101,100,19.47678814636074,27.593994140625,87.93995206234622,58.14921382631362,0.004716756756756756
