Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 18:13:00.955038239 +0000 UTC m=+146497.923112477,1695579180,100,26.471868774469293,24.755859375,88.37687977824325,57.951325658011086,0.008175
2023-09-24 18:14:00.939205915 +0000 UTC m=+146557.907280152,1695579240,100,32.65898385494289,25.115966796875,88.18357731792173,57.9831604779858,0.009125000000000003
2023-09-24 18:15:00.954048696 +0000 UTC m=+146617.922122933,1695579300,100,30.29689852303465,26.702880859375,87.77268715068905,58.08581252584292,0.008535714285714285
2023-09-24 18:16:01.424519954 +0000 UTC m=+146678.392594197,1695579361,100,23.94716313226904,26.3519287109375,87.44390857608519,58.08710543424036,0.006933333333333334
2023-09-24 18:17:00.950854075 +0000 UTC m=+146737.918928312,1695579420,100,29.769889930630804,26.64794921875,85.37089360283821,58.07471302922339,0.005500000000000011
2023-09-24 18:18:01.482782761 +0000 UTC m=+146798.450856999,1695579481,100,27.121166909577926,26.934814453125,85.80026093172386,58.08003102980154,0.005562500000000004
2023-09-24 18:19:01.059891552 +0000 UTC m=+146858.027965789,1695579541,100,30.049229652573928,26.7669677734375,85.38299663285139,58.08722740673069,0.004915
2023-09-24 18:20:01.070782712 +0000 UTC m=+146918.038856962,1695579601,100,30.147978881520633,26.9317626953125,85.26802606699859,58.08198258964673,0.004965217391304348
2023-09-24 18:21:00.974113757 +0000 UTC m=+146977.942187995,1695579660,100,25.039284725323803,26.800537109375,84.98338031708629,58.10864577603168,0.01278571428571432
2023-09-24 18:22:00.973011936 +0000 UTC m=+147037.941086173,1695579720,100,28.668267197050568,27.191162109375,83.70214556154752,58.11213418925496,0.0065624999999999946
2023-09-24 18:23:01.121262201 +0000 UTC m=+147098.089336437,1695579781,100,27.607797815909297,27.3345947265625,83.80127774057496,58.10205926155415,0.004791616766467067
2023-09-24 18:24:01.011351467 +0000 UTC m=+147157.979425707,1695579841,100,29.659802626347204,27.1514892578125,83.91355533171838,58.08293397507126,0.004964071856287425
2023-09-24 18:25:00.958073269 +0000 UTC m=+147217.926147520,1695579900,100,22.868632181038116,27.1820068359375,84.08096280096453,58.07820144244668,0.004915646258503401
2023-09-24 18:26:01.120043393 +0000 UTC m=+147278.088117630,1695579961,100,24.370530297648465,27.6702880859375,84.66907745371574,58.097448701419886,0.005299999999999994
2023-09-24 18:27:01.015802638 +0000 UTC m=+147337.983876875,1695580021,100,28.30526599727707,27.0233154296875,84.24242424263159,58.12255063992867,0.004990361445783133
2023-09-24 18:28:00.986615237 +0000 UTC m=+147397.954689474,1695580080,100,33.27668944562291,26.8524169921875,84.16183026339523,58.10044922468186,0.004751807228915663
2023-09-24 18:29:01.398942264 +0000 UTC m=+147458.367016506,1695580141,100,27.401424649275537,26.4404296875,84.07335907347833,58.09549714157469,0.004790728476821192
2023-09-24 18:30:01.023763551 +0000 UTC m=+147517.991837788,1695580201,100,26.145960079196033,26.7578125,84.08794719785992,58.10920684948717,0.004955263157894737
2023-09-24 18:31:01.089375529 +0000 UTC m=+147578.057449767,1695580261,100,28.817920533107888,24.18212890625,83.166982522725,58.09900994929603,0.025625000000000016
2023-09-24 18:32:00.985497025 +0000 UTC m=+147637.953571263,1695580320,100,37.258928953399554,26.0711669921875,84.43033183357811,58.144456899190956,0.008866666666666667
2023-09-24 18:33:00.944749975 +0000 UTC m=+147697.912824215,1695580380,100,30.53993783753998,26.1566162109375,83.10315789442122,58.12076984156993,0.004773793103448275
2023-09-24 18:34:00.934527014 +0000 UTC m=+147757.902601252,1695580440,100,27.223351017896874,26.20849609375,82.89795230493236,58.138065540697944,0.004926829268292684
2023-09-24 18:35:01.118330789 +0000 UTC m=+147818.086405026,1695580501,100,27.756748351441914,25.872802734375,84.15741675070953,58.14370066975094,0.00917647058823529
2023-09-24 18:36:00.964969311 +0000 UTC m=+147877.933043548,1695580560,100,29.264653843574568,26.641845703125,83.91393873199706,58.145286312125165,0.004841463414634146
2023-09-24 18:37:01.03821499 +0000 UTC m=+147938.006289226,1695580621,100,28.646471852691285,26.7730712890625,84.20654276322843,58.13745567824633,0.004918987341772151
2023-09-24 18:38:00.994308721 +0000 UTC m=+147997.962382958,1695580680,100,31.52454537249938,26.458740234375,84.4531282830598,58.10398642690128,0.0053124999999999995
2023-09-24 18:39:01.135722514 +0000 UTC m=+148058.103796750,1695580741,100,28.53951257383787,26.35498046875,85.16365474509449,58.12228230044995,0.010500000000000079
2023-09-24 18:40:01.500317828 +0000 UTC m=+148118.468392086,1695580801,100,29.210016296586605,26.6204833984375,83.18229715509393,58.1032789864574,0.004894736842105263
2023-09-24 18:41:00.955487019 +0000 UTC m=+148177.923561287,1695580860,100,29.86068467214718,26.2298583984375,83.32492007445106,58.129698227861695,0.004880851063829786
2023-09-24 18:42:01.045621171 +0000 UTC m=+148238.013695408,1695580921,100,29.09596313377491,27.1087646484375,84.25859674214699,58.147067110483896,0.004937777777777777
2023-09-24 18:43:00.982311329 +0000 UTC m=+148297.950385567,1695580980,100,28.997163378906286,26.6998291015625,84.60440114254433,58.14411537621805,0.005222222222222228
2023-09-24 18:44:01.247088661 +0000 UTC m=+148358.215162898,1695581041,100,29.488676376385847,26.824951171875,83.99663086984347,58.203150061535126,0.004936
2023-09-24 18:45:01.076464074 +0000 UTC m=+148418.044538311,1695581101,100,19.15289776410331,26.708984375,84.96465241544186,58.19953967582151,0.004776223776223777
2023-09-24 18:46:01.083917127 +0000 UTC m=+148478.051991363,1695581161,100,27.00583961542553,26.7120361328125,83.63911163382389,58.13991952255088,0.004814457831325302
2023-09-24 18:47:01.074982785 +0000 UTC m=+148538.043057021,1695581221,100,28.93463435317582,26.8524169921875,84.34778950910369,58.10932882197749,0.004845454545454546
2023-09-24 18:48:01.049631092 +0000 UTC m=+148598.017705341,1695581281,100,27.512258408724332,26.69677734375,83.74390448986937,58.13835827467473,0.005
2023-09-24 18:49:01.096673067 +0000 UTC m=+148658.064747303,1695581341,100,30.482234176228456,26.5960693359375,83.99344096894448,58.115037134524684,0.004984905660377357
2023-09-24 18:50:01.019981668 +0000 UTC m=+148717.988055907,1695581401,100,27.250484878662927,26.507568359375,84.45650344921056,58.14606693606324,0.0048842105263157895
2023-09-24 18:51:01.257537964 +0000 UTC m=+148778.225612201,1695581461,100,26.83680947389026,26.8798828125,84.70127243596026,58.17429137032434,0.0052307692307692255
2023-09-24 18:52:00.954570178 +0000 UTC m=+148837.922644415,1695581520,100,31.60382524952209,26.5350341796875,83.66007572623265,58.16875381926361,0.007166666666666666
2023-09-24 18:53:01.484501226 +0000 UTC m=+148898.452575462,1695581581,100,23.96452601581508,26.2298583984375,83.44276094247746,58.14545707361162,0.004779746835443038
2023-09-24 18:54:01.08802218 +0000 UTC m=+148958.056096418,1695581641,100,27.60340831833633,27.28271484375,83.51916522895922,58.18592754590129,0.004934285714285714
2023-09-24 18:55:01.681603378 +0000 UTC m=+149018.649677616,1695581701,100,23.562616233026347,26.4923095703125,83.71378032365794,58.09947344475926,0.00483841059602649
2023-09-24 18:56:01.089124608 +0000 UTC m=+149078.057198852,1695581761,100,23.983677909729252,26.2176513671875,83.81040579189263,58.16528980053839,0.006031250000000004
2023-09-24 18:57:01.162062045 +0000 UTC m=+149138.130136283,1695581821,100,28.597020951407448,26.409912109375,84.42612608831152,58.16860745227521,0.007361111111111112
2023-09-24 18:58:01.081760326 +0000 UTC m=+149198.049834563,1695581881,100,27.948497176729635,26.6510009765625,84.32838956339282,58.14182229339995,0.004846575342465754
2023-09-24 18:59:01.129090737 +0000 UTC m=+149258.097164975,1695581941,100,21.121466332869556,26.3916015625,84.28017532036272,58.137480072744395,0.004902097902097903
2023-09-24 19:00:00.976013942 +0000 UTC m=+149317.944088179,1695582000,100,28.137234781663466,26.28173828125,85.31612577764747,58.14794531241424,0.010600000000000012
2023-09-24 19:01:00.913318107 +0000 UTC m=+149377.881392370,1695582060,100,25.9329201939549,26.5594482421875,84.83302411849594,58.1498480832633,0.00483841059602649
2023-09-24 19:02:01.068018908 +0000 UTC m=+149438.036093146,1695582121,100,22.71493211476884,25.7110595703125,86.6969200387775,58.15445864339757,0.006785714285714288
2023-09-24 19:03:01.166358404 +0000 UTC m=+149498.134432653,1695582181,100,26.176999714329284,26.1627197265625,87.65613828468821,58.13423560450176,0.0049250000000000006
2023-09-24 19:04:01.039213302 +0000 UTC m=+149558.007287539,1695582241,100,33.636842954236634,26.5380859375,88.12331536381282,58.14496918365032,0.004929142857142857
2023-09-24 19:05:01.145287553 +0000 UTC m=+149618.113361791,1695582301,100,30.166756217689873,26.8646240234375,87.43585429491017,58.169900360672656,0.007666666666666666
2023-09-24 19:06:00.868404914 +0000 UTC m=+149677.836479152,1695582360,100,29.828565103567307,26.4190673828125,87.31682667995098,58.207809410665526,0.004918987341772151
2023-09-24 19:07:01.070036302 +0000 UTC m=+149738.038110548,1695582421,100,30.51363655223022,26.5350341796875,86.82926829241812,58.17509638876048,0.004970114942528736
