Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 18:13:01.176122052 +0000 UTC m=+146498.144196289,1695579181,100,10.279009517301189,6.6650390625,88.37687977824325,57.951325658011086,0.019
2023-09-24 18:14:01.804912823 +0000 UTC m=+146558.772987060,1695579241,100,13.573327745484743,6.866455078125,88.18357731792173,57.9831604779858,0.023
2023-09-24 18:15:01.237114295 +0000 UTC m=+146618.205188531,1695579301,NaN,13.896467065265977,7.269287109375,87.77268715068905,58.08581252584292,0.0235
2023-09-24 18:16:01.994440656 +0000 UTC m=+146678.962514893,1695579361,100,14.696044515069872,7.269287109375,87.44390857608519,58.08710543424036,0.02275
2023-09-24 18:17:01.188490041 +0000 UTC m=+146738.156564279,1695579421,100,14.556254289304023,7.269287109375,85.37089360283821,58.07471302922339,0.08
2023-09-24 18:18:01.791104428 +0000 UTC m=+146798.759178664,1695579481,NaN,15.688671816491645,7.3699951171875,85.80026093172386,58.08003102980154,0.0235
2023-09-24 18:19:01.370398078 +0000 UTC m=+146858.338472316,1695579541,100,15.502307206798399,7.3699951171875,85.38299663285139,58.08722740673069,0.0225
2023-09-24 18:20:01.434451178 +0000 UTC m=+146918.402525435,1695579601,100,13.455313974244543,7.5714111328125,85.26802606699859,58.08198258964673,0.0235
2023-09-24 18:21:01.224096227 +0000 UTC m=+146978.192170464,1695579661,100,14.716884923525106,7.5714111328125,84.98338031708629,58.10864577603168,0.023125
2023-09-24 18:22:01.450067267 +0000 UTC m=+147038.418141504,1695579721,100,15.172981811942357,7.5714111328125,83.70214556154752,58.11213418925496,0.0235
2023-09-24 18:23:01.527574383 +0000 UTC m=+147098.495648622,1695579781,100,12.295565098956574,7.5714111328125,83.80127774057496,58.10205926155415,0.0235
2023-09-24 18:24:01.388364813 +0000 UTC m=+147158.356439073,1695579841,100,15.219870114610808,7.5714111328125,83.91355533171838,58.08293397507126,0.023125
2023-09-24 18:25:01.260430269 +0000 UTC m=+147218.228504513,1695579901,100,14.743354104330479,7.5714111328125,84.08096280096453,58.07820144244668,0.020500000000000004
2023-09-24 18:26:01.442316087 +0000 UTC m=+147278.410390324,1695579961,100,14.638253022546587,7.9742431640625,84.66907745371574,58.097448701419886,0.0425
2023-09-24 18:27:01.682933552 +0000 UTC m=+147338.651007788,1695580021,100,13.398395415646425,7.9742431640625,84.24242424263159,58.12255063992867,0.022750000000000003
