Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 04:45:00.790313418 +0000 UTC m=+98017.758387655,1695530700,100,2.2239727926592274,4.529513888888889,1.721465968580116,16.046798405087717,0.09500000000000006
2023-09-24 04:46:00.863280297 +0000 UTC m=+98077.831354534,1695530760,100,1.498126815073772,4.529513888888889,1.7498325519048175,16.067631306435146,0.060000000000000074
2023-09-24 04:47:01.268814791 +0000 UTC m=+98138.236889032,1695530821,100,2.0866922063715307,4.529513888888889,1.624994764843235,16.13393555217556,0.08999999999999994
2023-09-24 04:48:00.942083377 +0000 UTC m=+98197.910157619,1695530880,100,1.7173769479937213,4.529513888888889,1.77561874450054,16.1107607790139,0.049375
2023-09-24 04:49:01.100279494 +0000 UTC m=+98258.068353730,1695530941,100,2.01909496150517,4.529513888888889,1.7521117337084169,16.130154404975503,0.23500000000000015
2023-09-24 04:50:01.089320816 +0000 UTC m=+98318.057395055,1695531001,100,1.5085771559329166,4.529513888888889,1.707756058765375,16.158817940201768,0.2349999999999999
2023-09-24 04:51:00.894716822 +0000 UTC m=+98377.862791059,1695531060,100,1.9135706234134977,4.529513888888889,1.7573957069338952,16.15362191211394,0.175
2023-09-24 04:52:00.892936608 +0000 UTC m=+98437.861010845,1695531120,100,2.0744863901199038,4.529513888888889,1.7067559088129403,16.119933110286304,0.05
2023-09-24 04:53:00.720160623 +0000 UTC m=+98497.688234862,1695531180,100,2.061271781914891,4.529513888888889,1.7211776037552307,16.152158242230048,0.41666666666666663
2023-09-24 04:54:01.040357907 +0000 UTC m=+98558.008432144,1695531241,100,2.075887224544564,4.529513888888889,1.6212819438580772,16.160964656031478,0.2749999999999998
2023-09-24 04:55:00.858757536 +0000 UTC m=+98617.826831773,1695531300,100,2.055089699006996,4.529513888888889,1.7732424407145064,16.14098556211632,0.04499999999999997
2023-09-24 04:56:00.956384065 +0000 UTC m=+98677.924458301,1695531360,100,1.516904187372024,4.529513888888889,1.7744297970363587,16.14481549831251,0.30000000000000027
2023-09-24 04:57:00.986048072 +0000 UTC m=+98737.954122310,1695531420,100,1.7328382049665372,4.558159722222222,1.7450619350409369,16.151889902751336,0.04375
2023-09-24 04:58:00.83886098 +0000 UTC m=+98797.806935217,1695531480,100,2.234750750929367,4.558159722222222,1.8298299974930154,16.15933022466113,0.15250000000000022
2023-09-24 04:59:00.91685867 +0000 UTC m=+98857.884932906,1695531540,100,1.910494877594461,4.586805555555555,1.666038762613542,16.151109278813255,0.5249999999999998
2023-09-24 05:00:01.328054529 +0000 UTC m=+98918.296128777,1695531601,100,2.179998284145503,4.586805555555555,1.7382198952860306,16.167746326493525,0.2349999999999999
2023-09-24 05:01:00.96884546 +0000 UTC m=+98977.936919697,1695531660,100,2.0789360866926443,4.586805555555555,1.7659120391745442,16.215730304187193,0.05
2023-09-24 05:02:00.81965961 +0000 UTC m=+99037.787733849,1695531720,100,1.7006504057767806,4.586805555555555,1.8082879865978674,16.207875275810295,0.4750000000000002
2023-09-24 05:03:01.25095649 +0000 UTC m=+99098.219030728,1695531781,100,2.0924475166689263,4.586805555555555,1.8073045224477502,16.201923018282457,0.175
2023-09-24 05:04:00.829131098 +0000 UTC m=+99157.797205339,1695531840,100,1.73509065805286,4.586805555555555,1.8442622950808563,16.22148740573051,0.09500000000000006
