Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 08:38:00.566281526 +0000 UTC m=+111997.534355763,1695544680,100,3.069459025703589,6.1248779296875,2.881313342829306,16.02957588945389,0.009166666666666668
2023-09-24 08:39:00.572054187 +0000 UTC m=+112057.540128423,1695544740,100,4.129195613300869,6.2255859375,2.9522613065344094,16.0017661616599,0.00925
2023-09-24 08:40:00.537920124 +0000 UTC m=+112117.505994372,1695544800,100,2.6674112256215396,6.3262939453125,2.6691808087081714,16.055092534429786,0.00925
2023-09-24 08:41:00.590334426 +0000 UTC m=+112177.558408662,1695544860,100,2.8590805811618396,6.427001953125,2.5838602956640977,16.071705187611986,0.22
2023-09-24 08:42:00.640903454 +0000 UTC m=+112237.608977691,1695544920,100,3.760097138158643,6.62841796875,2.6055630026901477,16.084536693594124,0.00925
2023-09-24 08:43:00.544863528 +0000 UTC m=+112297.512937765,1695544980,100,2.918830405251965,6.62841796875,2.5692526571325813,16.097441383070464,0.0095
2023-09-24 08:44:00.5766392 +0000 UTC m=+112357.544713436,1695545040,100,3.947255790567121,6.62841796875,2.6312486927381196,16.117274109997233,0.009333333333333334
2023-09-24 08:45:00.578518642 +0000 UTC m=+112417.546592878,1695545100,100,4.034653603743405,6.62841796875,2.521994134905725,16.09709986009755,0.0085
2023-09-24 08:46:00.6618533 +0000 UTC m=+112477.629927537,1695545160,100,4.761595272017308,6.7291259765625,2.4806201550435447,16.089391198709045,0.0095
2023-09-24 08:47:00.593896875 +0000 UTC m=+112537.561971111,1695545220,100,3.3153398499999946,6.7291259765625,2.6095333835858603,16.08812268480967,0.0095
2023-09-24 08:48:00.570304957 +0000 UTC m=+112597.538379194,1695545280,100,1.9766049198049185,6.7291259765625,2.1788223486258973,16.11944522032501,0.00925
2023-09-24 08:49:00.605282234 +0000 UTC m=+112657.573356474,1695545340,100,3.8701215950815424,6.7291259765625,2.6958014148867004,16.11920127534436,0.0235
2023-09-24 08:50:00.641108388 +0000 UTC m=+112717.609182631,1695545400,100,4.08999197691381,6.829833984375,2.6031187122692256,16.148352700531923,0.009
2023-09-24 08:51:00.513922126 +0000 UTC m=+112777.481996363,1695545460,100,3.4957192110937374,6.829833984375,2.4442305277763254,16.14603522321576,0.00925
2023-09-24 08:52:00.620632732 +0000 UTC m=+112837.588706972,1695545520,100,3.383187826541277,6.829833984375,2.4836656056306805,16.1842370071854,0.009
2023-09-24 08:53:00.572942719 +0000 UTC m=+112897.541016955,1695545580,100,4.432903769492316,6.829833984375,2.6968174204311857,16.158769151205636,0.009
2023-09-24 08:54:00.588999301 +0000 UTC m=+112957.557073538,1695545640,100,4.477634950159291,6.829833984375,4.438291803003247,16.636950102273936,0.01750000000000001
2023-09-24 08:55:00.640513595 +0000 UTC m=+113017.608587836,1695545700,100,2.907489107538055,6.9305419921875,3.1157083629994586,16.7372114893207,0.009375
2023-09-24 08:56:00.529434051 +0000 UTC m=+113077.497508288,1695545760,100,2.9271180245597685,6.9305419921875,2.9663505916059707,16.73794332426265,0.19
2023-09-24 08:57:00.918102271 +0000 UTC m=+113137.886176508,1695545820,100,3.3236654182009504,6.9305419921875,2.6809651474555607,16.7704367956851,0.00925
2023-09-24 08:58:00.709913191 +0000 UTC m=+113197.677987428,1695545880,100,3.592734155596461,6.9305419921875,2.869710934227576,16.768851153310884,0.17500000000000004
2023-09-24 08:59:00.579284596 +0000 UTC m=+113257.547358832,1695545940,100,2.1540139864198213,7.1319580078125,2.9290982232716423,16.78931813718734,0.0095
2023-09-24 09:00:00.605401837 +0000 UTC m=+113317.573476074,1695546000,100,2.9203023752240678,7.1319580078125,2.549373139336597,16.78600048545051,0.00925
2023-09-24 09:01:00.583076997 +0000 UTC m=+113377.551151234,1695546060,100,2.340684261758323,7.1319580078125,2.6913725161375024,16.7538241425029,0.009333333333333334
2023-09-24 09:02:00.820803931 +0000 UTC m=+113437.788878168,1695546120,100,4.84816551762024,7.232666015625,2.5707695533577657,16.756849060262947,0.0085
2023-09-24 09:03:00.594935985 +0000 UTC m=+113497.563010222,1695546180,100,2.861482875419756,7.232666015625,2.87245624319713,16.772900639989658,0.009
2023-09-24 09:04:00.554297701 +0000 UTC m=+113557.522371937,1695546240,100,4.05479793934952,7.232666015625,2.873539144642423,16.789830421646702,0.009375
2023-09-24 09:05:00.62279139 +0000 UTC m=+113617.590865627,1695546300,100,3.374810976634732,7.232666015625,2.713113381348542,16.786366402921484,0.00925
2023-09-24 09:06:00.625614591 +0000 UTC m=+113677.593688834,1695546360,100,2.7202088411283394,7.232666015625,2.683580339959457,16.789903605140896,0.00925
2023-09-24 09:07:00.50199836 +0000 UTC m=+113737.470072598,1695546420,100,3.148804204339082,7.232666015625,2.726244817621515,16.78580532946599,0.020500000000000004
2023-09-24 09:08:00.551806728 +0000 UTC m=+113797.519880965,1695546480,100,3.630656652138623,7.232666015625,2.81884816753899,16.803369368072723,0.00925
2023-09-24 09:09:00.691258938 +0000 UTC m=+113857.659333174,1695546540,100,2.7057553216463566,7.232666015625,2.681751518957609,16.83869260127071,0.0095
2023-09-24 09:10:00.501913496 +0000 UTC m=+113917.469987732,1695546600,100,3.944180608624452,7.232666015625,3.6594567404463096,15.461330451529962,0.020500000000000004
2023-09-24 09:11:00.665972983 +0000 UTC m=+113977.634047219,1695546660,100,3.591809394723228,7.3333740234375,8.140021773706385,16.490729480872883,0.0085
2023-09-24 09:12:00.563424667 +0000 UTC m=+114037.531498909,1695546720,100,3.084510160924665,7.3333740234375,4.48599698137917,17.303188238924594,0.00925
