Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 09:58:00.843830632 +0000 UTC m=+116797.811904883,1695549480,100,1.6361898159109889,4.421006944444445,4.458545194761054,19.112259820919988,0.03250000000000001
2023-09-24 09:59:01.057249617 +0000 UTC m=+116858.025323854,1695549541,100,1.6767685180702727,4.449652777777778,4.337238107238239,19.188151104399914,0.031250000000000014
2023-09-24 10:00:01.400873721 +0000 UTC m=+116918.368947979,1695549601,100,2.157827980794878,4.449652777777778,4.174716505663911,19.196811151212955,0.023625
2023-09-24 10:01:00.924441173 +0000 UTC m=+116977.892515411,1695549660,100,1.487163673220902,4.478298611111111,4.1098190672006485,19.180247287026884,0.0239
2023-09-24 10:02:00.833716812 +0000 UTC m=+117037.801791048,1695549720,100,1.6683321729563012,4.506944444444445,4.114707981696652,19.1906637377006,0.030833333333333355
2023-09-24 10:03:00.984712457 +0000 UTC m=+117097.952786694,1695549780,100,1.7850154390526725,4.535590277777778,4.11171776565924,19.164098129307916,0.023588235294117653
2023-09-24 10:04:01.116767739 +0000 UTC m=+117158.084841979,1695549841,100,1.384817775012019,4.535590277777778,4.091309638707951,19.180344865019144,0.024625
2023-09-24 10:05:00.997921354 +0000 UTC m=+117217.965995591,1695549900,100,1.7596067318494435,4.564236111111112,4.266655479115933,19.195932949282618,0.031666666666666655
2023-09-24 10:06:01.042841694 +0000 UTC m=+117278.010915948,1695549961,100,1.6038166893425922,4.564236111111112,4.069816228922352,19.193371526985803,0.024653846153846158
2023-09-24 10:07:01.055869493 +0000 UTC m=+117338.023943730,1695550021,100,2.270278706286202,4.564236111111112,4.15652027877954,19.18822428789411,0.031666666666666655
2023-09-24 10:08:00.955754551 +0000 UTC m=+117397.923828787,1695550080,100,1.4864538346181282,4.564236111111112,4.2209833591843715,19.17680766279973,0.022375
2023-09-24 10:09:01.500041941 +0000 UTC m=+117458.468116180,1695550141,100,1.6935907995235828,4.564236111111112,3.9043456333552884,19.206910473411824,0.03250000000000001
2023-09-24 10:10:00.960954863 +0000 UTC m=+117517.929029102,1695550200,100,2.078328362485337,4.564236111111112,4.277088225441172,19.215399758738414,0.025
2023-09-24 10:11:01.549479537 +0000 UTC m=+117578.517553774,1695550261,100,1.7251411089850348,4.564236111111112,4.282063099676547,19.20190960130852,0.0235
2023-09-24 10:12:01.190953164 +0000 UTC m=+117638.159027402,1695550321,100,1.4620426733521903,4.564236111111112,3.9395846444365445,19.21139906105577,0.023350000000000003
2023-09-24 10:13:01.639439574 +0000 UTC m=+117698.607513810,1695550381,100,1.4873706524177814,4.564236111111112,4.12280333849796,19.191297994650284,0.022
2023-09-24 10:14:01.100161056 +0000 UTC m=+117758.068235295,1695550441,100,1.8396611446972977,4.564236111111112,3.9924433249403424,19.206837289917633,0.023730769230769232
2023-09-24 10:15:01.82572316 +0000 UTC m=+117818.793797397,1695550501,100,1.5272397179351889,4.564236111111112,7.673558581314022,19.224108594547587,0.0217
2023-09-24 10:16:01.050697598 +0000 UTC m=+117878.018771848,1695550561,100,1.5020583911316678,4.564236111111112,4.172257631667087,19.191346783646416,0.023714285714285716
2023-09-24 10:17:01.08398375 +0000 UTC m=+117938.052057990,1695550621,100,1.6568485738668013,4.564236111111112,3.2078161690564877,19.215887648699713,0.0235
2023-09-24 10:18:01.108732708 +0000 UTC m=+117998.076806944,1695550681,100,0.9387687271651266,4.564236111111112,4.101726160554597,19.221010493293342,0.027500000000000017
2023-09-24 10:19:01.128354823 +0000 UTC m=+118058.096429060,1695550741,100,1.354837536389463,4.564236111111112,3.14689715940919,19.23401276076194,0.02400000000000001
2023-09-24 10:20:00.987400549 +0000 UTC m=+118117.955474787,1695550800,100,1.7120162791389129,4.564236111111112,3.5869929601136885,19.18956598528768,0.022
