Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-24 10:41:00.772220683 +0000 UTC m=+119377.740294920,1695552060,100,27.24741032400629,12.1337890625,5.600673259025813,16.631632101695786,0.0046
2023-09-24 10:42:01.038914462 +0000 UTC m=+119438.006988700,1695552121,100,35.1748713048793,13.140869140625,5.251631922544697,16.702278568091753,0.0046
2023-09-24 10:43:00.902506517 +0000 UTC m=+119497.870580754,1695552180,100,37.59231681875343,13.2415771484375,5.312342145131666,16.7228919189566,0.0046
2023-09-24 10:44:00.883791021 +0000 UTC m=+119557.851865258,1695552240,100,28.818918518628212,13.543701171875,5.212452671451007,16.703498292994997,0.0046
2023-09-24 10:45:00.8036688 +0000 UTC m=+119617.771743037,1695552300,100,35.18841503184713,13.543701171875,5.108046750199591,16.73796771876071,0.0047285714285714275
2023-09-24 10:46:00.863446073 +0000 UTC m=+119677.831520310,1695552360,100,36.91747433993868,13.543701171875,5.533580205324173,16.724965451292114,0.004600000000000001
2023-09-24 10:47:00.749488655 +0000 UTC m=+119737.717562892,1695552420,100,32.459434938672985,13.543701171875,4.97328228215469,16.752921546074496,0.0046
2023-09-24 10:48:00.868420299 +0000 UTC m=+119797.836494536,1695552480,100,38.62600166523426,13.543701171875,5.374264087472779,16.746652160071818,0.0046
2023-09-24 10:49:00.931428864 +0000 UTC m=+119857.899503101,1695552540,100,37.6793500106602,13.543701171875,5.353760680159225,16.74079748053624,0.0046
2023-09-24 10:50:00.865580918 +0000 UTC m=+119917.833655154,1695552600,100,34.79142725116836,13.543701171875,5.185154085140953,16.77819424606974,0.0046
2023-09-24 10:51:00.794741683 +0000 UTC m=+119977.762815920,1695552660,100,34.691155105129944,13.543701171875,4.991582491554136,16.76685080446956,0.0046
2023-09-24 10:52:00.96553416 +0000 UTC m=+120037.933608410,1695552720,100,35.6949968513719,13.543701171875,5.448960700177685,16.784683182555007,0.0046
2023-09-24 10:53:00.800055414 +0000 UTC m=+120097.768129650,1695552780,100,37.56597772097928,13.6444091796875,5.206931359356393,16.811321974441885,0.0046
2023-09-24 10:54:00.811072138 +0000 UTC m=+120157.779146375,1695552840,100,28.12469501511557,13.6444091796875,5.1436515291867995,16.80910207511798,0.0046
2023-09-24 10:55:00.809440361 +0000 UTC m=+120217.777514625,1695552900,100,36.54455346165615,13.8458251953125,5.073195355878224,16.818445167876835,0.004600000000000001
2023-09-24 10:56:00.925989484 +0000 UTC m=+120277.894063721,1695552960,100,34.956540646032515,13.8458251953125,5.248328356956344,16.783829375122735,0.004600000000000001
2023-09-24 10:57:00.872973309 +0000 UTC m=+120337.841047545,1695553020,100,35.77941240491532,14.4500732421875,5.230433138687529,16.818420773378772,0.004738461538461538
2023-09-24 10:58:00.797297643 +0000 UTC m=+120397.765371904,1695553080,100,35.947105198873466,14.4500732421875,4.890274209167622,16.818079250405862,0.0046
2023-09-24 10:59:00.853195903 +0000 UTC m=+120457.821270140,1695553140,100,34.378796434902526,14.4500732421875,5.221439355820589,16.244784151382497,0.0046
2023-09-24 11:00:00.975434631 +0000 UTC m=+120517.943508868,1695553200,100,34.863826601083694,14.4500732421875,5.5583606833111805,16.911802911971233,0.0046
2023-09-24 11:01:00.800597 +0000 UTC m=+120577.768671238,1695553260,100,35.634870429189206,14.55078125,5.330866896491992,16.930513491987018,0.004600000000000001
2023-09-24 11:02:00.808244542 +0000 UTC m=+120637.776318779,1695553320,100,34.07208867968644,14.55078125,5.331484749178184,16.963348486382383,0.0046
2023-09-24 11:03:00.937711789 +0000 UTC m=+120697.905786025,1695553380,100,36.4076677088597,14.55078125,5.2593902644446295,16.98830405790278,0.0046
2023-09-24 11:04:01.129695903 +0000 UTC m=+120758.097770140,1695553441,100,35.344610069147286,14.55078125,5.183349435030893,16.952834457716406,0.0046
2023-09-24 11:05:00.682347538 +0000 UTC m=+120817.650421774,1695553500,100,34.50137583595595,14.6514892578125,5.334174022704663,16.974911478465145,0.0046
2023-09-24 11:06:01.05278944 +0000 UTC m=+120878.020863677,1695553561,100,34.86256163606239,14.6514892578125,4.886157989949858,16.98979212228474,0.0046
2023-09-24 11:07:00.828166475 +0000 UTC m=+120937.796240711,1695553620,100,28.985559995119388,14.752197265625,5.155940906611489,16.966690532617275,0.004771428571428572
2023-09-24 11:08:01.16548531 +0000 UTC m=+120998.133559547,1695553681,100,28.394954498276114,14.752197265625,5.161236002371883,16.963348486382383,0.0046
2023-09-24 11:09:00.910800328 +0000 UTC m=+121057.878874565,1695553740,100,33.65896476964757,14.752197265625,5.097230406606212,16.923024381081092,0.0046
2023-09-24 11:10:00.830232718 +0000 UTC m=+121117.798306954,1695553800,100,35.13876113424331,14.752197265625,5.054926554150352,16.905655498458877,0.0046
2023-09-24 11:11:00.789194121 +0000 UTC m=+121177.757268357,1695553860,100,16.824717999999923,14.752197265625,4.854654831506389,16.975350579430316,0.0046
2023-09-24 11:12:00.86637433 +0000 UTC m=+121237.834448571,1695553920,100,33.1967139893775,14.752197265625,5.031102891721185,16.94458911737047,0.004724137931034483
2023-09-24 11:13:00.92535772 +0000 UTC m=+121297.893431957,1695553980,100,34.277773004283176,14.752197265625,5.048551851696992,16.96766631253987,0.004600000000000001
2023-09-24 11:14:00.86061268 +0000 UTC m=+121357.828686917,1695554040,100,23.76717548749987,14.752197265625,5.5455270559568675,16.93395311621417,0.0046
2023-09-24 11:15:01.180364363 +0000 UTC m=+121418.148438600,1695554101,100,33.85105110241635,14.752197265625,4.321713565707741,16.453503476825837,0.0046
2023-09-24 11:16:00.909590823 +0000 UTC m=+121477.877665059,1695554160,100,17.365452999999796,14.752197265625,6.516080275422775,17.08673585759468,0.0046
2023-09-24 11:17:00.853516807 +0000 UTC m=+121537.821591043,1695554220,100,26.98978228321009,14.752197265625,4.851389414400053,17.148722277177605,0.012999999999999994
